range,x,y,z,intensity,ring,time,timestamp
24.964,24.960894,0.26575658,0.29060802,63.0,22,-0.026118483,1782506715.38896
24.991999,24.989666,0.17883082,0.29093397,61.0,22,-0.026063187,1782506715.38896
24.980001,24.978155,0.087189764,0.29079428,62.0,22,-0.02600789,1782506715.38896
24.987997,24.986305,0.0043653245,0.2908874,62.0,22,-0.025952594,1782506715.38896
24.984001,24.978733,0.2703205,0.43603092,77.0,23,-0.025314253,1782506715.38896
24.988003,24.983526,0.18314938,0.43610072,77.0,23,-0.025258956,1782506715.38896
24.988,24.98401,0.09593288,0.43610072,77.0,23,-0.02520366,1782506715.38896
24.988,24.984196,0.004366817,0.43610072,77.0,23,-0.025159603,1782506715.38896
25.0,24.991724,0.27480945,0.58157855,38.0,24,-0.02455826,1782506715.38896
24.996002,24.988565,0.18317907,0.58148545,34.0,24,-0.024531845,1782506715.38896
25.0,24.99305,0.09596693,0.58157855,37.0,24,-0.024476549,1782506715.38896
25.0,24.99323,0.013086429,0.58157855,37.0,24,-0.024421254,1782506715.38896
25.004,24.99711,-0.07853095,0.5816716,34.0,24,-0.024365958,1782506715.38896
24.96,24.956894,0.265714,0.29056144,68.0,22,-0.026349919,1782506715.4877682
24.987999,24.98614,0.09157817,0.2908874,62.0,22,-0.026239326,1782506715.4877682
24.991999,24.990303,0.008727019,0.29093397,62.0,22,-0.02618403,1782506715.4877682
24.984,24.982183,-0.078475036,0.29084083,62.0,22,-0.026128735,1782506715.4877682
24.988003,24.982733,0.2703638,0.43610072,77.0,23,-0.02556214,1782506715.4877682
24.984,24.979555,0.17874873,0.43603092,77.0,23,-0.025506845,1782506715.4877682
24.980001,24.976013,0.09590217,0.43596113,77.0,23,-0.025451548,1782506715.4877682
24.988003,24.984196,0.008727072,0.43610072,80.0,23,-0.025396252,1782506715.4877682
24.988,24.984072,-0.078490786,0.43610072,66.0,23,-0.025340956,1782506715.4877682
24.996,24.987724,0.27476546,0.58148545,38.0,24,-0.024817115,1782506715.4877682
25.004002,24.99653,0.18760037,0.5816716,35.0,24,-0.024761818,1782506715.4877682
25.004002,24.997034,0.10034505,0.5816716,34.0,24,-0.024706522,1782506715.4877682
24.996,24.989231,0.013084335,0.58148545,36.0,24,-0.024651226,1782506715.4877682
25.0,24.993124,-0.07415632,0.58157855,34.0,24,-0.02459593,1782506715.4877682
24.972002,24.9688,0.27456886,0.29070115,68.0,22,-0.026587997,1782506715.5878625
24.984,24.981604,0.18749332,0.29084083,62.0,22,-0.02653321,1782506715.5878625
24.988,24.986107,0.10031124,0.2908874,61.0,22,-0.026477916,1782506715.5878625
24.988,24.986298,0.021807633,0.2908874,63.0,22,-0.02642262,1782506715.5878625
24.992,24.990221,-0.06541587,0.29093397,63.0,22,-0.026367323,1782506715.5878625
24.984001,24.979425,0.19619851,0.43603092,73.0,23,-0.025765222,1782506715.5878625
24.984001,24.979939,0.11335579,0.43603092,70.0,23,-0.025709925,1782506715.5878625
24.984001,24.980183,0.026164137,0.43603092,73.0,23,-0.025654629,1782506715.5878625
24.976004,24.972124,-0.0610084,0.43589133,70.0,23,-0.025599333,1782506715.5878625
25.004002,24.99643,0.20068853,0.5816716,38.0,24,-0.025009228,1782506715.5878625
25.000002,24.992977,0.11341533,0.58157855,37.0,24,-0.024953932,1782506715.5878625
25.0,24.993216,0.030535018,0.58157855,37.0,24,-0.024898635,1782506715.5878625
25.0,24.99317,-0.05670778,0.58157855,38.0,24,-0.02484334,1782506715.5878625
24.988,24.985394,0.21368662,0.2908874,63.0,22,-0.026739342,1782506715.6870987
