calculated_range,x,y,z,intensity,ring,time,timestamp,cloud_index
25.008001,24.998299,0.6327757,0.29112023,62.0,22,-0.018861499,1782510419.4340873,0
25.012,25.004353,0.54560435,0.29116678,63.0,22,-0.018806202,1782510419.4340873,0
25.008,25.002106,0.4582393,0.29112023,62.0,22,-0.018750906,1782510419.4340873,0
25.004004,24.999557,0.37090886,0.29107368,63.0,22,-0.01869561,1782510419.4340873,0
25.000002,24.985704,0.7240987,0.43631017,94.0,23,-0.018135453,1782510419.4340873,0
25.008003,24.996077,0.63708687,0.4364498,77.0,23,-0.018080156,1782510419.4340873,0
25.000002,24.99015,0.54964787,0.43631017,73.0,23,-0.01802486,1782510419.4340873,0
25.000002,24.991917,0.46242985,0.43631017,80.0,23,-0.017969564,1782510419.4340873,0
24.996,24.989378,0.37512225,0.43624035,70.0,23,-0.017927414,1782510419.4340873,0
25.028,25.0106,0.7292028,0.5822299,73.0,24,-0.017381366,1782510419.4340873,0
25.019999,25.004997,0.6416832,0.58204377,69.0,24,-0.01732607,1782510419.4340873,0
25.024,25.011084,0.5544785,0.58213687,65.0,24,-0.017273907,1782510419.4340873,0
25.024,25.012867,0.46717024,0.58213687,65.0,24,-0.01721861,1782510419.4340873,0
25.032001,25.022343,0.3799776,0.58232296,65.0,24,-0.017163316,1782510419.4340873,0
25.004,24.994078,0.64139867,0.29107368,63.0,22,-0.019079821,1782510419.5328338,1
25.004,24.996164,0.55414283,0.29107368,62.0,22,-0.019024525,1782510419.5328338,1
25.008,25.001944,0.46697822,0.29112023,60.0,22,-0.018969228,1782510419.5328338,1
25.008,25.003422,0.37969556,0.29112023,65.0,22,-0.018913932,1782510419.5328338,1
24.996,24.98145,0.73271435,0.43624035,77.0,23,-0.018346623,1782510419.5328338,1
25.000002,24.987856,0.645605,0.43631017,73.0,23,-0.018291326,1782510419.5328338,1
25.000002,24.989956,0.55838245,0.43631017,73.0,23,-0.018236032,1782510419.5328338,1
25.008001,24.99975,0.47129193,0.4364498,77.0,23,-0.018180735,1782510419.5328338,1
24.996,24.989244,0.38383263,0.43624035,77.0,23,-0.018125439,1782510419.5328338,1
25.024,25.008656,0.6548796,0.58213687,65.0,24,-0.017523652,1782510419.5328338,1
25.024,25.01089,0.563209,0.58213687,65.0,24,-0.017468356,1782510419.5328338,1
