cloud_index,point_count
0,13
1,12
2,12
3,12
4,13
5,13
6,11
7,11
8,12
9,10
10,15
11,10
12,12
13,12
14,9
15,7
16,10
17,14
18,11
19,8
20,7
21,11
22,7
23,8
24,11
25,7
26,14
27,9
28,8
29,13
30,12
31,9
32,8
33,8
34,12
35,5
36,7
37,7
38,6
39,13
40,6
41,5
42,3
43,7
44,4
45,7
46,3
47,11
48,11
49,4
50,3
51,4
52,6
53,8
54,8
55,3
56,3
57,7
58,2
59,6
60,11
61,7
62,3
63,3
64,4
65,7
66,2
67,6
68,2
69,2
70,2
71,4
72,4
73,6
74,3
75,2
76,2
77,7
78,3
79,8
80,5
81,3
82,6
83,4
84,3
85,4
86,5
87,5
88,8
89,4
91,4
92,5
93,5
94,11
95,4
96,6
97,1
98,11
99,1
100,1
101,3
102,1
103,10
104,4
105,5
106,2
107,7
108,1
109,3
110,6
111,5
112,3
113,5
114,3
115,2
116,8
117,3
118,6
120,1
121,3
122,2
123,5
124,1
125,5
126,1
127,1
128,2
129,5
130,9
131,1
132,3
133,2
134,1
136,4
137,9
138,2
139,4
140,1
141,4
142,2
143,2
144,2
145,3
146,4
147,1
148,1
149,4
150,4
151,1
152,3
154,7
155,1
156,1
157,6
158,3
159,2
160,5
161,1
162,6
163,4
164,5
165,2
166,1
168,2
169,1
170,2
172,1
173,2
174,1
176,2
178,2
179,1
181,2
182,2
183,1
185,2
186,2
187,4
188,2
189,1
190,2
192,4
193,1
194,2
195,1
196,2
198,3
201,3
204,1
205,2
206,1
208,1
209,1
210,1
212,1
213,3
214,3
215,2
216,2
217,2
218,1
220,4
221,2
222,4
225,4
226,1
227,5
228,1
229,3
230,1
232,2
233,2
235,3
236,1
237,2
238,1
239,5
240,2
241,3
244,1
245,1
246,2
247,3
248,4
250,2
251,3
252,2
253,3
254,1
255,1
256,1
257,1
259,2
260,1
261,4
264,3
266,1
267,1
268,2
270,2
272,2
273,1
274,1
275,1
276,1
277,3
280,1
281,4
282,2
283,2
284,1
285,1
287,4
289,1
290,1
291,2
292,2
293,1
296,1
