range,x,y,z,intensity,ring,time,timestamp
25.000004,24.984995,0.8157443,0.2910271,61.0,22,-0.084726945,1782512051.1783435
25.000002,24.987688,0.72851855,0.2910271,61.0,22,-0.084671654,1782512051.1783435
24.995996,24.986078,0.6411934,0.29098052,62.0,22,-0.084616356,1782512051.1783435
24.996,24.97874,0.8199061,0.43624035,77.0,23,-0.08393821,1782512051.1783435
24.992,24.977453,0.7325972,0.43617055,77.0,23,-0.08388292,1782512051.1783435
24.992002,24.979858,0.64539844,0.43617055,77.0,23,-0.08382762,1782512051.1783435
25.019999,25.006388,0.82518476,0.0,40.0,20,-0.08319835,1782512051.1783435
25.016003,25.004992,0.7421424,0.0,41.0,20,-0.083143055,1782512051.1783435
25.015999,25.007542,0.6504712,0.0,41.0,20,-0.08308776,1782512051.1783435
25.012001,24.997828,0.8292633,0.1453676,39.0,21,-0.08242941,1782512051.1783435
25.000002,24.988447,0.7460049,0.14529786,40.0,21,-0.08237411,1782512051.1783435
25.004002,24.99501,0.6545174,0.1453211,40.0,21,-0.08231881,1782512051.1783435
25.008001,24.99212,0.84217566,0.29112023,59.0,22,-0.08502249,1782512051.2772193
25.004002,24.991043,0.75045484,0.29107368,60.0,22,-0.084966265,1782512051.2772193
25.000002,24.989511,0.66310245,0.2910271,60.0,22,-0.084910974,1782512051.2772193
24.996,24.977869,0.8460619,0.43624035,73.0,23,-0.08424189,1782512051.2772193
24.996002,24.98067,0.75887287,0.43624035,77.0,23,-0.08418659,1782512051.2772193
24.988003,24.975172,0.67144775,0.43610072,77.0,23,-0.0841313,1782512051.2772193
25.008001,24.993668,0.8465991,0.0,38.0,20,-0.083477944,1782512051.2772193
25.012001,25.0002,0.7682027,0.0,40.0,20,-0.08342265,1782512051.2772193
25.008001,24.998852,0.6764407,0.0,39.0,20,-0.083367355,1782512051.2772193
25.012001,24.996946,0.8554406,0.1453676,40.0,21,-0.08269685,1782512051.2772193
25.008003,24.995783,0.76805687,0.14534435,37.0,21,-0.08264155,1782512051.2772193
25.012001,25.00231,0.6809096,0.1453676,38.0,21,-0.08258625,1782512051.2772193
25.004002,24.987078,0.87256736,0.29107368,60.0,22,-0.08521434,1782512051.3766756
24.996,24.981974,0.78509486,0.29098052,61.0,22,-0.08515905,1782512051.3766756
25.000002,24.988316,0.7067137,0.2910271,63.0,22,-0.08510375,1782512051.3766756
25.000002,24.980507,0.8854472,0.43631017,73.0,23,-0.08443372,1782512051.3766756
24.992002,24.97559,0.7936227,0.43617055,73.0,23,-0.08437842,1782512051.3766756
24.992002,24.978207,0.7064419,0.43617055,77.0,23,-0.08432312,1782512051.3766756
25.016,25.000301,0.886139,0.0,39.0,20,-0.08366429,1782512051.3766756
25.02,25.00696,0.8077279,0.0,39.0,20,-0.08362357,1782512051.3766756
25.008,24.997631,0.72008014,0.0,39.0,20,-0.083568275,1782512051.3766756
25.000002,24.986408,0.8114219,0.14529786,38.0,21,-0.08285391,1782512051.3766756
25.004002,24.993086,0.7243141,0.1453211,41.0,21,-0.082798615,1782512051.3766756
25.000002,24.991465,0.6369655,0.14529786,40.0,21,-0.08274332,1782512051.3766756
25.008,24.991674,0.85526067,0.29112023,59.0,22,-0.085355915,1782512051.4763448
24.996002,24.982517,0.76765496,0.29098052,59.0,22,-0.08530062,1782512051.4763448
24.992,24.981163,0.67596966,0.29093397,61.0,22,-0.08524532,1782512051.4763448
25.000002,24.98127,0.8636367,0.43631017,77.0,23,-0.08458101,1782512051.4763448
25.000004,24.984268,0.7720754,0.43631017,77.0,23,-0.08452571,1782512051.4763448
24.996,24.982811,0.684743,0.43624035,77.0,23,-0.08447041,1782512051.4763448
25.016,25.001064,0.864323,0.0,39.0,20,-0.083823025,1782512051.4763448
