calculated_range,x,y,z,intensity,ring,time,timestamp,cloud_index
24.968,24.94757,0.96711576,0.29065457,68.0,22,-0.008828863,1782509567.6342216,0
24.996,24.978775,0.88100684,0.29098052,60.0,22,-0.008773566,1782509567.6342216,0
24.987997,24.9737,0.7935606,0.2908874,63.0,22,-0.00871827,1782509567.6342216,0
24.992,24.980318,0.7064875,0.29093397,64.0,22,-0.008662974,1782509567.6342216,0
24.987999,24.97874,0.6148325,0.2908874,62.0,22,-0.008585539,1782509567.6342216,0
24.984001,24.961277,0.9720121,0.43603092,80.0,23,-0.008027971,1782509567.6342216,0
24.984003,24.964674,0.88051164,0.43603092,80.0,23,-0.007972674,1782509567.6342216,0
24.984001,24.967594,0.7933686,0.43603092,80.0,23,-0.00791145,1782509567.6342216,0
24.980003,24.966091,0.7104481,0.43596113,80.0,23,-0.007856154,1782509567.6342216,0
24.980003,24.96842,0.6233011,0.43596113,63.0,23,-0.007800858,1782509567.6342216,0
24.996,24.97031,0.9723661,0.58148545,43.0,24,-0.007264142,1782509567.6342216,0
25.004,24.981546,0.8854742,0.5816716,37.0,24,-0.007208846,1782509567.6342216,0
25.012001,24.992199,0.8072511,0.5818577,37.0,24,-0.00715355,1782509567.6342216,0
25.003998,24.986868,0.71977013,0.5816716,37.0,24,-0.007098254,1782509567.6342216,0
25.008001,24.993227,0.63265175,0.58176464,38.0,24,-0.007042958,1782509567.6342216,0
24.991999,24.973522,0.91574603,0.29093397,63.0,22,-0.008984735,1782509567.7331946,1
24.995998,24.980564,0.8286928,0.29098052,63.0,22,-0.008929439,1782509567.7331946,1
25.000002,24.987305,0.74160147,0.2910271,62.0,22,-0.008874143,1782509567.7331946,1
24.984,24.973516,0.662678,0.29084083,66.0,22,-0.008818847,1782509567.7331946,1
24.996,24.974926,0.92888165,0.43624035,87.0,23,-0.0082010105,1782509567.7331946,1
24.984,24.966024,0.8412986,0.43603092,80.0,23,-0.008145714,1782509567.7331946,1
24.988,24.972807,0.7542598,0.43610072,80.0,23,-0.008090418,1782509567.7331946,1
24.984003,24.971407,0.66262424,0.43603092,84.0,23,-0.008035122,1782509567.7331946,1
24.996,24.97197,0.9287739,0.58148545,38.0,24,-0.0074288044,1782509567.7331946,1
25.008,24.98705,0.84199727,0.58176464,38.0,24,-0.0073735085,1782509567.7331946,1
25.0,24.981842,0.75454676,0.58157855,37.0,24,-0.007318212,1782509567.7331946,1
25.004002,24.988323,0.6674394,0.5816716,37.0,24,-0.007279877,1782509567.7331946,1
24.991999,24.97756,0.7980466,0.29093397,65.0,22,-0.009105579,1782509567.83266,2
24.988,24.976196,0.7107455,0.2908874,65.0,22,-0.009050283,1782509567.83266,2
24.987999,24.978632,0.6191919,0.2908874,64.0,22,-0.008994987,1782509567.83266,2
24.992002,24.968931,0.9810269,0.43617055,80.0,23,-0.008450327,1782509567.83266,2
24.984001,24.964209,0.89358217,0.43603092,80.0,23,-0.008395031,1782509567.83266,2
24.996002,24.979168,0.8068279,0.43624035,87.0,23,-0.008339736,1782509567.83266,2
24.984001,24.969837,0.71928936,0.43603092,77.0,23,-0.008284439,1782509567.83266,2
24.984001,24.972197,0.6321172,0.43603092,70.0,23,-0.008229144,1782509567.83266,2
25.0,24.973793,0.9855973,0.58157855,43.0,24,-0.007680982,1782509567.83266,2
25.008,24.985073,0.8986974,0.58176464,40.0,24,-0.007625686,1782509567.83266,2
25.000002,24.980066,0.8112233,0.58157855,37.0,24,-0.0075703897,1782509567.83266,2
25.008,24.99074,0.72424674,0.58176464,37.0,24,-0.007515094,1782509567.83266,2
25.004002,24.98912,0.6368998,0.5816716,38.0,24,-0.007459798,1782509567.83266,2
24.991999,24.97368,0.9113876,0.29093397,64.0,22,-0.009373921,1782509567.9322543,3
24.987999,24.972713,0.82406914,0.2908874,63.0,22,-0.009318626,1782509567.9322543,3
24.987999,24.975178,0.74561596,0.2908874,63.0,22,-0.009254064,1782509567.9322543,3
24.996,24.985855,0.64991474,0.29098052,64.0,22,-0.009198768,1782509567.9322543,3
24.984,24.963097,0.9240911,0.43603092,77.0,23,-0.0085957125,1782509567.9322543,3
24.988,24.97017,0.83707535,0.43610072,77.0,23,-0.008540416,1782509567.9322543,3
24.988,24.973068,0.74555504,0.43610072,77.0,23,-0.008485121,1782509567.9322543,3
24.988,24.97552,0.6583715,0.43610072,77.0,23,-0.008429824,1782509567.9322543,3
24.991995,24.968132,0.92426777,0.5813924,38.0,24,-0.007838287,1782509567.9322543,3
25.008001,24.987196,0.83764833,0.58176464,37.0,24,-0.0077829915,1782509567.9322543,3
25.008,24.989836,0.7547882,0.58176464,38.0,24,-0.0077276956,1782509567.9322543,3
25.004002,24.98844,0.66306645,0.5816716,37.0,24,-0.0076723997,1782509567.9322543,3
24.992,24.97304,0.9288214,0.29093397,65.0,22,-0.009607025,1782509568.0329797,4
24.992002,24.976131,0.84163684,0.29093397,66.0,22,-0.009551729,1782509568.0329797,4
24.991999,24.978914,0.7544422,0.29093397,65.0,22,-0.009496434,1782509568.0329797,4
24.996,24.98528,0.67172956,0.29098052,65.0,22,-0.009441137,1782509568.0329797,4
24.984003,24.962776,0.93279237,0.43603092,77.0,23,-0.008817101,1782509568.0329797,4
24.976004,24.957886,0.845385,0.43589133,80.0,23,-0.008761805,1782509568.0329797,4
24.984003,24.96868,0.75850856,0.43603092,77.0,23,-0.008706509,1782509568.0329797,4
24.988003,24.975056,0.67580646,0.43610072,80.0,23,-0.008651213,1782509568.0329797,4
24.984001,24.959328,0.9457641,0.5812063,43.0,24,-0.0080592,1782509568.0329797,4
25.0,24.978462,0.8591772,0.58157855,37.0,24,-0.0080039045,1782509568.0329797,4
25.012001,24.993568,0.763621,0.5818577,37.0,24,-0.007957702,1782509568.0329797,4
25.008001,24.992085,0.6762576,0.58176464,38.0,24,-0.007902405,1782509568.0329797,4
24.968,24.948238,0.9496999,0.29065457,68.0,22,-0.00984919,1782509568.1327379,5
24.991999,24.975386,0.86343104,0.29093397,64.0,22,-0.009793894,1782509568.1327379,5
24.996,24.982244,0.7763748,0.29098052,65.0,22,-0.009738598,1782509568.1327379,5
24.992,24.980684,0.6934088,0.29093397,63.0,22,-0.009683303,1782509568.1327379,5
24.980003,24.957956,0.954422,0.43596113,80.0,23,-0.009068802,1782509568.1327379,5
24.984001,24.964827,0.8761547,0.43603092,77.0,23,-0.009013507,1782509568.1327379,5
24.988,24.97173,0.78913754,0.43610072,80.0,23,-0.00895821,1782509568.1327379,5
24.992002,24.97833,0.7020707,0.43617055,80.0,23,-0.008902915,1782509568.1327379,5
24.996002,24.970482,0.96799636,0.58148545,38.0,24,-0.008299457,1782509568.1327379,5
25.004002,24.9817,0.88111436,0.5816716,39.0,24,-0.008244161,1782509568.1327379,5
24.999998,24.980625,0.79378486,0.58157855,37.0,24,-0.008188865,1782509568.1327379,5
25.008001,24.99124,0.70680076,0.58176464,38.0,24,-0.008133569,1782509568.1327379,5
25.008001,24.993555,0.619566,0.58176464,38.0,24,-0.008078272,1782509568.1327379,5
24.995998,24.977678,0.91153353,0.29098052,64.0,22,-0.010005746,1782509568.2335212,6
24.996,24.983435,0.7371343,0.29098052,64.0,22,-0.009889704,1782509568.2335212,6
