cloud_index,point_count
0,14
1,13
2,11
3,12
4,13
5,14
6,9
7,14
8,12
9,10
10,11
11,10
12,11
13,8
14,9
15,5
16,12
17,11
18,12
19,10
20,10
21,13
22,9
23,14
24,6
25,5
26,8
27,7
28,9
29,9
30,6
31,9
32,9
33,10
34,7
35,9
36,6
37,9
38,8
39,10
40,8
41,6
42,5
43,5
44,10
45,7
46,5
47,5
48,6
49,9
50,8
51,10
52,2
53,6
54,4
55,4
56,4
57,6
58,9
59,3
60,3
61,7
62,5
64,4
65,4
66,5
67,3
68,1
69,2
70,4
71,3
72,6
73,8
74,3
75,6
76,1
77,6
78,4
79,8
80,4
81,6
82,4
83,9
84,2
85,3
86,4
87,4
88,2
89,4
90,4
91,3
92,3
93,3
94,4
95,3
96,4
97,5
98,3
99,5
100,9
101,6
102,1
103,3
104,3
105,3
106,2
107,2
108,1
109,4
110,5
111,4
112,4
113,3
114,3
115,1
116,7
117,3
118,4
119,4
120,3
121,3
122,2
123,5
124,2
125,5
126,3
127,6
128,1
131,2
132,1
133,3
134,1
136,4
137,3
138,2
139,1
140,4
141,2
142,1
143,7
146,5
149,1
150,4
151,1
155,3
156,1
157,3
158,2
159,4
160,2
161,1
162,2
163,2
164,1
165,3
166,2
167,1
169,3
170,1
171,3
172,4
173,2
174,3
175,1
176,2
177,1
178,2
179,1
180,2
181,1
183,5
184,1
185,1
186,2
187,1
188,2
189,3
190,2
191,1
192,3
193,4
194,1
195,2
196,3
197,3
199,2
200,2
201,1
203,4
204,2
205,1
206,2
207,2
208,3
211,2
212,1
213,3
216,1
220,1
221,1
222,2
223,1
225,3
226,1
227,1
228,1
231,1
232,3
233,2
236,1
237,1
238,2
239,4
242,1
243,2
244,2
245,2
250,1
252,3
253,1
256,1
263,1
264,1
265,1
269,1
270,1
271,1
272,2
273,1
274,1
275,3
277,1
278,2
279,2
280,3
281,1
283,1
285,1
286,1
288,1
291,2
292,1
294,1
