calculated_range,x,y,z,intensity,ring,time,timestamp,cloud_index
25.016003,25.0113,0.46277407,0.14539084,96.0,21,-0.075933166,1782501560.0079567,4
25.004002,25.000763,0.37528548,0.1453211,100.0,21,-0.07587787,1782501560.0079567,4
25.012001,25.00992,0.28810632,0.1453676,100.0,21,-0.07582257,1782501560.0079567,4
25.004002,25.002773,0.20073956,0.1453211,81.0,21,-0.07576728,1782501560.0079567,4
25.004002,24.998268,0.44944078,0.29107368,100.0,22,-0.07849859,1782501560.107781,5
24.996,24.991556,0.37079015,0.29098052,100.0,22,-0.07844329,1782501560.107781,5
24.996,24.992794,0.27483273,0.29098052,100.0,22,-0.07838799,1782501560.107781,5
24.987997,24.985535,0.19623259,0.2908874,100.0,22,-0.0783327,1782501560.107781,5
25.012001,25.002241,0.5455482,0.4365196,73.0,23,-0.07777564,1782501560.107781,5
25.004004,24.995996,0.45812953,0.43637997,59.0,23,-0.077720344,1782501560.107781,5
24.988003,24.981447,0.37063044,0.43610072,59.0,23,-0.077665046,1782501560.107781,5
24.992002,24.986588,0.28348923,0.43617055,59.0,23,-0.07761026,1782501560.107781,5
24.992002,24.98739,0.20062223,0.43617055,56.0,23,-0.07755496,1782501560.107781,5
25.008001,25.001436,0.5542647,0.14534435,93.0,21,-0.0762609,1782501560.107781,5
25.012001,25.007217,0.46706468,0.1453676,100.0,21,-0.07620561,1782501560.107781,5
25.012001,25.008696,0.37977034,0.1453676,100.0,21,-0.07615031,1782501560.107781,5
25.000002,24.997871,0.2923311,0.14529786,96.0,21,-0.076095015,1782501560.107781,5
25.004002,25.002739,0.20510343,0.1453211,100.0,21,-0.076039724,1782501560.107781,5
24.992,24.98436,0.54516804,0.29093397,52.0,22,-0.078759804,1782501560.2082894,6
24.995998,24.990108,0.45801938,0.29098052,100.0,22,-0.07870451,1782501560.2082894,6
24.992,24.987556,0.37073082,0.29093397,100.0,22,-0.078649215,1782501560.2082894,6
24.987999,24.9847,0.2834536,0.2908874,100.0,22,-0.07859392,1782501560.2082894,6
24.992002,24.989502,0.20063691,0.29093397,100.0,22,-0.07853862,1782501560.2082894,6
25.008001,24.998146,0.5498237,0.4364498,70.0,23,-0.07798299,1782501560.2082894,6
24.996,24.987917,0.46235582,0.43624035,59.0,23,-0.0779277,1782501560.2082894,6
24.996,24.989378,0.37512225,0.43624035,59.0,23,-0.0778724,1782501560.2082894,6
24.996,24.990534,0.2878841,0.43624035,63.0,23,-0.077817105,1782501560.2082894,6
25.016,25.009336,0.55880696,0.14539084,93.0,21,-0.076437,1782501560.2082894,6
25.004004,24.99914,0.47127852,0.1453211,96.0,21,-0.0763817,1782501560.2082894,6
25.004002,25.000631,0.38401228,0.1453211,96.0,21,-0.0763264,1782501560.2082894,6
25.004002,25.001818,0.29674166,0.1453211,100.0,21,-0.07626971,1782501560.2082894,6
24.996,24.994701,0.2093999,0.1452746,96.0,21,-0.07621441,1782501560.2082894,6
24.988,24.980072,0.5581595,0.2908874,100.0,22,-0.078981675,1782501560.3085032,7
25.004002,24.997866,0.47125417,0.29107368,100.0,22,-0.07893761,1782501560.3085032,7
25.008001,25.003355,0.38405916,0.29112023,100.0,22,-0.07888232,1782501560.3085032,7
24.996,24.992546,0.29662964,0.29098052,100.0,22,-0.07882702,1782501560.3085032,7
24.996,24.99343,0.20940506,0.29098052,100.0,22,-0.078771725,1782501560.3085032,7
25.008003,24.997856,0.56291187,0.4364498,70.0,23,-0.07822158,1782501560.3085032,7
25.000004,24.991673,0.4755147,0.43631017,59.0,23,-0.07816628,1782501560.3085032,7
24.992,24.98518,0.3881437,0.43617055,56.0,23,-0.07811099,1782501560.3085032,7
24.992002,24.986383,0.30092016,0.43617055,63.0,23,-0.078055695,1782501560.3085032,7
24.992002,24.987244,0.21805371,0.43617055,59.0,23,-0.0780004,1782501560.3085032,7
25.008001,25.000944,0.5760824,0.14534435,89.0,21,-0.076666765,1782501560.3085032,7
25.008001,25.002886,0.48444536,0.14534435,100.0,21,-0.07661147,1782501560.3085032,7
25.012001,25.008425,0.39722964,0.1453676,100.0,21,-0.07655617,1782501560.3085032,7
25.004002,25.001606,0.31419593,0.1453211,96.0,21,-0.07650087,1782501560.3085032,7
25.000002,24.998589,0.22252294,0.14529786,100.0,21,-0.07644558,1782501560.3085032,7
24.996,24.990942,0.4100441,0.29098052,100.0,22,-0.079111814,1782501560.4091938,8
25.000002,24.996222,0.32285187,0.2910271,100.0,22,-0.07905652,1782501560.4091938,8
24.992,24.989155,0.23988773,0.29093397,100.0,22,-0.079001226,1782501560.4091938,8
25.000002,24.989256,0.5888993,0.43631017,70.0,23,-0.078434154,1782501560.4091938,8
24.995998,24.987158,0.5016037,0.43624035,59.0,23,-0.078378856,1782501560.4091938,8
25.000004,24.99276,0.41443887,0.43631017,59.0,23,-0.07832356,1782501560.4091938,8
24.992002,24.986055,0.327084,0.43617055,59.0,23,-0.07827879,1782501560.4091938,8
24.988003,24.983004,0.24419133,0.43610072,63.0,23,-0.07822349,1782501560.4091938,8
25.012001,25.006275,0.51507413,0.1453676,100.0,21,-0.07684195,1782501560.4091938,8
25.008,25.00392,0.42771447,0.14534435,100.0,21,-0.07678665,1782501560.4091938,8
25.015999,25.01326,0.34054083,0.14539084,100.0,21,-0.076731354,1782501560.4091938,8
25.008001,25.006298,0.2531452,0.14534435,96.0,21,-0.07667606,1782501560.4091938,8
24.992,24.98603,0.46230692,0.29093397,100.0,22,-0.079311304,1782501560.5088558,9
24.996002,24.991493,0.37513995,0.29098052,100.0,22,-0.079256006,1782501560.5088558,9
