calculated_range,x,y,z,intensity,ring,time,timestamp,cloud_index
25.004002,25.002008,0.12219279,0.29107368,100.0,22,-0.047374215,1782499906.8023021,0
25.000002,24.99827,0.04364385,0.2910271,99.0,22,-0.047318917,1782499906.8023021,0
25.008001,25.00626,-0.048013218,0.29112023,100.0,22,-0.047263622,1782499906.8023021,0
25.004002,24.99838,0.30106467,0.43637997,59.0,23,-0.04670299,1782499906.8023021,0
25.004004,24.999243,0.21815842,0.43637997,56.0,23,-0.04664769,1782499906.8023021,0
25.012001,25.007872,0.12657617,0.4365196,59.0,23,-0.046592396,1782499906.8023021,0
24.992004,24.988152,0.04797742,0.43617055,59.0,23,-0.0465371,1782499906.8023021,0
24.996,24.992147,-0.047972202,0.43624035,28.0,23,-0.046481803,1782499906.8023021,0
25.012001,25.003366,0.30548894,0.5818577,100.0,24,-0.045939125,1782499906.8023021,0
25.008,25.000889,0.13090557,0.58176464,89.0,24,-0.045828536,1782499906.8023021,0
25.015999,25.009174,0.052379172,0.5819507,89.0,24,-0.04577804,1782499906.8023021,0
25.004002,25.001316,0.22256194,0.29107368,100.0,22,-0.047581807,1782499906.901715,1
24.996,24.993963,0.13086571,0.29098052,99.0,22,-0.047526512,1782499906.901715,1
24.995998,24.994259,0.047987014,0.29098052,97.0,22,-0.047471218,1782499906.901715,1
25.004002,25.00227,-0.043630157,0.29107368,99.0,22,-0.04741592,1782499906.901715,1
25.004004,24.999166,0.22689615,0.43637997,59.0,23,-0.046802852,1782499906.901715,1
25.004002,24.999828,0.13527365,0.43637997,59.0,23,-0.046747554,1782499906.901715,1
25.000002,24.99614,0.052355222,0.43631017,59.0,23,-0.04669226,1782499906.901715,1
24.988,24.984165,-0.03924816,0.43610072,35.0,23,-0.04663696,1782499906.901715,1
25.015999,25.0072,0.3186316,0.5819507,100.0,24,-0.04608189,1782499906.901715,1
25.012003,25.004164,0.23130126,0.5818577,89.0,24,-0.04602659,1782499906.901715,1
25.015999,25.008839,0.13967715,0.5819507,93.0,24,-0.045971297,1782499906.901715,1
25.015999,25.009165,0.05674412,0.5819507,93.0,24,-0.045916,1782499906.901715,1
25.008001,25.005314,0.22259752,0.29112023,97.0,22,-0.047760095,1782499907.001567,2
