range,x,y,z,intensity,ring,time,timestamp
25.000002,24.996548,0.29667714,0.2910271,99.0,22,-0.047484808,1782499906.8023021
24.996,24.99343,0.20940506,0.29098052,100.0,22,-0.04742951,1782499906.8023021
25.004002,25.002008,0.12219279,0.29107368,100.0,22,-0.047374215,1782499906.8023021
25.000002,24.99827,0.04364385,0.2910271,99.0,22,-0.047318917,1782499906.8023021
25.004004,24.999243,0.21815842,0.43637997,56.0,23,-0.04664769,1782499906.8023021
25.012001,25.007872,0.12657617,0.4365196,59.0,23,-0.046592396,1782499906.8023021
24.992004,24.988152,0.04797742,0.43617055,59.0,23,-0.0465371,1782499906.8023021
25.028,25.020273,0.21834867,0.5822299,89.0,24,-0.04588383,1782499906.8023021
25.008,25.000889,0.13090557,0.58176464,89.0,24,-0.045828536,1782499906.8023021
25.015999,25.009174,0.052379172,0.5819507,89.0,24,-0.04577804,1782499906.8023021
25.004002,25.00255,0.22692241,0.1453211,96.0,21,-0.045101486,1782499906.8023021
25.008001,25.007189,0.13966788,0.14534435,93.0,21,-0.04504619,1782499906.8023021
25.008,25.007523,0.05237576,0.14534435,89.0,21,-0.044990893,1782499906.8023021
25.004002,25.001316,0.22256194,0.29107368,100.0,22,-0.047581807,1782499906.901715
24.996,24.993963,0.13086571,0.29098052,99.0,22,-0.047526512,1782499906.901715
24.995998,24.994259,0.047987014,0.29098052,97.0,22,-0.047471218,1782499906.901715
25.004004,24.999166,0.22689615,0.43637997,59.0,23,-0.046802852,1782499906.901715
25.004002,24.999828,0.13527365,0.43637997,59.0,23,-0.046747554,1782499906.901715
25.000002,24.99614,0.052355222,0.43631017,59.0,23,-0.04669226,1782499906.901715
25.012003,25.004164,0.23130126,0.5818577,89.0,24,-0.04602659,1782499906.901715
25.015999,25.008839,0.13967715,0.5819507,93.0,24,-0.045971297,1782499906.901715
25.015999,25.009165,0.05674412,0.5819507,93.0,24,-0.045916,1782499906.901715
25.012001,25.01047,0.23572499,0.1453676,93.0,21,-0.045248028,1782499906.901715
25.000002,24.99914,0.14834955,0.14529786,96.0,21,-0.045192733,1782499906.901715
25.012001,25.011494,0.065480314,0.1453676,93.0,21,-0.04513744,1782499906.901715
25.008001,25.005314,0.22259752,0.29112023,97.0,22,-0.047760095,1782499907.001567
25.0,24.997986,0.12653582,0.2910271,100.0,22,-0.047704797,1782499907.001567
25.015999,25.014275,0.039294295,0.29121333,97.0,22,-0.047649503,1782499907.001567
24.992002,24.987167,0.22678725,0.43617055,56.0,23,-0.046990197,1782499907.001567
24.996,24.991827,0.13523036,0.43624035,56.0,23,-0.046934903,1782499907.001567
24.996,24.992138,0.05234684,0.43624035,59.0,23,-0.046879604,1782499907.001567
25.028,25.020157,0.23144922,0.5822299,89.0,24,-0.0462137,1782499907.001567
25.019999,25.012838,0.13969949,0.58204377,93.0,24,-0.046158403,1782499907.001567
25.012001,25.011139,0.14842077,0.1453676,93.0,21,-0.04538866,1782499907.001567
25.004002,25.003506,0.061095312,0.1453211,96.0,21,-0.045333367,1782499907.001567
24.991999,24.988546,0.29658216,0.29093397,99.0,22,-0.04797862,1782499907.1012244
25.012001,25.009428,0.20953912,0.29116678,97.0,22,-0.047923326,1782499907.1012244
25.008001,25.006006,0.12221233,0.29112023,97.0,22,-0.047868032,1782499907.1012244
24.996,24.994282,0.034901,0.29098052,95.0,22,-0.047812734,1782499907.1012244
24.996,24.99128,0.21373892,0.43624035,56.0,23,-0.047152236,1782499907.1012244
25.000002,24.995852,0.13088971,0.43631017,56.0,23,-0.047108896,1782499907.1012244
24.996,24.992163,0.039261702,0.43624035,56.0,23,-0.047053598,1782499907.1012244
25.016,25.008316,0.21387917,0.5819507,93.0,24,-0.04639771,1782499907.1012244
25.019999,25.012863,0.13533394,0.58204377,89.0,24,-0.04634241,1782499907.1012244
25.019999,25.013191,0.043656345,0.58204377,93.0,24,-0.046287116,1782499907.1012244
25.012001,25.010588,0.22262974,0.1453676,89.0,21,-0.045641318,1782499907.1012244
25.012005,25.011215,0.13532515,0.1453676,89.0,21,-0.04558602,1782499907.1012244
25.012003,25.011534,0.048018873,0.1453676,89.0,21,-0.045530725,1782499907.1012244
24.995998,24.992647,0.28791818,0.29098052,100.0,22,-0.04813116,1782499907.201436
25.004002,25.001501,0.20073326,0.29107368,100.0,22,-0.048075862,1782499907.201436
25.000002,24.99805,0.11344771,0.2910271,100.0,22,-0.048020568,1782499907.201436
24.996,24.994287,0.030550852,0.29098052,95.0,22,-0.04796527,1782499907.201436
25.000002,24.994486,0.2922922,0.43631017,56.0,23,-0.04735864,1782499907.201436
25.008001,25.003351,0.2051024,0.4364498,59.0,23,-0.04730334,1782499907.201436
25.000004,24.995918,0.11780261,0.43631017,59.0,23,-0.047248047,1782499907.201436
24.996002,24.992176,0.030538354,0.43624035,59.0,23,-0.047192752,1782499907.201436
25.012,25.00347,0.29676113,0.5818577,85.0,24,-0.0465912,1782499907.201436
25.015999,25.008352,0.2095144,0.5819507,93.0,24,-0.046535905,1782499907.201436
25.04,25.032927,0.12233489,0.58250904,93.0,24,-0.04648061,1782499907.201436
25.019999,25.013205,0.034925092,0.58204377,93.0,24,-0.04641891,1782499907.201436
25.004002,25.002665,0.2138308,0.1453211,96.0,21,-0.045760237,1782499907.201436
25.012003,25.01126,0.12659462,0.1453676,96.0,21,-0.045704942,1782499907.201436
25.008,25.00754,0.043646436,0.14534435,100.0,21,-0.045649644,1782499907.201436
25.004002,25.000843,0.27054548,0.29107368,100.0,22,-0.04829657,1782499907.301677
24.996,24.993603,0.18758337,0.29098052,100.0,22,-0.048241273,1782499907.301677
25.000004,24.998108,0.10035942,0.2910271,100.0,22,-0.048185978,1782499907.301677
24.996,24.994303,0.013090296,0.29098052,100.0,22,-0.048130684,1782499907.301677
25.004002,24.998585,0.28362536,0.43637997,56.0,23,-0.047517613,1782499907.301677
25.000002,24.995424,0.19632415,0.43631017,56.0,23,-0.047462318,1782499907.301677
25.000004,24.995958,0.109065995,0.43631017,59.0,23,-0.04740702,1782499907.301677
25.004005,25.000187,0.021821942,0.43637997,59.0,23,-0.047351725,1782499907.301677
25.012001,25.003572,0.28803325,0.5818577,100.0,24,-0.046759713,1782499907.301677
25.024002,25.016424,0.20084904,0.58213687,93.0,24,-0.046704415,1782499907.301677
25.015999,25.008972,0.113487914,0.5819507,93.0,24,-0.04664912,1782499907.301677
25.024,25.017216,0.026198078,0.58213687,93.0,24,-0.046593823,1782499907.301677
25.012001,25.009869,0.2924714,0.1453676,96.0,21,-0.04598568,1782499907.301677
25.008,25.006737,0.20513624,0.14534435,96.0,21,-0.045930382,1782499907.301677
25.008001,25.007301,0.11784486,0.14534435,96.0,21,-0.045875087,1782499907.301677
