calculated_range,x,y,z,intensity,ring,time,timestamp,cloud_index
24.979998,24.972828,0.5231029,0.29079428,62.0,22,-0.022617612,1782504364.215691,0
24.992,24.9865,0.43614298,0.29093397,62.0,22,-0.022577608,1782504364.215691,0
24.988,24.98381,0.35323068,0.2908874,62.0,22,-0.022522314,1782504364.215691,0
24.984001,24.980892,0.26596949,0.29084083,64.0,22,-0.022467017,1782504364.215691,0
24.983997,24.981634,0.18312162,0.29084083,62.0,22,-0.02241172,1782504364.215691,0
24.996,24.988232,0.4449,0.43624035,73.0,23,-0.021795314,1782504364.215691,0
24.992002,24.985699,0.3532595,0.43617055,73.0,23,-0.021740017,1782504364.215691,0
24.988003,24.982733,0.2703638,0.43610072,73.0,23,-0.021684721,1782504364.215691,0
24.988003,24.983526,0.18314938,0.43610072,77.0,23,-0.021629425,1782504364.215691,0
24.996,24.99138,0.45804223,0.1452746,35.0,21,-0.020237392,1782504364.215691,0
24.988,24.984829,0.37068468,0.1452281,37.0,21,-0.020182095,1782504364.215691,0
24.988,24.985922,0.28782988,0.1452281,35.0,21,-0.020126801,1782504364.215691,0
24.996,24.994772,0.20067532,0.1452746,35.0,21,-0.020071505,1782504364.215691,0
24.992,24.985785,0.4753886,0.29093397,61.0,22,-0.022792561,1782504364.3145864,1
24.988,24.983294,0.3881002,0.2908874,62.0,22,-0.022737265,1782504364.3145864,1
24.987999,24.984495,0.3009071,0.2908874,61.0,22,-0.022681968,1782504364.3145864,1
24.984,24.981318,0.2223839,0.29084083,63.0,22,-0.022626672,1782504364.3145864,1
24.984,24.981941,0.13517478,0.29084083,62.0,22,-0.022570694,1782504364.3145864,1
24.996,24.98742,0.48852125,0.43624035,77.0,23,-0.022013126,1782504364.3145864,1
24.992002,24.985044,0.3968526,0.43617055,73.0,23,-0.02195783,1782504364.3145864,1
24.988,24.982277,0.30960387,0.43610072,77.0,23,-0.021900898,1782504364.3145864,1
24.988003,24.983168,0.22675095,0.43610072,77.0,23,-0.021845603,1782504364.3145864,1
24.984,24.97983,0.13516544,0.43603092,66.0,23,-0.021790307,1782504364.3145864,1
24.992002,24.98672,0.4928575,0.14525135,34.0,21,-0.020463822,1782504364.3145864,1
25.000002,24.996286,0.40576437,0.14529786,35.0,21,-0.020408526,1782504364.3145864,1
24.992002,24.989494,0.32276812,0.14525135,35.0,21,-0.02035323,1782504364.3145864,1
24.992,24.990427,0.23989826,0.14525135,34.0,21,-0.020297933,1782504364.3145864,1
24.984,24.983139,0.1482546,0.14520486,34.0,21,-0.020242637,1782504364.3145864,1
24.987999,24.982424,0.440445,0.2908874,63.0,22,-0.022930553,1782504364.4141057,2
24.988,24.983871,0.34885848,0.2908874,61.0,22,-0.022875257,1782504364.4141057,2
24.987999,24.984936,0.2616635,0.2908874,62.0,22,-0.022819962,1782504364.4141057,2
24.991999,24.989634,0.18318026,0.29093397,62.0,22,-0.022764666,1782504364.4141057,2
24.988,24.980236,0.4447576,0.43610072,70.0,23,-0.022148736,1782504364.4141057,2
24.988003,24.981638,0.35755095,0.43610072,77.0,23,-0.02209344,1782504364.4141057,2
24.984001,24.978733,0.2703205,0.43603092,77.0,23,-0.022038143,1782504364.4141057,2
24.980003,24.975496,0.18744951,0.43596113,73.0,23,-0.021982847,1782504364.4141057,2
24.996,24.9913,0.46240407,0.1452746,35.0,21,-0.020624192,1782504364.4141057,2
24.996002,24.992764,0.37516537,0.1452746,35.0,21,-0.020560347,1782504364.4141057,2
25.000002,24.997921,0.28796813,0.14529786,35.0,21,-0.02050505,1782504364.4141057,2
24.996,24.994806,0.19631267,0.1452746,35.0,21,-0.020449756,1782504364.4141057,2
24.992002,24.985447,0.49284282,0.29093397,64.0,22,-0.023173911,1782504364.513739,3
24.984,24.979015,0.40548784,0.29084083,60.0,22,-0.023118615,1782504364.513739,3
24.984001,24.98028,0.3182975,0.29084083,59.0,22,-0.023063319,1782504364.513739,3
24.987999,24.985237,0.23112836,0.2908874,62.0,22,-0.023008022,1782504364.513739,3
24.987997,24.985891,0.14390548,0.2908874,60.0,22,-0.022952726,1782504364.513739,3
24.996002,24.987247,0.49723107,0.43624035,77.0,23,-0.022395192,1782504364.513739,3
24.995998,24.988829,0.40999958,0.43624035,77.0,23,-0.022339895,1782504364.513739,3
24.996,24.990053,0.32713634,0.43624035,77.0,23,-0.022284599,1782504364.513739,3
24.984003,24.979088,0.2354334,0.43603092,77.0,23,-0.022229305,1782504364.513739,3
24.988003,24.983757,0.14826776,0.43610072,73.0,23,-0.022174008,1782504364.513739,3
24.991999,24.986366,0.5103014,0.14525135,34.0,21,-0.020855155,1782504364.513739,3
24.992002,24.987999,0.42307937,0.14525135,36.0,21,-0.020799858,1782504364.513739,3
24.996002,24.993322,0.33590645,0.1452746,34.0,21,-0.020744562,1782504364.513739,3
24.992,24.990297,0.2529832,0.14525135,36.0,21,-0.020689266,1782504364.513739,3
24.992002,24.991058,0.16138741,0.14525135,34.0,21,-0.02063397,1782504364.513739,3
24.991999,24.985867,0.47102797,0.29093397,60.0,22,-0.023345249,1782504364.614572,4
24.995996,24.991356,0.38387486,0.29098052,59.0,22,-0.023289952,1782504364.614572,4
24.988,24.984547,0.2965347,0.2908874,59.0,22,-0.023246372,1782504364.614572,4
24.984,24.98143,0.20930454,0.29084083,61.0,22,-0.023191078,1782504364.614572,4
24.992002,24.983675,0.47536254,0.43617055,77.0,23,-0.022577053,1782504364.614572,4
24.992,24.98518,0.3881437,0.43617055,73.0,23,-0.022521758,1782504364.614572,4
24.992002,24.986437,0.29657134,0.43617055,77.0,23,-0.022466462,1782504364.614572,4
24.984001,24.979282,0.21363631,0.43603092,73.0,23,-0.022411166,1782504364.614572,4
24.991999,24.98697,0.4797743,0.14525135,34.0,21,-0.021017464,1782504364.614572,4
25.000002,24.996357,0.40140158,0.14529786,35.0,21,-0.020962168,1782504364.614572,4
24.984,24.98166,0.3095845,0.14520486,34.0,21,-0.020906871,1782504364.614572,4
24.988,24.98659,0.22241612,0.1452281,34.0,21,-0.020851575,1782504364.614572,4
24.992002,24.991215,0.13521694,0.14525135,32.0,21,-0.02079628,1782504364.614572,4
24.991999,24.986345,0.44486403,0.29093397,61.0,22,-0.023463454,1782504364.7141464,5
24.992002,24.987686,0.3619971,0.29093397,62.0,22,-0.023408158,1782504364.7141464,5
24.987999,24.984795,0.27474475,0.2908874,62.0,22,-0.023352861,1782504364.7141464,5
24.984,24.981604,0.18749332,0.29084083,61.0,22,-0.023297565,1782504364.7141464,5
24.996002,24.987997,0.4579829,0.43624035,73.0,23,-0.022696178,1782504364.7141464,5
24.984001,24.977448,0.3705711,0.43603092,70.0,23,-0.022640882,1782504364.7141464,5
24.980001,24.97459,0.28335312,0.43596113,77.0,23,-0.022585586,1782504364.7141464,5
24.980001,24.975428,0.1961671,0.43596113,73.0,23,-0.022539621,1782504364.7141464,5
24.988,24.983221,0.4666165,0.1452281,37.0,21,-0.021158079,1782504364.7141464,5
24.996,24.992697,0.3795274,0.1452746,35.0,21,-0.021102784,1782504364.7141464,5
24.996002,24.99387,0.2922843,0.1452746,36.0,21,-0.021047488,1782504364.7141464,5
24.988,24.986738,0.20497218,0.1452281,36.0,21,-0.020992192,1782504364.7141464,5
24.972,24.965014,0.5142215,0.29070115,70.0,22,-0.02370538,1782504364.8150299,6
24.987997,24.98265,0.42735314,0.2908874,61.0,22,-0.023650084,1782504364.8150299,6
24.988,24.983992,0.3401498,0.2908874,62.0,22,-0.023594787,1782504364.8150299,6
24.987997,24.985025,0.2529308,0.2908874,61.0,22,-0.023539491,1782504364.8150299,6
24.987999,24.985697,0.17444171,0.2908874,62.0,22,-0.023484197,1782504364.8150299,6
24.996,24.986712,0.5233957,0.43624035,77.0,23,-0.022925945,1782504364.8150299,6
24.988,24.98039,0.43602642,0.43610072,73.0,23,-0.02287065,1782504364.8150299,6
24.992002,24.98582,0.34452647,0.43617055,73.0,23,-0.022815354,1782504364.8150299,6
24.980003,24.974783,0.26590672,0.43596113,70.0,23,-0.022760058,1782504364.8150299,6
24.988,24.983616,0.17006885,0.43610072,73.0,23,-0.022704761,1782504364.8150299,6
25.000002,24.995539,0.44939062,0.14529786,36.0,21,-0.021332994,1782504364.8150299,6
25.000002,24.996956,0.3621371,0.14529786,36.0,21,-0.021277698,1782504364.8150299,6
24.996002,24.994116,0.27047297,0.1452746,34.0,21,-0.021210752,1782504364.8150299,6
25.000002,24.998909,0.18325494,0.14529786,35.0,21,-0.021155456,1782504364.8150299,6
24.996,24.9897,0.47983792,0.29098052,62.0,22,-0.02387389,1782504364.9148023,7
24.988,24.983225,0.39247242,0.2908874,61.0,22,-0.023818595,1782504364.9148023,7
24.984003,24.981358,0.21801202,0.29084083,61.0,22,-0.023708003,1782504364.9148023,7
24.996002,24.987673,0.47543857,0.43624035,73.0,23,-0.023093265,1782504364.9148023,7
24.988003,24.981047,0.3967891,0.43610072,73.0,23,-0.023037968,1782504364.9148023,7
24.996,24.990381,0.3009683,0.43624035,73.0,23,-0.022982672,1782504364.9148023,7
24.992002,24.987282,0.21370472,0.43617055,73.0,23,-0.022927376,1782504364.9148023,7
24.996,24.990803,0.4885747,0.1452746,34.0,21,-0.02155537,1782504364.9148023,7
24.992002,24.988358,0.4012731,0.14525135,35.0,21,-0.021500073,1782504364.9148023,7
24.996,24.993605,0.31409538,0.1452746,36.0,21,-0.021444779,1782504364.9148023,7
24.991999,24.990507,0.2311749,0.14525135,35.0,21,-0.021389483,1782504364.9148023,7
24.996002,24.995165,0.14396371,0.1452746,34.0,21,-0.021334186,1782504364.9148023,7
24.979998,24.97301,0.5143862,0.29079428,70.0,22,-0.024093373,1782504365.0147412,8
