range,x,y,z,intensity,t,reflectivity,ring,ambient,timestamp
25088,25.067602,0.7803359,0.6794636,370.0,50414850,349,29,36900,1782509284.0056872
25085,25.068922,0.62643445,0.6793867,383.0,50511860,312,29,44583,1782509284.0056872
25102,25.089285,0.47292277,0.6798228,395.0,50607800,355,29,52871,1782509284.0056872
25080,25.0651,0.76257676,0.4430523,407.0,50414850,404,30,59719,1782509284.0056872
25091,25.080301,0.6090329,0.44323084,400.0,50511860,450,30,55275,1782509284.0056872
25088,25.080566,0.4550772,0.44318214,412.0,50607800,440,30,62838,1782509284.0056872
25090,25.0782,0.74966496,0.20687811,362.0,50414850,434,31,31435,1782509284.0056872
25095,25.087324,0.5958928,0.20691215,384.0,50511860,529,31,45482,1782509284.0056872
25079,25.07451,0.44166642,0.20680323,303.0,50607800,538,31,59717,1782509284.0056872
25099,25.078594,0.780678,0.67974585,346.0,50418890,371,29,21855,1782509284.1064441
25091,25.074917,0.62658423,0.67954063,350.0,50515970,356,29,24325,1782509284.1064441
25083,25.070293,0.47256497,0.67933536,374.0,50611860,365,29,39231,1782509284.1064441
25104,25.089085,0.76330674,0.44344184,416.0,50418890,449,30,100,1782509284.1064441
25100,25.089298,0.6092515,0.4433769,431.0,50515970,429,30,9582,1782509284.1064441
25096,25.088564,0.4552224,0.443312,392.0,50611860,453,30,50326,1782509284.1064441
25099,25.087196,0.74993414,0.20693937,371.0,50418890,449,31,37172,1782509284.1064441
25079,25.07133,0.59551245,0.20680323,377.0,50515970,541,31,40710,1782509284.1064441
25099,25.094507,0.44201916,0.20693937,327.0,50611860,510,31,9750,1782509284.1064441
25106,25.085588,0.78089565,0.6799254,377.0,50425260,363,29,41556,1782509284.208678
25100,25.083912,0.6268089,0.6797715,387.0,50522470,351,29,47823,1782509284.208678
25086,25.073292,0.47262147,0.67941236,367.0,50618410,348,29,34975,1782509284.208678
25114,25.09908,0.76361084,0.44360414,427.0,50425260,421,30,7395,1782509284.208678
25101,25.090298,0.60927576,0.44339314,393.0,50522470,423,30,51223,1782509284.208678
25094,25.086565,0.4551861,0.44327953,410.0,50618410,446,30,61654,1782509284.208678
25081,25.069204,0.74939585,0.20681685,375.0,50425260,517,31,39625,1782509284.208678
25083,25.075329,0.5956075,0.20683046,401.0,50522470,499,31,56110,1782509284.208678
25059,25.054514,0.44131365,0.2066671,328.0,50618410,482,31,9878,1782509284.208678
25100,25.079594,0.780709,0.6797715,354.0,50426160,363,29,26966,1782509284.3049693
25088,25.071918,0.62650937,0.6794636,363.0,50523240,336,29,31921,1782509284.3049693
25099,25.086287,0.47286627,0.67974585,358.0,50619230,335,29,28982,1782509284.3049693
25087,25.072094,0.76278967,0.4431659,414.0,50426160,425,30,64148,1782509284.3049693
25107,25.096294,0.60942143,0.44349054,428.0,50523240,448,30,7732,1782509284.3049693
25109,25.10156,0.4554583,0.443523,383.0,50619230,414,30,45116,1782509284.3049693
25105,25.097322,0.5961305,0.20698021,382.0,50523240,497,31,44585,1782509284.3049693
25096,25.091509,0.44196624,0.20691895,346.0,50619230,511,31,21675,1782509284.3049693
25094,25.077915,0.6266591,0.6796176,352.0,50531810,364,29,25594,1782509284.4098966
25097,25.084288,0.4728286,0.67969453,354.0,50627750,346,29,26992,1782509284.4098966
25106,25.091084,0.76336753,0.4434743,421.0,50434750,431,30,3397,1782509284.4098966
25105,25.094296,0.60937285,0.44345805,424.0,50531810,412,30,5360,1782509284.4098966
25091,25.083565,0.45513165,0.44323084,359.0,50627750,430,30,29586,1782509284.4098966
25088,25.0762,0.7496052,0.20686449,358.0,50434750,451,31,28783,1782509284.4098966
25084,25.076328,0.5956313,0.20683727,363.0,50531810,528,31,32057,1782509284.4098966
25085,25.08051,0.44177222,0.20684408,314.0,50627750,516,31,1315,1782509284.4098966
25109,25.088585,0.78098893,0.6800024,382.0,50439360,345,29,44234,1782509284.5067773
25082,25.065924,0.6263596,0.6793097,352.0,50536420,363,29,25373,1782509284.5067773
25076,25.063297,0.47243315,0.6791558,386.0,50632370,335,29,46171,1782509284.5067773
25082,25.067099,0.7626376,0.44308475,430.0,50439360,411,30,8645,1782509284.5067773
25099,25.088299,0.6092272,0.4433607,410.0,50536420,392,30,62058,1782509284.5067773
25087,25.075201,0.74957526,0.20685768,374.0,50439360,451,31,38840,1782509284.5067773
25087,25.079327,0.5957026,0.20685768,383.0,50536420,511,31,44792,1782509284.5067773
25075,25.07051,0.44159585,0.20677601,320.0,50632370,538,31,4814,1782509284.5067773
25116,25.09558,0.78120655,0.6801819,404.0,50414010,374,29,58728,1782509284.6043456
25116,25.099901,0.62720835,0.6801819,352.0,50510990,336,29,25502,1782509284.6043456
25116,25.103277,0.4731864,0.6801819,371.0,50606930,394,29,37801,1782509284.6043456
25103,25.088085,0.7632763,0.4434256,386.0,50414010,458,30,46665,1782509284.6043456
25109,25.098293,0.60947,0.443523,427.0,50510990,438,30,7189,1782509284.6043456
25119,25.111557,0.4556398,0.4436853,384.0,50606930,446,30,45774,1782509284.6043456
25117,25.105186,0.7504724,0.20706189,382.0,50414010,512,31,44733,1782509284.6043456
25119,25.111317,0.5964633,0.2070755,394.0,50510990,494,31,52447,1782509284.6043456
25083,25.07851,0.44173697,0.20683046,300.0,50606930,528,31,57942,1782509284.6043456
25102,25.08159,0.78077126,0.6798228,331.0,50376150,347,29,12587,1782509284.7135992
25097,25.080914,0.626734,0.67969453,353.0,50473110,352,29,26329,1782509284.7135992
25087,25.074291,0.47264028,0.679438,369.0,50569000,342,29,35651,1782509284.7135992
25111,25.09608,0.76351964,0.44355544,428.0,50376150,451,30,7797,1782509284.7135992
25100,25.092562,0.455295,0.4433769,363.0,50569000,443,30,32197,1782509284.7135992
25094,25.082197,0.7497846,0.20690534,375.0,50376150,477,31,40084,1782509284.7135992
25086,25.078327,0.59567887,0.20685089,362.0,50473110,467,31,31802,1782509284.7135992
25093,25.088509,0.44191334,0.20689853,349.0,50569000,536,31,23362,1782509284.7135992
25076,25.055613,0.7799628,0.6791558,356.0,50344510,341,29,27287,1782509284.803769
25093,25.076916,0.6266342,0.6795919,377.0,50441370,380,29,41222,1782509284.803769
25094,25.08129,0.47277212,0.6796176,364.0,50537210,350,29,33227,1782509284.803769
25108,25.093082,0.7634284,0.44350675,430.0,50344510,420,30,9163,1782509284.803769
25103,25.095562,0.45534945,0.4434256,405.0,50537210,410,30,58886,1782509284.803769
25103,25.091194,0.75005376,0.2069666,359.0,50344510,432,31,29787,1782509284.803769
25094,25.086325,0.595869,0.20690534,367.0,50441370,489,31,34981,1782509284.803769
25109,25.092905,0.6270336,0.6800024,350.0,50434950,358,29,24631,1782509284.905999
25118,25.105276,0.47322407,0.68023324,345.0,50530740,369,29,21562,1782509284.905999
25106,25.095295,0.6093972,0.4434743,419.0,50434950,449,30,2022,1782509284.905999
25101,25.093563,0.45531315,0.44339314,400.0,50530740,418,30,55661,1782509284.905999
25115,25.103188,0.75041264,0.20704828,382.0,50338040,422,31,44566,1782509284.905999
25115,25.107319,0.59636825,0.20704828,391.0,50434950,495,31,50475,1782509284.905999
25095,25.078915,0.62668407,0.6796432,398.0,50445860,364,29,54577,1782509285.0037525
25117,25.102077,0.7637021,0.44365284,394.0,50348890,413,30,52220,1782509285.0037525
25095,25.0843,0.6091301,0.44329575,406.0,50445860,478,30,59621,1782509285.0037525
25087,25.079567,0.45505905,0.4431659,396.0,50541640,404,30,52934,1782509285.0037525
25102,25.090195,0.75002384,0.20695978,371.0,50348890,502,31,37569,1782509285.0037525
25092,25.084326,0.5958215,0.20689172,393.0,50445860,459,31,50844,1782509285.0037525
25071,25.050617,0.77980727,0.67902756,357.0,50344850,403,29,28112,1782509285.1041186
25091,25.07829,0.47271562,0.67954063,361.0,50537410,370,29,31174,1782509285.1041186
25105,25.090084,0.76333714,0.44345805,410.0,50344850,434,30,61952,1782509285.1041186
25098,25.0873,0.6092029,0.44334444,436.0,50441760,403,30,12825,1782509285.1041186
25097,25.089563,0.45524055,0.4433282,411.0,50537410,392,30,62641,1782509285.1041186
25105,25.093193,0.75011355,0.20698021,353.0,50344850,514,31,26214,1782509285.1041186
25089,25.081327,0.59575015,0.2068713,364.0,50441760,481,31,33039,1782509285.1041186
25087,25.08251,0.4418075,0.20685768,324.0,50537410,516,31,7645,1782509285.1041186
25080,25.059608,0.7800872,0.6792584,328.0,50377780,342,29,9736,1782509285.2103586
25121,25.104898,0.62733316,0.6803102,384.0,50474790,343,29,45737,1782509285.2103586
25116,25.108559,0.45558536,0.4436366,400.0,50570690,436,30,55864,1782509285.2103586
25075,25.063208,0.7492164,0.20677601,363.0,50377780,488,31,32111,1782509285.2103586
25072,25.067513,0.44154295,0.2067556,322.0,50570690,527,31,6071,1782509285.2103586
25112,25.091583,0.7810822,0.68007934,376.0,50404560,348,29,41136,1782509285.3055425
25121,25.108274,0.47328055,0.6803102,351.0,50597580,376,29,25362,1782509285.3055425
25116,25.101078,0.7636717,0.4436366,425.0,50404560,422,30,6176,1782509285.3055425
25114,25.103292,0.6095914,0.44360414,420.0,50501630,454,30,2799,1782509285.3055425
25102,25.094563,0.4553313,0.44340938,374.0,50597580,411,30,39331,1782509285.3055425
25112,25.10019,0.7503229,0.20702785,392.0,50404560,428,31,50782,1782509285.3055425
25090,25.082327,0.59577394,0.20687811,362.0,50501630,488,31,31756,1782509285.3055425
25088,25.08351,0.44182515,0.20686449,351.0,50597580,537,31,24537,1782509285.3055425
25097,25.076595,0.78061575,0.67969453,366.0,50408030,352,29,34517,1782509285.4058063
25096,25.083288,0.47280976,0.6796689,372.0,50600940,355,29,38266,1782509285.4058063
25091,25.076092,0.7629113,0.44323084,404.0,50408030,449,30,57814,1782509285.4058063
25078,25.066206,0.74930614,0.20679642,380.0,50408030,514,31,42730,1782509285.4058063
25081,25.073328,0.59556,0.20681685,354.0,50505040,525,31,26371,1782509285.4058063
25084,25.07951,0.4417546,0.20683727,325.0,50600940,504,31,8290,1782509285.4058063
25096,25.075596,0.7805847,0.6796689,358.0,50412590,350,29,29476,1782509285.5029747
25102,25.08591,0.62685883,0.6798228,360.0,50509650,340,29,30269,1782509285.5029747
25107,25.094282,0.47301692,0.6799511,356.0,50605540,340,29,27842,1782509285.5029747
25118,25.103077,0.76373255,0.44366905,412.0,50412590,401,30,63673,1782509285.5029747
25116,25.105291,0.60964,0.4436366,405.0,50509650,417,30,59122,1782509285.5029747
25115,25.107557,0.4555672,0.44362038,391.0,50605540,438,30,50161,1782509285.5029747
25120,25.108187,0.75056213,0.20708232,383.0,50412590,521,31,45373,1782509285.5029747
25103,25.095322,0.596083,0.2069666,377.0,50509650,506,31,41356,1782509285.5029747
25105,25.084589,0.78086454,0.67989975,344.0,50427490,376,29,20672,1782509285.6048472
25106,25.093283,0.47299808,0.6799254,359.0,50620510,377,29,30148,1782509285.6048472
25098,25.090563,0.4552587,0.44334444,386.0,50620510,438,30,46672,1782509285.6048472
25088,25.080326,0.5957264,0.20686449,358.0,50524570,517,31,29052,1782509285.6048472
25092,25.0716,0.7804603,0.67956626,338.0,50424590,364,29,16739,1782509285.705088
25107,25.090908,0.62698364,0.6799511,383.0,50521670,347,29,45455,1782509285.705088
25115,25.102278,0.47316757,0.6801563,366.0,50617610,394,29,34633,1782509285.705088
25115,25.104292,0.6096157,0.44362038,435.0,50521670,423,30,12446,1782509285.705088
25118,25.110558,0.45562166,0.44366905,408.0,50617610,421,30,61039,1782509285.705088
25096,25.084198,0.74984443,0.20691895,376.0,50424590,535,31,40439,1782509285.705088
25092,25.08751,0.4418957,0.20689172,312.0,50617610,547,31,65529,1782509285.705088
25098,25.081913,0.626759,0.67972016,361.0,50512600,358,29,31362,1782509285.804256
25088,25.075293,0.4726591,0.6794636,359.0,50608540,352,29,29959,1782509285.804256
25092,25.084564,0.4551498,0.44324705,390.0,50608540,463,30,49568,1782509285.804256
25114,25.102188,0.7503827,0.20704147,383.0,50415490,537,31,45170,1782509285.804256
25108,25.10032,0.59620184,0.20700063,373.0,50512600,555,31,38651,1782509285.804256
25100,25.087286,0.4728851,0.6797715,358.0,50630350,366,29,29469,1782509285.9052515
25100,25.085087,0.7631851,0.4433769,410.0,50437300,471,30,62271,1782509285.9052515
25097,25.0863,0.6091786,0.4433282,444.0,50534270,465,30,18138,1782509285.9052515
25095,25.083197,0.7498145,0.20691215,356.0,50437300,541,31,27783,1782509285.9052515
25106,25.089909,0.62695867,0.6799254,374.0,50519220,356,29,39718,1782509286.0058112
25108,25.095282,0.47303575,0.6799767,332.0,50615110,366,29,13213,1782509286.0058112
25109,25.094082,0.7634588,0.443523,420.0,50422160,428,30,2830,1782509286.0058112
25102,25.091297,0.6093,0.44340938,404.0,50519220,454,30,58000,1782509286.0058112
25094,25.073597,0.78052247,0.6796176,373.0,50378710,379,29,38723,1782509286.1035879
25081,25.064924,0.6263346,0.6792841,357.0,50475620,375,29,28440,1782509286.1035879
25090,25.075092,0.7628809,0.4432146,428.0,50378710,434,30,7438,1782509286.1035879
25079,25.068306,0.6087416,0.44303605,415.0,50475620,442,30,64512,1782509286.1035879
25093,25.085566,0.45516795,0.4432633,398.0,50571470,442,30,54105,1782509286.1035879
25084,25.072203,0.74948555,0.20683727,377.0,50378710,476,31,41150,1782509286.1035879
25092,25.07929,0.47273445,0.67956626,376.0,50551940,347,29,40758,1782509286.2068613
25110,25.099293,0.60949427,0.4435392,414.0,50456050,421,30,64653,1782509286.2068613
25110,25.10256,0.45547646,0.4435392,381.0,50551940,415,30,43878,1782509286.2068613
25081,25.076511,0.44170168,0.20681685,313.0,50551940,487,31,773,1782509286.2068613
