range,x,y,z,intensity,t,reflectivity,ring,ambient,timestamp
25108,25.100561,0.45544016,0.44350675,378.0,50560830,550,30,41835,1782501433.8738236
25105,25.099882,0.3013814,0.44345805,411.0,50659340,522,30,62731,1782501433.8738236
25102,25.09826,0.1473481,0.44340938,418.0,50756500,589,30,1807,1782501433.8738236
25076,25.071512,0.4416135,0.20678282,359.0,50560830,658,31,29324,1782501433.8738236
25090,25.087748,0.2879303,0.20687811,361.0,50659340,630,31,30993,1782501433.8738236
25090,25.089045,0.13398935,0.20687811,379.0,50756500,638,31,42281,1782501433.8738236
25082,25.074568,0.45496833,0.44308475,359.0,50590860,552,30,29387,1782501433.9652488
25091,25.085886,0.30121323,0.44323084,387.0,50689610,528,30,47309,1782501433.9652488
25120,25.116259,0.14745393,0.44370154,388.0,50786840,579,30,48846,1782501433.9652488
25087,25.08251,0.4418075,0.20685768,358.0,50590860,641,31,28991,1782501433.9652488
25093,25.090748,0.28796482,0.20689853,379.0,50689610,612,31,42466,1782501433.9652488
25089,25.088045,0.13398398,0.2068713,408.0,50786840,653,31,60426,1782501433.9652488
25087,25.079567,0.45505905,0.4431659,336.0,50621100,520,30,15167,1782501434.065013
25112,25.10826,0.1474069,0.4435717,394.0,50817080,566,30,51909,1782501434.065013
25093,25.088509,0.44191334,0.20689853,339.0,50621100,613,31,17274,1782501434.065013
25091,25.088749,0.2879418,0.20688492,372.0,50719760,613,31,38025,1782501434.065013
25097,25.096045,0.13402691,0.20692575,374.0,50817080,626,31,39326,1782501434.065013
25099,25.091562,0.45527685,0.4433607,378.0,50656630,501,30,41933,1782501434.162376
25103,25.097883,0.3013574,0.4434256,389.0,50755430,521,30,48841,1782501434.162376
25100,25.09626,0.14733635,0.4433769,398.0,50852670,576,30,54152,1782501434.162376
25105,25.100506,0.442125,0.20698021,375.0,50656630,677,31,39833,1782501434.162376
25098,25.095747,0.28802234,0.20693256,394.0,50755430,604,31,52059,1782501434.162376
25096,25.095045,0.13402155,0.20691895,380.0,50852670,624,31,43088,1782501434.162376
25100,25.092562,0.455295,0.4433769,378.0,50674360,556,30,41646,1782501434.261239
25101,25.095884,0.30133337,0.44339314,376.0,50773110,551,30,40442,1782501434.261239
25098,25.094261,0.14732459,0.44334444,398.0,50870440,559,30,54200,1782501434.261239
25111,25.106504,0.44223082,0.20702104,346.0,50674360,612,31,22001,1782501434.261239
25105,25.102747,0.28810287,0.20698021,411.0,50773110,594,31,62962,1782501434.261239
25107,25.106043,0.13408059,0.20699382,380.0,50870440,649,31,43166,1782501434.261239
25092,25.084564,0.4551498,0.44324705,362.0,50679990,519,30,31632,1782501434.3603046
25091,25.087263,0.14728345,0.44323084,397.0,50876060,567,30,53377,1782501434.3603046
25077,25.072512,0.44163114,0.20678963,333.0,50679990,691,31,12807,1782501434.3603046
25087,25.08475,0.2878958,0.20685768,377.0,50778700,670,31,40776,1782501434.3603046
25072,25.071045,0.13389274,0.2067556,362.0,50876060,611,31,31386,1782501434.3603046
25103,25.095562,0.45534945,0.4434256,354.0,50656770,553,30,26595,1782501434.464441
25106,25.100882,0.30139342,0.4434743,424.0,50755530,574,30,5120,1782501434.464441
25110,25.10626,0.14739515,0.4435392,392.0,50852860,554,30,50684,1782501434.464441
25079,25.07451,0.44166642,0.20680323,342.0,50656770,617,31,18910,1782501434.464441
25089,25.086748,0.2879188,0.2068713,352.0,50755530,604,31,25443,1782501434.464441
25085,25.084045,0.13396251,0.20684408,379.0,50852860,646,31,42138,1782501434.464441
25125,25.117556,0.45574868,0.4437827,356.0,50641030,563,30,28204,1782501434.5624
25128,25.122877,0.30165774,0.44383138,437.0,50739690,539,30,14000,1782501434.5624
25106,25.10226,0.14737163,0.4434743,413.0,50837010,566,30,63782,1782501434.5624
25089,25.084509,0.4418428,0.2068713,349.0,50641030,618,31,23478,1782501434.5624
25094,25.093044,0.13401082,0.20690534,397.0,50837010,627,31,53748,1782501434.5624
25111,25.10356,0.4554946,0.44355544,366.0,50637740,477,30,34725,1782501434.6657405
25102,25.096884,0.30134538,0.44340938,382.0,50736440,551,30,44237,1782501434.6657405
25078,25.074265,0.14720702,0.44301984,364.0,50833770,586,30,32893,1782501434.6657405
25103,25.098507,0.4420897,0.2069666,374.0,50637740,669,31,39204,1782501434.6657405
25082,25.081045,0.13394642,0.20682366,382.0,50833770,600,31,44219,1782501434.6657405
25085,25.077566,0.45502278,0.44313344,363.0,50634710,579,30,32426,1782501434.7647567
25099,25.093884,0.30130935,0.4433607,381.0,50733370,553,30,43538,1782501434.7647567
25091,25.090044,0.13399471,0.20688492,382.0,50830700,623,31,44266,1782501434.7647567
25128,25.120554,0.45580313,0.44383138,344.0,50619200,560,30,20696,1782501434.8618848
25111,25.10588,0.3014535,0.44355544,422.0,50717810,580,30,4568,1782501434.8618848
25115,25.11126,0.14742453,0.44362038,426.0,50815140,548,30,6715,1782501434.8618848
25082,25.07751,0.44171932,0.20682366,334.0,50619200,624,31,13890,1782501434.8618848
25095,25.092749,0.28798783,0.20691215,361.0,50717810,620,31,31130,1782501434.8618848
25086,25.085045,0.13396788,0.20685089,397.0,50815140,612,31,53666,1782501434.8618848
25119,25.11388,0.3015496,0.4436853,390.0,50707200,594,30,50011,1782501434.964342
25136,25.132256,0.14754799,0.4439612,422.0,50804560,549,30,4632,1782501434.964342
25099,25.094507,0.44201916,0.20693937,349.0,50608670,651,31,23469,1782501434.964342
25108,25.105747,0.28813735,0.20700063,385.0,50707200,646,31,46363,1782501434.964342
25109,25.108044,0.13409132,0.20700744,401.0,50804560,598,31,56728,1782501434.964342
25102,25.094563,0.4553313,0.44340938,360.0,50582190,532,30,30478,1782501435.0627396
25054,25.053045,0.13379614,0.20663306,351.0,50777930,651,31,23949,1782501435.0627396
25115,25.107557,0.4555672,0.44362038,353.0,50550750,524,30,26350,1782501435.1677926
25117,25.11188,0.3015256,0.44365284,401.0,50649260,547,30,56533,1782501435.1677926
25103,25.09926,0.14735399,0.4434256,422.0,50746390,552,30,3916,1782501435.1677926
25114,25.109505,0.44228372,0.20704147,350.0,50550750,680,31,24204,1782501435.1677926
25095,25.094044,0.13401619,0.20691215,399.0,50746390,570,31,54705,1782501435.1677926
25097,25.091885,0.3012853,0.4433282,412.0,50634310,520,30,63201,1782501435.263371
25104,25.10026,0.14735988,0.44344184,431.0,50731490,561,30,9571,1782501435.263371
25100,25.095507,0.4420368,0.20694618,351.0,50535920,636,31,24837,1782501435.263371
25099,25.096748,0.28803384,0.20693937,419.0,50634310,640,31,2106,1782501435.263371
25104,25.103045,0.13406448,0.2069734,418.0,50731490,639,31,1576,1782501435.263371
25134,25.126553,0.45591202,0.44392875,348.0,50542980,545,30,23409,1782501435.3620305
25092,25.088263,0.14728932,0.44324705,396.0,50738600,571,30,52755,1782501435.3620305
25094,25.089508,0.44193098,0.20690534,334.0,50542980,623,31,14097,1782501435.3620305
25104,25.101748,0.28809136,0.2069734,396.0,50641490,598,31,53471,1782501435.3620305
25099,25.098043,0.13403764,0.20693937,346.0,50738600,656,31,21551,1782501435.3620305
25124,25.116556,0.45573056,0.44376644,325.0,50570010,482,30,9053,1782501435.4603517
25105,25.101261,0.14736575,0.44345805,424.0,50765780,582,30,5690,1782501435.4603517
25084,25.07951,0.4417546,0.20683727,380.0,50570010,656,31,42684,1782501435.4603517
25082,25.07975,0.2878383,0.20682366,360.0,50668550,662,31,30040,1782501435.4603517
25093,25.092045,0.13400544,0.20689853,398.0,50765780,623,31,54385,1782501435.4603517
25093,25.085566,0.45516795,0.4432633,346.0,50594900,520,30,21565,1782501435.5659146
25098,25.092884,0.3012973,0.44334444,422.0,50693510,566,30,3744,1782501435.5659146
25084,25.081749,0.28786132,0.20683727,370.0,50693510,666,31,36351,1782501435.5659146
25094,25.086565,0.4551861,0.44327953,334.0,50638430,526,30,13989,1782501435.6646388
25100,25.094883,0.30132136,0.4433769,429.0,50737090,600,30,8646,1782501435.6646388
25101,25.097261,0.14734223,0.44339314,377.0,50834470,506,30,41318,1782501435.6646388
25101,25.100044,0.13404839,0.20695299,375.0,50834470,670,31,39786,1782501435.6646388
25096,25.088564,0.4552224,0.443312,345.0,50664280,540,30,20878,1782501435.7641463
25097,25.093262,0.14731872,0.4433282,406.0,50860420,574,30,59127,1782501435.7641463
25102,25.097507,0.44207206,0.20695978,372.0,50664280,646,31,38041,1782501435.7641463
25079,25.07157,0.45491388,0.44303605,335.0,50696210,539,30,14308,1782501435.8622572
25125,25.121258,0.14748332,0.4437827,396.0,50892450,555,30,53499,1782501435.8622572
25072,25.06975,0.28772327,0.2067556,390.0,50795020,644,31,48821,1782501435.8622572
25074,25.073046,0.13390349,0.2067692,394.0,50892450,649,31,51338,1782501435.8622572
25104,25.096561,0.4553676,0.44344184,362.0,50693000,541,30,31730,1782501435.9609308
25109,25.103882,0.30142948,0.443523,405.0,50791760,546,30,58909,1782501435.9609308
25113,25.109259,0.14741278,0.4435879,388.0,50889190,601,30,48594,1782501435.9609308
25094,25.091747,0.28797632,0.20690534,385.0,50791760,629,31,46180,1782501435.9609308
25105,25.09756,0.45538574,0.44345805,353.0,50676720,526,30,26153,1782501436.0633395
25139,25.135256,0.14756563,0.4440099,423.0,50872810,575,30,5186,1782501436.0633395
25101,25.098747,0.28805685,0.20695299,400.0,50775430,664,31,55571,1782501436.0633395
25098,25.097044,0.13403228,0.20693256,380.0,50872810,630,31,43098,1782501436.0633395
25109,25.105259,0.14738926,0.443523,386.0,50839520,584,30,47338,1782501436.1678505
25108,25.103506,0.4421779,0.20700063,379.0,50643540,579,31,42933,1782501436.1678505
25103,25.100748,0.28807986,0.2069666,392.0,50742200,668,31,50553,1782501436.1678505
25092,25.091043,0.13400008,0.20689172,396.0,50839520,605,31,53194,1782501436.1678505
25127,25.119555,0.45578498,0.44381514,363.0,50621420,530,30,32831,1782501436.2611306
25109,25.10156,0.4554583,0.443523,387.0,50607590,572,30,47404,1782501436.362729
25112,25.106882,0.3014655,0.4435717,414.0,50706150,576,30,64467,1782501436.362729
25098,25.090563,0.4552587,0.44334444,347.0,50583510,551,30,22117,1782501436.4647036
25114,25.110258,0.14741866,0.44360414,421.0,50779290,588,30,3957,1782501436.4647036
25077,25.076044,0.13391958,0.20678963,380.0,50779290,648,31,42599,1782501436.4647036
25107,25.101883,0.30140543,0.44349054,380.0,50672130,540,30,43137,1782501436.568458
25107,25.10326,0.1473775,0.44349054,389.0,50769310,555,30,48728,1782501436.568458
25120,25.112556,0.45565796,0.44370154,359.0,50566580,535,30,30156,1782501436.6609743
25115,25.10988,0.30150154,0.44362038,397.0,50665120,545,30,53976,1782501436.6609743
25091,25.083565,0.45513165,0.44323084,326.0,50586430,547,30,8799,1782501436.7613955
25104,25.098883,0.3013694,0.44344184,392.0,50684980,572,30,50467,1782501436.7613955
25109,25.104506,0.44219553,0.20700744,379.0,50586430,673,31,42447,1782501436.7613955
25110,25.105505,0.44221318,0.20701425,379.0,50615720,616,31,42773,1782501436.8602724
25083,25.08075,0.2878498,0.20683046,376.0,50714380,653,31,40169,1782501436.8602724
25084,25.083044,0.13395715,0.20683727,389.0,50811610,633,31,48487,1782501436.8602724
25121,25.11588,0.30157363,0.44371775,390.0,50727800,573,30,49539,1782501436.9611938
25124,25.120258,0.14747745,0.44376644,399.0,50825060,508,30,55635,1782501436.9611938
25066,25.061514,0.44143713,0.20671475,352.0,50629080,653,31,24778,1782501436.9611938
25122,25.119745,0.2882984,0.20709592,440.0,50727800,617,31,15960,1782501436.9611938
25117,25.116043,0.13413425,0.20706189,402.0,50825060,622,31,57379,1782501436.9611938
25107,25.09956,0.455422,0.44349054,359.0,50615520,611,30,30140,1782501437.0611477
25108,25.102882,0.30141747,0.44350675,418.0,50714130,527,30,1642,1782501437.0611477
25096,25.092262,0.14731283,0.443312,415.0,50811390,479,30,65299,1782501437.0611477
25106,25.09856,0.45540386,0.4434743,371.0,50601250,587,30,37808,1782501437.2622476
25093,25.089262,0.1472952,0.4432633,398.0,50797030,561,30,54084,1782501437.2622476
25081,25.078749,0.2878268,0.20681685,373.0,50699800,619,31,38425,1782501437.2622476
25067,25.066046,0.13386591,0.20672156,368.0,50797030,609,31,35085,1782501437.2622476
25090,25.082565,0.4551135,0.4432146,351.0,50604540,555,30,24469,1782501437.362032
25082,25.076887,0.3011051,0.44308475,384.0,50703100,555,30,45085,1782501437.362032
25081,25.076511,0.44170168,0.20681685,330.0,50604540,636,31,11295,1782501437.362032
25108,25.107044,0.13408595,0.20700063,379.0,50800380,614,31,42756,1782501437.362032
25085,25.081263,0.14724818,0.44313344,400.0,50819710,533,30,55346,1782501437.4655426
25078,25.073511,0.44164878,0.20679642,352.0,50623740,559,31,24861,1782501437.4655426
25097,25.089563,0.45524055,0.4433282,338.0,50630890,553,30,16424,1782501437.565333
25092,25.086885,0.30122524,0.44324705,371.0,50729550,536,30,37205,1782501437.565333
25117,25.109558,0.4556035,0.44365284,369.0,50632840,531,30,36433,1782501437.664007
25109,25.106747,0.28814885,0.20700744,382.0,50731550,647,31,44481,1782501437.664007
25067,25.059572,0.45469612,0.4428413,336.0,50620300,497,30,14951,1782501437.7637722
25113,25.107882,0.30147752,0.4435879,419.0,50718960,564,30,2181,1782501437.7637722
25118,25.114258,0.14744218,0.44366905,404.0,50816230,517,30,58605,1782501437.7637722
25085,25.08051,0.44177222,0.20684408,349.0,50620300,682,31,23063,1782501437.7637722
25102,25.099747,0.28806835,0.20695978,398.0,50718960,655,31,54375,1782501437.7637722
25110,25.10256,0.45547646,0.4435392,357.0,50624710,528,30,28757,1782501437.8608518
25089,25.085262,0.1472717,0.44319835,411.0,50820700,551,30,62247,1782501437.8608518
25107,25.104748,0.28812584,0.20699382,420.0,50723370,595,31,3141,1782501437.8608518
25130,25.126257,0.14751272,0.44386384,421.0,50824880,532,30,3967,1782501437.9647045
25063,25.058514,0.44138423,0.20669432,342.0,50628940,626,31,18577,1782501437.9647045
25116,25.108559,0.45558536,0.4436366,363.0,50619120,557,30,32491,1782501438.0704036
25103,25.102043,0.13405912,0.2069666,399.0,50815060,659,31,55013,1782501438.0704036
25076,25.06857,0.45485944,0.44298735,335.0,50583480,547,30,14214,1782501438.1657987
25072,25.064571,0.45478684,0.44292244,377.0,50592870,507,30,40758,1782501438.2635372
25093,25.087885,0.30123726,0.4432633,366.0,50691480,566,30,33907,1782501438.2635372
25088,25.084263,0.1472658,0.44318214,403.0,50788660,538,30,57267,1782501438.2635372
25075,25.07051,0.44159585,0.20677601,365.0,50592870,657,31,33075,1782501438.2635372
25075,25.074045,0.13390885,0.20677601,358.0,50819310,651,31,28720,1782501438.362143
25112,25.109747,0.28818336,0.20702785,381.0,50718250,631,31,43995,1782501438.4660478
25116,25.112259,0.14743042,0.4436366,400.0,50834330,567,30,55778,1782501438.563383
25100,25.097748,0.28804535,0.20694618,432.0,50737000,644,31,10290,1782501438.563383
25121,25.117258,0.1474598,0.44371775,447.0,50827300,474,30,20502,1782501438.6645648
25112,25.107506,0.44224843,0.20702785,359.0,50631330,648,31,30028,1782501438.6645648
25122,25.116879,0.30158564,0.443734,443.0,50723580,580,30,18061,1782501438.767234
25098,25.093508,0.44200152,0.20693256,370.0,50624940,670,31,36580,1782501438.767234
25096,25.093748,0.28799933,0.20691895,384.0,50723580,647,31,45496,1782501438.767234
25089,25.081566,0.45509535,0.44319835,351.0,50621870,573,30,24358,1782501438.8670976
25104,25.099506,0.44210735,0.2069734,373.0,50628560,569,31,38504,1782501438.965924
25106,25.103746,0.28811434,0.20698702,377.0,50727220,641,31,41304,1782501438.965924
25132,25.126877,0.30170578,0.4438963,388.0,50728000,562,30,48542,1782501439.0671272
25091,25.08651,0.44187805,0.20688492,362.0,50629340,628,31,31647,1782501439.0671272
25111,25.108747,0.28817186,0.20702104,368.0,50728000,609,31,35904,1782501439.0671272
25116,25.11088,0.30151355,0.4436366,410.0,50727700,539,30,62239,1782501439.1643856
25101,25.096506,0.44205442,0.20695299,379.0,50629100,662,31,42350,1782501439.1643856
25114,25.113043,0.13411815,0.20704147,397.0,50825020,609,31,54236,1782501439.1643856
25095,25.089884,0.30126128,0.44329575,396.0,50698810,579,30,53401,1782501439.3651094
25084,25.080263,0.1472423,0.4431172,366.0,50796040,529,30,33944,1782501439.3651094
25066,25.063751,0.28765425,0.20671475,362.0,50698810,629,31,31192,1782501439.3651094
