range,x,y,z,intensity,t,reflectivity,ring,ambient,timestamp
25115,25.104292,0.6096157,0.44362038,411.0,50542080,564,30,62718,1782512180.4248574
25109,25.10156,0.4554583,0.443523,411.0,50637860,607,30,62989,1782512180.4248574
25121,25.11588,0.30157363,0.44371775,376.0,50736570,568,30,40717,1782512180.4248574
25105,25.097322,0.5961305,0.20698021,410.0,50542080,636,31,62117,1782512180.4248574
25093,25.088509,0.44191334,0.20689853,388.0,50637860,658,31,47897,1782512180.4248574
25076,25.07375,0.2877693,0.20678282,313.0,50736570,656,31,409,1782512180.4248574
25096,25.085299,0.60915434,0.443312,380.0,50527590,588,30,43289,1782512180.5255337
25085,25.077566,0.45502278,0.44313344,409.0,50623390,616,30,61185,1782512180.5255337
25090,25.084887,0.30120122,0.4432146,377.0,50722030,622,30,41100,1782512180.5255337
25099,25.091324,0.59598786,0.20693937,357.0,50527590,682,31,28339,1782512180.5255337
25096,25.091509,0.44196624,0.20691895,427.0,50623390,686,31,6814,1782512180.5255337
25113,25.110746,0.28819486,0.20703466,318.0,50722030,636,31,4250,1782512180.5255337
25097,25.0863,0.6091786,0.4433282,389.0,50535080,589,30,48982,1782512180.6182554
25100,25.094883,0.30132136,0.4433769,352.0,50729570,574,30,25167,1782512180.6182554
25087,25.079327,0.5957026,0.20685768,361.0,50535080,619,31,30999,1782512180.6182554
25110,25.105505,0.44221318,0.20701425,368.0,50630860,644,31,35684,1782512180.6182554
25102,25.099747,0.28806835,0.20695978,284.0,50729570,641,31,48165,1782512180.6182554
25106,25.095295,0.6093972,0.4434743,405.0,50549310,571,30,58696,1782512180.7204392
25099,25.091562,0.45527685,0.4433607,375.0,50645080,583,30,40224,1782512180.7204392
25095,25.089884,0.30126128,0.44329575,368.0,50743790,600,30,35652,1782512180.7204392
25085,25.082748,0.2878728,0.20684408,330.0,50743790,635,31,11363,1782512180.7204392
25096,25.088564,0.4552224,0.443312,397.0,50639590,600,30,53931,1782512180.8254297
25097,25.091885,0.3012853,0.4433282,374.0,50738300,577,30,39599,1782512180.8254297
25095,25.087324,0.5958928,0.20691215,376.0,50543660,685,31,40221,1782512180.8254297
25073,25.068512,0.4415606,0.20676239,373.0,50639590,672,31,37995,1782512180.8254297
25042,25.039753,0.28737822,0.20655139,301.0,50738300,671,31,57808,1782512180.8254297
25102,25.091297,0.6093,0.44340938,412.0,50518830,569,30,63042,1782512180.9237223
25115,25.107557,0.4555672,0.44362038,389.0,50614560,649,30,48991,1782512180.9237223
25099,25.093884,0.30130935,0.4433607,362.0,50713220,574,30,31454,1782512180.9237223
25083,25.075329,0.5956075,0.20683046,364.0,50518830,674,31,32504,1782512180.9237223
25079,25.07451,0.44166642,0.20680323,364.0,50614560,680,31,32403,1782512180.9237223
25072,25.06975,0.28772327,0.2067556,326.0,50713220,667,31,8450,1782512180.9237223
25088,25.080566,0.4550772,0.44318214,388.0,50572480,563,30,47674,1782512181.024137
25084,25.078886,0.30112913,0.4431172,356.0,50671070,597,30,27909,1782512181.024137
25091,25.083326,0.5957977,0.20688492,387.0,50476780,607,31,47502,1782512181.024137
25101,25.096506,0.44205442,0.20695299,387.0,50572480,643,31,47495,1782512181.024137
25101,25.098747,0.28805685,0.20695299,318.0,50671070,668,31,3883,1782512181.024137
25101,25.090298,0.60927576,0.44339314,403.0,50466360,601,30,57811,1782512181.1236918
25098,25.090563,0.4552587,0.44334444,441.0,50562010,589,30,16217,1782512181.1236918
25078,25.072887,0.30105704,0.44301984,344.0,50660550,553,30,19866,1782512181.1236918
25078,25.07033,0.59548867,0.20679642,361.0,50466360,634,31,30754,1782512181.1236918
25075,25.07051,0.44159585,0.20677601,376.0,50562010,611,31,40243,1782512181.1236918
25066,25.063751,0.28765425,0.20671475,315.0,50660550,648,31,1544,1782512181.1236918
25107,25.096294,0.60942143,0.44349054,378.0,50443420,610,30,42123,1782512181.2199767
25103,25.095562,0.45534945,0.4434256,409.0,50539000,590,30,61698,1782512181.2199767
25109,25.103882,0.30142948,0.443523,384.0,50637510,576,30,45505,1782512181.2199767
25085,25.077328,0.5956551,0.20684408,363.0,50443420,630,31,32157,1782512181.2199767
25086,25.08151,0.44178987,0.20685089,374.0,50539000,690,31,38765,1782512181.2199767
25077,25.074749,0.2877808,0.20678963,308.0,50637510,630,31,62954,1782512181.2199767
25119,25.10829,0.60971284,0.4436853,447.0,50456270,584,30,20496,1782512181.3190098
25113,25.105558,0.4555309,0.4435879,409.0,50551900,572,30,61366,1782512181.3190098
25108,25.102882,0.30141747,0.44350675,356.0,50650460,610,30,28268,1782512181.3190098
25098,25.093508,0.44200152,0.20693256,393.0,50551900,637,31,51249,1782512181.3190098
25063,25.060751,0.28761977,0.20669432,301.0,50650460,652,31,58217,1782512181.3190098
25097,25.089563,0.45524055,0.4433282,402.0,50562130,635,30,56904,1782512181.4218416
25110,25.104881,0.3014415,0.4435392,359.0,50660690,562,30,29832,1782512181.4218416
25104,25.096321,0.5961067,0.2069734,414.0,50466380,613,31,64733,1782512181.4218416
25105,25.100506,0.442125,0.20698021,416.0,50562130,632,31,385,1782512181.4218416
25096,25.093748,0.28799933,0.20691895,319.0,50660690,607,31,4774,1782512181.4218416
25080,25.069305,0.60876584,0.4430523,395.0,50487450,596,30,52380,1782512181.5179183
25114,25.108881,0.30148953,0.44360414,362.0,50681740,564,30,31781,1782512181.5179183
25100,25.092323,0.59601164,0.20694618,395.0,50487450,668,31,52384,1782512181.5179183
25087,25.08251,0.4418075,0.20685768,351.0,50583130,644,31,24555,1782512181.5179183
25104,25.101748,0.28809136,0.2069734,310.0,50681740,632,31,64622,1782512181.5179183
25082,25.071306,0.6088144,0.44308475,379.0,50515610,579,30,42437,1782512181.624938
25092,25.084564,0.4551498,0.44324705,403.0,50611350,557,30,57239,1782512181.624938
25085,25.079887,0.30114114,0.44313344,356.0,50710060,550,30,27564,1782512181.624938
25107,25.099321,0.59617805,0.20699382,375.0,50515610,680,31,39844,1782512181.624938
25099,25.094507,0.44201916,0.20693937,381.0,50611350,665,31,43551,1782512181.624938
25105,25.094296,0.60937285,0.44345805,396.0,50538390,572,30,53003,1782512181.71929
25101,25.093563,0.45531315,0.44339314,370.0,50634180,616,30,36936,1782512181.71929
25092,25.086885,0.30122524,0.44324705,377.0,50732940,556,30,40874,1782512181.71929
25086,25.078327,0.59567887,0.20685089,412.0,50538390,666,31,62810,1782512181.71929
25094,25.089508,0.44193098,0.20690534,399.0,50634180,677,31,54734,1782512181.71929
25078,25.07575,0.2877923,0.20679642,315.0,50732940,627,31,1860,1782512181.71929
25111,25.10356,0.4554946,0.44355544,396.0,50630780,607,30,53561,1782512181.8215067
25104,25.098883,0.3013694,0.44344184,351.0,50729440,571,30,24633,1782512181.8215067
25113,25.108505,0.44226608,0.20703466,391.0,50630780,649,31,50218,1782512181.8215067
25086,25.078568,0.45504093,0.4431497,403.0,50583340,617,30,57419,1782512181.9270406
25076,25.070889,0.30103302,0.44298735,372.0,50681950,619,30,37703,1782512181.9270406
25109,25.10132,0.5962256,0.20700744,375.0,50487700,626,31,40182,1782512181.9270406
25102,25.097507,0.44207206,0.20695978,366.0,50583340,681,31,34083,1782512181.9270406
25114,25.111746,0.28820637,0.20704147,281.0,50681950,671,31,46280,1782512181.9270406
25125,25.114286,0.6098585,0.4437827,402.0,50450650,586,30,57748,1782512182.0196707
25113,25.107882,0.30147752,0.4435879,389.0,50644790,614,30,49153,1782512182.0196707
25111,25.10332,0.5962731,0.20702104,416.0,50450650,572,31,193,1782512182.0196707
25108,25.103506,0.4421779,0.20700063,399.0,50546300,684,31,54982,1782512182.0196707
25112,25.104559,0.45551276,0.4435717,386.0,50539770,595,30,47350,1782512182.1194465
25094,25.088884,0.30124927,0.44327953,329.0,50638280,591,30,11115,1782512182.1194465
25112,25.104319,0.5962969,0.20702785,375.0,50444190,633,31,40201,1782512182.1194465
25116,25.111504,0.442319,0.20705508,389.0,50539770,639,31,49070,1782512182.1194465
