range,x,y,z,intensity,t,reflectivity,ring,ambient,timestamp
25106,25.102694,-0.006655719,0.4434743,378.0,50917970,536,30,41869,1782502973.867557
25096,25.09218,-0.1606189,0.443312,401.0,51015590,569,30,55990,1782502973.867557
25075,25.074392,-0.019945107,0.20677601,396.0,50917970,700,31,52961,1782502973.867557
25093,25.091799,-0.17392261,0.20689853,371.0,51015590,653,31,37219,1782502973.867557
25110,25.106691,-0.0066567445,0.4435392,398.0,50895290,565,30,54407,1782502973.9607816
25106,25.102179,-0.16068281,0.4434743,369.0,50992770,550,30,36120,1782502973.9607816
25099,25.098392,-0.019963562,0.20693937,371.0,50895290,694,31,37737,1782502973.9607816
25090,25.088799,-0.1739019,0.20687811,359.0,50992770,649,31,29630,1782502973.9607816
25105,25.101692,-0.006655463,0.44345805,388.0,50873470,562,30,48016,1782502974.0595663
25107,25.10318,-0.1606892,0.44349054,411.0,50971000,551,30,62619,1782502974.0595663
25093,25.092392,-0.019958949,0.20689853,377.0,50873470,633,31,41092,1782502974.0595663
25098,25.096798,-0.17395714,0.20693256,387.0,50971000,685,31,47207,1782502974.0595663
25136,25.132689,-0.0066634086,0.4439612,453.0,50879900,568,30,24115,1782502974.1642883
25112,25.10818,-0.16072117,0.4435717,407.0,50977420,553,30,60193,1782502974.1642883
25081,25.080393,-0.019949721,0.20681685,388.0,50879900,642,31,47750,1782502974.1642883
25096,25.094797,-0.17394333,0.20691895,357.0,50977420,645,31,28501,1782502974.1642883
25109,25.105692,-0.006656488,0.443523,399.0,50886900,610,30,55407,1782502974.2647378
25113,25.109179,-0.16072755,0.4435879,394.0,50984420,563,30,51955,1782502974.2647378
25105,25.104391,-0.019968178,0.20698021,393.0,50886900,646,31,51333,1782502974.2647378
25101,25.099798,-0.17397785,0.20695299,353.0,50984420,655,31,26006,1782502974.2647378
25097,25.093695,-0.0066534122,0.4433282,396.0,50877830,558,30,52931,1782502974.363874
25100,25.09618,-0.16064447,0.4433769,375.0,50975310,535,30,39885,1782502974.363874
25086,25.085392,-0.019953566,0.20685089,371.0,50877830,693,31,37490,1782502974.363874
25105,25.103798,-0.17400546,0.20698021,365.0,50975310,672,31,33557,1782502974.363874
25102,25.101393,-0.01996587,0.20695978,390.0,50873930,663,31,49305,1782502974.4621243
25115,25.113796,-0.17407452,0.20704828,417.0,50971460,711,31,1418,1782502974.4621243
25117,25.113691,-0.0066585387,0.44365284,424.0,50894530,547,30,5507,1782502974.5595498
25115,25.111692,-0.006658026,0.44362038,398.0,50916960,529,30,54694,1782502974.658332
25117,25.113178,-0.16075312,0.44365284,411.0,51014590,533,30,62919,1782502974.658332
25122,25.121391,-0.01998125,0.20709592,383.0,50916960,633,31,45434,1782502974.658332
25131,25.12769,-0.006662127,0.44388005,396.0,50940550,583,30,54097,1782502974.7633643
25145,25.141172,-0.16093208,0.4441073,406.0,51038180,577,30,60737,1782502974.7633643
25101,25.100391,-0.019965101,0.20695299,392.0,50940550,664,31,50530,1782502974.7633643
25103,25.101797,-0.17399165,0.2069666,367.0,51038180,668,31,34798,1782502974.7633643
25118,25.11469,-0.006658795,0.44366905,400.0,50944820,605,30,56246,1782502974.8583822
25114,25.110178,-0.16073394,0.44360414,409.0,51042450,566,30,61414,1782502974.8583822
25116,25.11539,-0.019976636,0.20705508,405.0,50944820,693,31,59499,1782502974.8583822
25113,25.111797,-0.1740607,0.20703466,390.0,51042450,649,31,49587,1782502974.8583822
25127,25.12369,-0.0066611017,0.44381514,396.0,50944780,599,30,53934,1782502974.9567266
25109,25.105179,-0.16070199,0.443523,391.0,51042270,596,30,50424,1782502974.9567266
25129,25.128391,-0.019986633,0.20714357,382.0,50944780,694,31,45229,1782502974.9567266
25126,25.124796,-0.17415047,0.20712315,416.0,51042270,675,31,589,1782502974.9567266
25113,25.109692,-0.0066575133,0.4435879,399.0,50952440,616,30,55449,1782502975.063256
25103,25.099693,-0.0066549503,0.4434256,390.0,50948160,558,30,49269,1782502975.158855
25115,25.111177,-0.16074033,0.44362038,395.0,51045780,577,30,53170,1782502975.158855
25112,25.110798,-0.1740538,0.20702785,356.0,51045780,633,31,28218,1782502975.158855
25119,25.115177,-0.1607659,0.4436853,393.0,51035270,555,30,51487,1782502975.2582772
25058,25.057392,-0.019932033,0.2066603,354.0,50937690,715,31,26178,1782502975.2582772
25085,25.0838,-0.17386737,0.20684408,357.0,51035270,621,31,28430,1782502975.2582772
25096,25.095392,-0.019961257,0.20691895,369.0,50908360,690,31,35813,1782502975.3589396
25108,25.106798,-0.17402618,0.20700063,405.0,51005940,679,31,58776,1782502975.3589396
25112,25.108692,-0.006657257,0.4435717,405.0,50903000,551,30,58943,1782502975.4583583
25110,25.106178,-0.16070838,0.4435392,390.0,51000530,607,30,49763,1782502975.4583583
25084,25.083393,-0.019952029,0.20683727,367.0,50903000,624,31,34693,1782502975.4583583
25092,25.090797,-0.1739157,0.20689172,409.0,51000530,649,31,61139,1782502975.4583583
25090,25.089392,-0.019956643,0.20687811,377.0,50898970,629,31,41072,1782502975.5595043
25104,25.102798,-0.17399856,0.2069734,397.0,50996550,658,31,53773,1782502975.5595043
25086,25.082695,-0.006650593,0.4431497,358.0,50900590,582,30,29290,1782502975.6585667
25099,25.09518,-0.16063808,0.4433607,369.0,50998120,563,30,35924,1782502975.6585667
25075,25.0738,-0.17379832,0.20677601,353.0,50998120,698,31,25935,1782502975.6585667
25124,25.120176,-0.16079786,0.44376644,400.0,51007350,598,30,56390,1782502975.7598045
25069,25.068392,-0.019940494,0.20673516,370.0,50909730,643,31,36184,1782502975.7598045
25100,25.098799,-0.17397094,0.20694618,389.0,51007350,653,31,48686,1782502975.7598045
25130,25.12669,-0.0066618705,0.44386384,392.0,50914900,631,30,51278,1782502975.8592353
25139,25.135174,-0.16089372,0.4440099,419.0,51012470,615,30,3070,1782502975.8592353
25129,25.127796,-0.17417118,0.20714357,357.0,51012470,669,31,28962,1782502975.8592353
25119,25.11569,-0.0066590514,0.4436853,431.0,50915160,542,30,10000,1782502975.960613
25120,25.116177,-0.1607723,0.44370154,391.0,51012640,570,30,50157,1782502975.960613
25084,25.082798,-0.17386046,0.20683727,381.0,51012640,671,31,43231,1782502975.960613
25133,25.129175,-0.16085538,0.44391254,429.0,51015200,555,30,8958,1782502976.0619442
25100,25.099392,-0.019964332,0.20694618,387.0,50917630,647,31,47458,1782502976.0619442
25104,25.10018,-0.16067003,0.44344184,400.0,51028300,544,30,55662,1782502976.1575873
25095,25.093798,-0.17393643,0.20691215,377.0,51028300,659,31,40993,1782502976.1575873
25128,25.12469,-0.006661358,0.44383138,395.0,50921800,589,30,53372,1782502976.2582417
25104,25.103392,-0.019967409,0.2069734,342.0,50921800,646,31,19176,1782502976.2582417
25120,25.11939,-0.019979713,0.20708232,376.0,50906180,655,31,40867,1782502976.3563383
25123,25.121798,-0.17412975,0.20710273,388.0,51003710,675,31,48374,1782502976.3563383
25099,25.097797,-0.17396404,0.20693937,387.0,50998460,643,31,47466,1782502976.4635265
25114,25.110691,-0.0066577694,0.44360414,397.0,50903160,559,30,53884,1782502976.5586607
25100,25.096693,-0.0066541815,0.4433769,436.0,50897850,561,30,12640,1782502976.6596065
25088,25.084183,-0.16056776,0.44318214,378.0,50995400,554,30,41429,1782502976.6596065
25086,25.084799,-0.17387427,0.20685089,374.0,51004060,683,31,38803,1782502976.7588289
25085,25.081696,-0.0066503366,0.44313344,378.0,50910060,559,30,41359,1782502976.8596644
25098,25.094181,-0.16063169,0.44334444,383.0,51007650,584,30,45244,1782502976.8596644
25088,25.087393,-0.019955104,0.20686449,369.0,50910060,677,31,35731,1782502976.8596644
25109,25.107798,-0.17403309,0.20700744,388.0,51007650,691,31,48023,1782502976.8596644
25139,25.135689,-0.0066641774,0.4440099,394.0,50909570,586,30,52981,1782502976.960138
25137,25.133175,-0.16088094,0.44397745,395.0,51007100,567,30,53040,1782502976.960138
25125,25.123796,-0.17414357,0.20711635,405.0,51007100,661,31,59226,1782502976.960138
25093,25.089695,-0.0066523873,0.4432633,412.0,50929590,570,30,62850,1782502977.0646412
25091,25.087181,-0.16058694,0.44323084,394.0,51027210,562,30,51515,1782502977.0646412
25080,25.079391,-0.019948952,0.20681004,372.0,50929590,621,31,37771,1782502977.0646412
25097,25.095798,-0.17395023,0.20692575,358.0,51027210,691,31,28893,1782502977.0646412
25109,25.10839,-0.019971253,0.20700744,379.0,50957660,670,31,42463,1782502977.1601214
25089,25.085695,-0.006651362,0.44319835,367.0,50942780,561,30,34495,1782502977.2577572
25089,25.088392,-0.019955873,0.2068713,374.0,50942780,643,31,39078,1782502977.2577572
25102,25.100798,-0.17398475,0.20695978,409.0,51040410,666,31,61246,1782502977.2577572
25097,25.09318,-0.1606253,0.4433282,408.0,51010630,641,30,60650,1782502977.3583014
25105,25.10118,-0.16067642,0.44345805,381.0,51004050,593,30,44064,1782502977.4612372
25095,25.094393,-0.019960487,0.20691215,359.0,50906470,647,31,29722,1782502977.4612372
25087,25.085798,-0.17388119,0.20685768,342.0,51004050,647,31,18887,1782502977.4612372
25123,25.119177,-0.16079147,0.4437502,411.0,51011790,546,30,62971,1782502977.5595186
25133,25.129688,-0.00666264,0.44391254,416.0,50917010,579,30,1262,1782502977.6580486
25128,25.124176,-0.16082342,0.44383138,401.0,51014540,568,30,56645,1782502977.6580486
25121,25.117176,-0.16077869,0.44371775,406.0,51025210,523,30,59911,1782502977.7581422
25098,25.097391,-0.019962795,0.20693256,352.0,50927630,639,31,25411,1782502977.7581422
25087,25.086391,-0.019954335,0.20685768,366.0,50926740,677,31,33829,1782502977.8604352
25102,25.098694,-0.0066546937,0.44340938,370.0,50922610,603,30,37021,1782502977.9594786
25059,25.058393,-0.019932803,0.2066671,340.0,50922610,662,31,17060,1782502977.9594786
