range,x,y,z,intensity,t,reflectivity,ring,ambient,timestamp
25117,25.1009,0.62723327,0.6802076,418.0,50531270,526,29,1838,1782508427.5129526
25108,25.095282,0.47303575,0.6799767,414.0,50627260,540,29,64587,1782508427.5129526
25109,25.098713,0.31905782,0.6800024,411.0,50725700,515,29,62848,1782508427.5129526
25106,25.095295,0.6093972,0.4434743,436.0,50531270,555,30,12788,1782508427.5129526
25108,25.100561,0.45544016,0.44350675,421.0,50627260,614,30,3688,1782508427.5129526
25096,25.090885,0.3012733,0.443312,376.0,50725700,655,30,40404,1782508427.5129526
25133,25.11689,0.62763274,0.68061805,380.0,50531280,529,29,43700,1782508427.613134
25121,25.108274,0.47328055,0.6803102,412.0,50627230,507,29,63771,1782508427.613134
25121,25.110706,0.3192102,0.6803102,390.0,50725740,528,29,49772,1782508427.613134
25123,25.112288,0.60980994,0.4437502,423.0,50531280,588,30,5411,1782508427.613134
25095,25.087564,0.45520425,0.44329575,403.0,50627230,559,30,57289,1782508427.613134
25088,25.082886,0.30117717,0.44318214,330.0,50725740,597,30,11612,1782508427.613134
25109,25.092905,0.6270336,0.6800024,375.0,50535880,550,29,39959,1782508427.7136354
25129,25.11627,0.4734312,0.68051547,406.0,50631880,534,29,60005,1782508427.7136354
25135,25.1247,0.31938797,0.68066937,397.0,50730340,525,29,54491,1782508427.7136354
25118,25.10729,0.6096885,0.44366905,441.0,50535880,614,30,16530,1782508427.7136354
25124,25.116556,0.45573056,0.44376644,413.0,50631880,610,30,64545,1782508427.7136354
25099,25.093884,0.30130935,0.4433607,360.0,50730340,671,30,30293,1782508427.7136354
25113,25.096903,0.6271334,0.680105,416.0,50531600,524,29,509,1782508427.811925
25130,25.11727,0.47345003,0.6805411,417.0,50627540,549,29,1349,1782508427.811925
25148,25.137695,0.31955305,0.68100286,407.0,50726040,530,29,61058,1782508427.811925
25129,25.118286,0.60995567,0.4438476,426.0,50531600,634,30,7181,1782508427.811925
25140,25.132551,0.45602092,0.44402614,436.0,50627540,571,30,13456,1782508427.811925
25090,25.084887,0.30120122,0.4432146,346.0,50726040,690,30,21213,1782508427.811925
25104,25.08791,0.6269088,0.6798741,397.0,50521190,537,29,53811,1782508427.913504
25089,25.076292,0.47267795,0.6794893,382.0,50617190,534,29,44086,1782508427.913504
25107,25.096712,0.31903243,0.6799511,397.0,50715630,561,29,53740,1782508427.913504
25115,25.104292,0.6096157,0.44362038,375.0,50521190,618,30,40344,1782508427.913504
25102,25.094563,0.4553313,0.44340938,409.0,50617190,568,30,61157,1782508427.913504
25102,25.096884,0.30134538,0.44340938,364.0,50715630,660,30,32928,1782508427.913504
25111,25.094904,0.6270835,0.68005365,398.0,50527060,549,29,54511,1782508428.0164247
25124,25.111273,0.47333705,0.6803872,406.0,50623060,499,29,60090,1782508428.0164247
25119,25.108707,0.3191848,0.6802589,399.0,50721650,531,29,55405,1782508428.0164247
25134,25.123283,0.610077,0.44392875,434.0,50527060,594,30,12567,1782508428.0164247
25106,25.09856,0.45540386,0.4434743,406.0,50623060,599,30,59819,1782508428.0164247
25118,25.11288,0.3015376,0.44366905,393.0,50721650,604,30,51820,1782508428.0164247
25124,25.107897,0.627408,0.6803872,398.0,50527980,551,29,54770,1782508428.1178527
25091,25.080719,0.31882924,0.67954063,390.0,50722390,533,29,49157,1782508428.1178527
25113,25.102293,0.6095671,0.4435879,446.0,50527980,613,30,19572,1782508428.1178527
25100,25.094883,0.30132136,0.4433769,373.0,50722390,627,30,38752,1782508428.1178527
25121,25.104898,0.62733316,0.6803102,390.0,50521830,503,29,49909,1782508428.2094734
25115,25.102278,0.47316757,0.6801563,431.0,50617770,574,29,9728,1782508428.2094734
25106,25.095713,0.31901973,0.6799254,383.0,50716220,516,29,45132,1782508428.2094734
25105,25.094296,0.60937285,0.44345805,425.0,50521830,589,30,6282,1782508428.2094734
25104,25.096561,0.4553676,0.44344184,425.0,50617770,584,30,6294,1782508428.2094734
25109,25.103882,0.30142948,0.443523,359.0,50716220,648,30,29979,1782508428.2094734
25131,25.114891,0.6275828,0.6805667,427.0,50517550,561,29,7631,1782508428.31032
25112,25.09928,0.47311106,0.68007934,413.0,50613500,523,29,64143,1782508428.31032
25112,25.101711,0.3190959,0.68007934,395.0,50711990,570,29,52534,1782508428.31032
25117,25.10629,0.60966426,0.44365284,416.0,50517550,574,30,312,1782508428.31032
25122,25.114555,0.45569426,0.443734,458.0,50613500,605,30,27392,1782508428.31032
25079,25.073889,0.30106905,0.44303605,346.0,50711990,621,30,21408,1782508428.31032
25117,25.104277,0.47320524,0.6802076,401.0,50612060,487,29,56863,1782508428.4093866
25109,25.098293,0.60947,0.443523,418.0,50516070,650,30,1616,1782508428.4093866
25107,25.09956,0.455422,0.44349054,432.0,50612060,546,30,10348,1782508428.4093866
25092,25.086885,0.30122524,0.44324705,374.0,50710470,639,30,39161,1782508428.4093866
25080,25.063925,0.62630963,0.6792584,377.0,50508690,571,29,40566,1782508428.5106604
25096,25.083288,0.47280976,0.6796689,397.0,50604590,560,29,53521,1782508428.5106604
25111,25.100712,0.3190832,0.68005365,383.0,50703030,494,29,45353,1782508428.5106604
25081,25.070305,0.6087901,0.44306853,399.0,50508690,604,30,54868,1782508428.5106604
25097,25.089563,0.45524055,0.4433282,411.0,50604590,591,30,62829,1782508428.5106604
25108,25.102882,0.30141747,0.44350675,367.0,50703030,615,30,35175,1782508428.5106604
25096,25.079914,0.62670904,0.6796689,397.0,50500610,542,29,53619,1782508428.6132572
25116,25.103277,0.4731864,0.6801819,411.0,50596560,516,29,62997,1782508428.6132572
25109,25.10156,0.4554583,0.443523,418.0,50596560,586,30,1966,1782508428.6132572
25123,25.106897,0.62738305,0.6803615,397.0,50492980,545,29,54142,1782508428.7146778
25119,25.106276,0.47324288,0.6802589,390.0,50588880,556,29,49589,1782508428.7146778
25112,25.101292,0.60954285,0.4435717,390.0,50492980,631,30,49661,1782508428.7146778
25103,25.095562,0.45534945,0.4434256,427.0,50588880,604,30,7413,1782508428.7146778
25095,25.089884,0.30126128,0.44329575,347.0,50687270,682,30,21978,1782508428.7146778
25116,25.099901,0.62720835,0.6801819,388.0,50487080,520,29,48466,1782508428.811161
25120,25.107275,0.4732617,0.68028456,394.0,50582980,522,29,52315,1782508428.811161
25144,25.133698,0.31950226,0.6809002,380.0,50681390,523,29,43934,1782508428.811161
25121,25.113556,0.4556761,0.44371775,418.0,50582980,575,30,1663,1782508428.811161
25115,25.10988,0.30150154,0.44362038,352.0,50681390,638,30,25726,1782508428.811161
25106,25.089909,0.62695867,0.6799254,398.0,50489850,530,29,54525,1782508428.9097238
25143,25.130264,0.47369483,0.6808746,425.0,50585700,537,29,6755,1782508428.9097238
25131,25.120703,0.3193372,0.6805667,395.0,50684110,524,29,53158,1782508428.9097238
25125,25.114286,0.6098585,0.4437827,425.0,50489850,627,30,6507,1782508428.9097238
25118,25.110558,0.45562166,0.44366905,423.0,50585700,611,30,5189,1782508428.9097238
25091,25.085886,0.30121323,0.44323084,345.0,50684110,613,30,21018,1782508428.9097238
25106,25.093283,0.47299808,0.6799254,423.0,50593020,560,29,4567,1782508429.0152688
25102,25.091715,0.31896892,0.6798228,377.0,50691420,538,29,41158,1782508429.0152688
25127,25.116285,0.6099071,0.44381514,398.0,50497130,606,30,55144,1782508429.0152688
25132,25.124554,0.45587572,0.4438963,438.0,50593020,641,30,14786,1782508429.0152688
25114,25.108881,0.30148953,0.44360414,349.0,50691420,667,30,23648,1782508429.0152688
25119,25.1029,0.6272832,0.6802589,392.0,50499510,523,29,51032,1782508429.114242
25111,25.100292,0.6095186,0.44355544,419.0,50499510,619,30,2463,1782508429.114242
25112,25.106882,0.3014655,0.4435717,361.0,50693820,647,30,31286,1782508429.114242
25105,25.092283,0.47297925,0.67989975,407.0,50607500,539,29,60118,1782508429.2088985
25117,25.106709,0.31915942,0.6802076,352.0,50705960,534,29,25692,1782508429.2088985
25103,25.092297,0.60932434,0.4434256,421.0,50511560,557,30,3259,1782508429.2088985
25100,25.092562,0.455295,0.4433769,407.0,50607500,576,30,59807,1782508429.2088985
25081,25.075888,0.3010931,0.44306853,335.0,50705960,615,30,14547,1782508429.2088985
25135,25.118889,0.6276826,0.68066937,389.0,50531890,533,29,49393,1782508429.3166897
25127,25.116705,0.31928638,0.68046415,390.0,50726350,507,29,50005,1782508429.3166897
25099,25.091562,0.45527685,0.4433607,389.0,50627840,583,30,49044,1782508429.3166897
25088,25.071918,0.62650937,0.6794636,387.0,50537630,514,29,47328,1782508429.4124086
25087,25.074291,0.47264028,0.679438,391.0,50633570,519,29,49789,1782508429.4124086
25113,25.10271,0.3191086,0.680105,409.0,50732030,511,29,61701,1782508429.4124086
25110,25.10256,0.45547646,0.4435392,425.0,50633570,569,30,5874,1782508429.4124086
25117,25.11188,0.3015256,0.44365284,374.0,50732030,614,30,39763,1782508429.4124086
25090,25.073917,0.62655926,0.67951494,407.0,50528310,530,29,59860,1782508429.5134618
25097,25.084288,0.4728286,0.67969453,383.0,50624240,528,29,44893,1782508429.5134618
25118,25.107708,0.3191721,0.68023324,408.0,50722780,560,29,60895,1782508429.5134618
25120,25.10929,0.6097371,0.44370154,414.0,50528310,592,30,65182,1782508429.5134618
25119,25.111557,0.4556398,0.4436853,419.0,50624240,593,30,2779,1782508429.5134618
25101,25.084911,0.62683386,0.6797971,387.0,50531720,532,29,47478,1782508429.6131396
25094,25.08129,0.47277212,0.6796176,399.0,50627720,532,29,54888,1782508429.6131396
25104,25.093714,0.3189943,0.6798741,373.0,50726180,513,29,38817,1782508429.6131396
25098,25.0873,0.6092029,0.44334444,411.0,50531720,597,30,62811,1782508429.6131396
25092,25.075916,0.6266092,0.67956626,370.0,50526980,537,29,36571,1782508429.7131975
25096,25.085718,0.31889275,0.6796689,370.0,50721470,560,29,36515,1782508429.7131975
25098,25.092884,0.3012973,0.44334444,363.0,50721470,602,30,32547,1782508429.7131975
25130,25.113892,0.6275578,0.6805411,395.0,50521890,565,29,52904,1782508429.8082433
25130,25.119703,0.3193245,0.6805411,389.0,50716340,537,29,49268,1782508429.8082433
25112,25.095903,0.62710845,0.68007934,377.0,50517550,535,29,41374,1782508429.9112988
25115,25.10471,0.319134,0.6801563,400.0,50711960,510,29,56061,1782508429.9112988
25118,25.1019,0.62725824,0.68023324,394.0,50519800,557,29,52078,1782508430.0138102
25127,25.114271,0.47339353,0.68046415,398.0,50615750,552,29,54809,1782508430.0138102
25133,25.122702,0.31936258,0.68061805,390.0,50714390,512,29,50095,1782508430.0138102
25130,25.119286,0.6099799,0.44386384,387.0,50519800,591,30,48354,1782508430.0138102
25116,25.108559,0.45558536,0.4436366,426.0,50615750,576,30,6594,1782508430.0138102
25119,25.11388,0.3015496,0.4436853,369.0,50714390,604,30,36705,1782508430.0138102
25099,25.086287,0.47286627,0.67974585,405.0,50613540,543,29,58713,1782508430.1116686
25100,25.089298,0.6092515,0.4433769,407.0,50517600,590,30,60360,1782508430.1116686
25098,25.090563,0.4552587,0.44334444,403.0,50613540,645,30,57509,1782508430.1116686
25106,25.100882,0.30139342,0.4434743,370.0,50711980,608,30,37063,1782508430.1116686
25120,25.103899,0.6273082,0.68028456,421.0,50512110,545,29,3690,1782508430.2108133
25109,25.096281,0.4730546,0.6800024,396.0,50608050,552,29,53188,1782508430.2108133
25140,25.12928,0.61022276,0.44402614,405.0,50512110,598,30,59882,1782508430.2108133
25122,25.116879,0.30158564,0.443734,368.0,50706560,583,30,36245,1782508430.2108133
25100,25.083912,0.6268089,0.6797715,384.0,50512940,536,29,45551,1782508430.3087728
25108,25.097712,0.31904513,0.6799767,376.0,50707470,539,29,40636,1782508430.3087728
25097,25.091885,0.3012853,0.4433282,342.0,50707470,585,30,19398,1782508430.3087728
25122,25.109274,0.47329938,0.6803359,416.0,50601960,499,29,834,1782508430.4101565
25103,25.092714,0.31898162,0.67984843,394.0,50700350,601,29,52186,1782508430.4101565
25105,25.099882,0.3013814,0.44345805,352.0,50700350,615,30,25666,1782508430.4101565
25118,25.105276,0.47322407,0.68023324,407.0,50594520,565,29,60236,1782508430.5101378
25114,25.101278,0.47314873,0.68013066,387.0,50594080,499,29,47906,1782508430.6124392
25097,25.080914,0.626734,0.67969453,386.0,50507510,480,29,47045,1782508430.707747
25112,25.104559,0.45551276,0.4435717,411.0,50603410,601,30,63084,1782508430.707747
25121,25.11588,0.30157363,0.44371775,338.0,50701850,611,30,17145,1782508430.707747
25125,25.108896,0.627433,0.6804128,420.0,50516140,531,29,3247,1782508430.818387
25100,25.089716,0.31894353,0.6797715,403.0,50710520,560,29,57391,1782508430.818387
25114,25.103292,0.6095914,0.44360414,390.0,50516140,592,30,49919,1782508430.818387
25089,25.07872,0.31880385,0.6794893,359.0,50711240,584,29,29964,1782508430.9105372
25102,25.091297,0.6093,0.44340938,387.0,50516850,570,30,47283,1782508430.9105372
25089,25.081566,0.45509535,0.44319835,397.0,50612800,625,30,53659,1782508430.9105372
25089,25.083885,0.30118918,0.44319835,346.0,50711240,652,30,21408,1782508430.9105372
25127,25.110895,0.62748295,0.68046415,398.0,50526730,518,29,55011,1782508431.117062
25101,25.090715,0.31895623,0.6797971,381.0,50721180,536,29,43675,1782508431.117062
25076,25.070889,0.30103302,0.44298735,336.0,50721180,674,30,14778,1782508431.117062
25107,25.094282,0.47301692,0.6799511,393.0,50629260,519,29,51448,1782508431.2117682
25110,25.099712,0.31907052,0.680028,402.0,50727750,511,29,57226,1782508431.2117682
25119,25.10829,0.60971284,0.4436853,387.0,50533260,640,30,47866,1782508431.2117682
25082,25.076887,0.3011051,0.44308475,332.0,50727750,670,30,12372,1782508431.2117682
25137,25.120888,0.6277326,0.6807207,408.0,50527890,538,29,61415,1782508431.3086572
25125,25.112272,0.4733559,0.6804128,390.0,50623890,494,29,50047,1782508431.3086572
25137,25.126701,0.31941336,0.6807207,392.0,50722380,571,29,51124,1782508431.3086572
25096,25.085299,0.60915434,0.443312,375.0,50527890,613,30,40004,1782508431.3086572
25093,25.085566,0.45516795,0.4432633,410.0,50623890,594,30,62089,1782508431.3086572
25128,25.111895,0.62750787,0.6804898,401.0,50520870,550,29,56745,1782508431.40964
25133,25.122284,0.61005276,0.44391254,402.0,50520870,600,30,57839,1782508431.40964
25086,25.075722,0.31876576,0.67941236,348.0,50710270,532,29,22642,1782508431.5124352
25105,25.09756,0.45538574,0.44345805,399.0,50611830,607,30,55333,1782508431.5124352
25097,25.086718,0.31890544,0.67969453,403.0,50715110,516,29,57571,1782508431.609142
25136,25.119888,0.6277076,0.680695,426.0,50530540,547,29,7188,1782508431.7124248
25113,25.107882,0.30147752,0.4435879,338.0,50725100,643,30,16829,1782508431.7124248
25114,25.10371,0.3191213,0.68013066,356.0,50721090,549,29,28080,1782508431.8128362
25124,25.113287,0.60983425,0.44376644,418.0,50526700,605,30,2193,1782508431.8128362
25120,25.112556,0.45565796,0.44370154,432.0,50622650,619,30,10856,1782508431.8128362
25114,25.097902,0.6271584,0.68013066,391.0,50532810,519,29,50320,1782508431.911516
25107,25.096294,0.60942143,0.44349054,416.0,50532810,550,30,240,1782508431.911516
25123,25.115557,0.4557124,0.4437502,431.0,50628810,615,30,10312,1782508431.911516
25113,25.100279,0.4731299,0.680105,396.0,50627690,527,29,53415,1782508432.0102544
25080,25.074888,0.30108106,0.4430523,339.0,50726180,618,30,17034,1782508432.0102544
25091,25.074917,0.62658423,0.67954063,402.0,50521330,534,29,56706,1782508432.3089147
25100,25.087286,0.4728851,0.6797715,403.0,50617330,535,29,57528,1782508432.3089147
25115,25.107557,0.4555672,0.44362038,435.0,50617330,645,30,12492,1782508432.3089147
25073,25.06789,0.300997,0.4429387,342.0,50715870,659,30,18569,1782508432.3089147
25134,25.123701,0.31937528,0.68064374,396.0,50709430,557,29,53669,1782508432.4108539
25132,25.121284,0.6100285,0.4438963,435.0,50515030,621,30,13001,1782508432.4108539
25143,25.13555,0.45607534,0.44407484,444.0,50610970,621,30,18937,1782508432.4108539
25103,25.08691,0.6268838,0.67984843,382.0,50498250,527,29,44398,1782508432.6098402
25139,25.12828,0.61019844,0.4440099,387.0,50498250,600,30,48465,1782508432.6098402
25126,25.118555,0.45576683,0.4437989,435.0,50594140,618,30,12886,1782508432.6098402
25110,25.104881,0.3014415,0.4435392,359.0,50694350,615,30,30173,1782508432.709201
25094,25.077915,0.6266591,0.6796176,362.0,50509190,525,29,31627,1782508432.8096328
25103,25.090284,0.47294158,0.67984843,391.0,50605090,515,29,50121,1782508432.8096328
25081,25.070723,0.31870228,0.6792841,370.0,50703600,550,29,36291,1782508432.8096328
25127,25.119555,0.45578498,0.44381514,423.0,50612500,617,30,5347,1782508432.9098465
25111,25.09828,0.47309223,0.68005365,402.0,50619630,563,29,56956,1782508433.0096009
25124,25.113707,0.3192483,0.6803872,441.0,50718070,520,29,16548,1782508433.0096009
25101,25.088285,0.47290394,0.6797971,398.0,50610510,493,29,54622,1782508433.1106527
25088,25.07772,0.31879115,0.6794636,368.0,50708960,572,29,35052,1782508433.1106527
25111,25.10356,0.4554946,0.44355544,403.0,50610510,626,30,57872,1782508433.1106527
25070,25.06489,0.30096093,0.44289,328.0,50708960,604,30,10030,1782508433.1106527
25121,25.110289,0.6097614,0.44371775,417.0,50512570,567,30,1060,1782508433.211939
25114,25.106558,0.45554906,0.44360414,405.0,50608510,598,30,59347,1782508433.211939
25116,25.10571,0.3191467,0.6801819,391.0,50712250,529,29,50309,1782508433.3116457
25097,25.0863,0.6091786,0.4433282,429.0,50517790,583,30,8674,1782508433.3116457
25093,25.08029,0.4727533,0.6795919,365.0,50616400,536,29,33443,1782508433.4118338
25073,25.062727,0.31860068,0.6790788,363.0,50714860,556,29,31719,1782508433.4118338
25101,25.093563,0.45531315,0.44339314,402.0,50616400,578,30,57306,1782508433.4118338
25085,25.079887,0.30114114,0.44313344,355.0,50714860,651,30,27012,1782508433.4118338
25103,25.097883,0.3013574,0.4434256,345.0,50710550,632,30,21135,1782508433.509064
25102,25.08591,0.62685883,0.6798228,393.0,50511500,520,29,51339,1782508433.61069
25083,25.077887,0.30111712,0.443101,375.0,50699610,626,30,39692,1782508433.8100128
25099,25.082912,0.62678397,0.67974585,389.0,50506530,583,29,49045,1782508433.9112587
25123,25.11788,0.30159765,0.4437502,377.0,50700940,620,30,41737,1782508433.9112587
25126,25.109896,0.627458,0.68043846,408.0,50511740,549,29,61124,1782508434.0095692
25117,25.109558,0.4556035,0.44365284,433.0,50607680,587,30,11597,1782508434.0095692
25134,25.11789,0.62765765,0.68064374,389.0,50506070,508,29,49515,1782508434.1141646
25139,25.131552,0.45600277,0.4440099,436.0,50601960,639,30,13698,1782508434.1141646
25126,25.120878,0.30163372,0.4437989,348.0,50700420,691,30,23096,1782508434.1141646
25085,25.074722,0.31875306,0.6793867,347.0,50701180,600,29,22257,1782508434.2097013
25137,25.126282,0.6101499,0.44397745,404.0,50506820,599,30,59184,1782508434.2097013
25136,25.128551,0.45594832,0.4439612,405.0,50602760,598,30,59806,1782508434.2097013
25110,25.099293,0.60949427,0.4435392,412.0,50511670,632,30,63498,1782508434.3090045
25124,25.11888,0.30160967,0.44376644,321.0,50706070,599,30,6518,1782508434.3090045
25129,25.118704,0.3193118,0.68051547,393.0,50710850,511,29,51922,1782508434.4087598
25107,25.101883,0.30140543,0.44349054,354.0,50710850,670,30,26666,1782508434.4087598
25090,25.082565,0.4551135,0.4432146,395.0,50622330,605,30,52525,1782508434.612146
25120,25.109707,0.3191975,0.68028456,384.0,50717780,517,29,46032,1782508434.70878
25131,25.120285,0.6100042,0.44388005,432.0,50523330,585,30,11287,1782508434.70878
25110,25.09728,0.47307342,0.680028,388.0,50610300,510,29,48404,1782508434.8109422
25093,25.087885,0.30123726,0.4432633,339.0,50708750,609,30,17301,1782508434.8109422
25108,25.097294,0.60944575,0.44350675,427.0,50511350,564,30,7114,1782508435.0125031
25095,25.082289,0.47279093,0.6796432,387.0,50606420,585,29,47701,1782508435.1128187
25134,25.12127,0.47352538,0.68064374,419.0,50609700,516,29,2888,1782508435.2089305
25098,25.087717,0.31891814,0.67972016,374.0,50712820,539,29,39192,1782508435.3136446
25122,25.111288,0.6097857,0.443734,421.0,50519240,613,30,3995,1782508435.5099955
