range,x,y,z,intensity,t,reflectivity,ring,ambient,timestamp
25103,25.097883,0.3013574,0.4434256,359.0,50637020,482,30,30148,1782500032.8854916
25095,25.09126,0.14730696,0.44329575,407.0,50734300,512,30,60065,1782500032.8854916
25090,25.086695,-0.006651618,0.4432146,380.0,50831950,491,30,43075,1782500032.8854916
25082,25.07975,0.2878383,0.20682366,346.0,50637020,532,31,21313,1782500032.8854916
25081,25.080044,0.13394105,0.20681685,346.0,50734300,576,31,21059,1782500032.8854916
25069,25.068392,-0.019940494,0.20673516,375.0,50831950,558,31,39176,1782500032.8854916
25082,25.076887,0.3011051,0.44308475,392.0,50657140,449,30,50067,1782500032.9815075
25088,25.084263,0.1472658,0.44318214,382.0,50754470,460,30,43831,1782500032.9815075
25082,25.078695,-0.0066495677,0.44308475,411.0,50852100,540,30,62152,1782500032.9815075
25093,25.090748,0.28796482,0.20689853,388.0,50657140,520,31,48007,1782500032.9815075
25089,25.088045,0.13398398,0.2068713,366.0,50754470,496,31,34216,1782500032.9815075
25091,25.090391,-0.019957412,0.20688492,345.0,50852100,566,31,20654,1782500032.9815075
25100,25.094883,0.30132136,0.4433769,356.0,50693390,473,30,28240,1782500033.0822914
25102,25.09826,0.1473481,0.44340938,390.0,50790770,492,30,49600,1782500033.0822914
25094,25.090694,-0.0066526434,0.44327953,388.0,50888490,526,30,47993,1782500033.0822914
25087,25.08475,0.2878958,0.20685768,359.0,50693390,557,31,29436,1782500033.0822914
25084,25.083044,0.13395715,0.20683727,352.0,50790770,524,31,25158,1782500033.0822914
25075,25.074392,-0.019945107,0.20677601,374.0,50888490,542,31,38747,1782500033.0822914
25121,25.11588,0.30157363,0.44371775,384.0,50733510,476,30,46284,1782500033.181831
25109,25.105259,0.14738926,0.443523,396.0,50831000,494,30,53505,1782500033.181831
25107,25.103693,-0.0066559757,0.44349054,421.0,50928730,495,30,3693,1782500033.181831
25081,25.078749,0.2878268,0.20681685,371.0,50733510,544,31,36948,1782500033.181831
25095,25.094393,-0.019960487,0.20691215,381.0,50928730,567,31,43385,1782500033.181831
25112,25.106882,0.3014655,0.4435717,381.0,50743350,440,30,43770,1782500033.2822692
25115,25.111692,-0.006658026,0.44362038,400.0,50938670,489,30,56190,1782500033.2822692
25094,25.091747,0.28797632,0.20690534,377.0,50743350,566,31,40857,1782500033.2822692
25085,25.084045,0.13396251,0.20684408,341.0,50840830,555,31,18093,1782500033.2822692
25090,25.089392,-0.019956643,0.20687811,390.0,50938670,523,31,49205,1782500033.2822692
25083,25.077887,0.30111712,0.443101,369.0,50739110,489,30,36036,1782500033.382097
25077,25.073265,0.14720115,0.4430036,387.0,50836590,526,30,47043,1782500033.382097
25079,25.07675,0.2878038,0.20680323,360.0,50739110,528,31,30088,1782500033.382097
25065,25.064392,-0.019937417,0.20670794,368.0,50934390,530,31,34846,1782500033.382097
25079,25.073889,0.30106905,0.44303605,367.0,50704730,459,30,34230,1782500033.4867167
25073,25.069265,0.14717762,0.4429387,419.0,50802150,486,30,1771,1782500033.4867167
25067,25.063698,-0.0066457232,0.4428413,379.0,50899880,508,30,41924,1782500033.4867167
25088,25.087393,-0.019955104,0.20686449,377.0,50899880,524,31,40973,1782500033.4867167
25094,25.088884,0.30124927,0.44327953,348.0,50689740,504,30,22925,1782500033.5811448
25093,25.089262,0.1472952,0.4432633,382.0,50787120,455,30,43959,1782500033.5811448
25121,25.117691,-0.0066595636,0.44371775,429.0,50884850,461,30,9230,1782500033.5811448
25085,25.082748,0.2878728,0.20684408,349.0,50689740,544,31,23187,1782500033.5811448
25096,25.095392,-0.019961257,0.20691895,352.0,50884850,514,31,25425,1782500033.5811448
25113,25.107882,0.30147752,0.4435879,381.0,50682500,465,30,44293,1782500033.6798806
25106,25.10226,0.14737163,0.4434743,394.0,50779880,458,30,51766,1782500033.6798806
25114,25.110691,-0.0066577694,0.44360414,374.0,50877610,495,30,39728,1782500033.6798806
25099,25.096748,0.28803384,0.20693937,357.0,50682500,531,31,28548,1782500033.6798806
25096,25.095045,0.13402155,0.20691895,354.0,50779880,577,31,26970,1782500033.6798806
25107,25.106392,-0.019969715,0.20699382,373.0,50877610,575,31,38528,1782500033.6798806
25103,25.09926,0.14735399,0.4434256,422.0,50793140,513,30,4129,1782500033.7777016
25104,25.100693,-0.0066552064,0.44344184,392.0,50890870,484,30,50949,1782500033.7777016
25084,25.081749,0.28786132,0.20683727,361.0,50695760,517,31,30872,1782500033.7777016
25091,25.090044,0.13399471,0.20688492,368.0,50793140,544,31,35254,1782500033.7777016
25089,25.088392,-0.019955873,0.2068713,380.0,50890870,557,31,42695,1782500033.7777016
25085,25.081263,0.14724818,0.44313344,394.0,50843170,434,30,51467,1782500033.8807526
25070,25.066698,-0.006646492,0.44289,387.0,50941010,489,30,47114,1782500033.8807526
25078,25.07575,0.2877923,0.20679642,355.0,50745690,547,31,26813,1782500033.8807526
25071,25.070045,0.13388738,0.20674878,337.0,50843170,525,31,15498,1782500033.8807526
25104,25.103392,-0.019967409,0.2069734,384.0,50941010,526,31,45672,1782500033.8807526
25111,25.10588,0.3014535,0.44355544,384.0,50756730,504,30,45928,1782500033.980208
25095,25.091694,-0.0066528996,0.44329575,358.0,50952060,469,30,29440,1782500033.980208
25103,25.100748,0.28807986,0.2069666,365.0,50756730,540,31,33608,1782500033.980208
25100,25.099045,0.13404302,0.20694618,394.0,50854210,542,31,51813,1782500033.980208
25106,25.105392,-0.019968947,0.20698702,379.0,50952060,527,31,42558,1782500033.980208
25106,25.100882,0.30139342,0.4434743,366.0,50753880,475,30,34653,1782500034.0836844
25100,25.09626,0.14733635,0.4433769,399.0,50851350,498,30,55209,1782500034.0836844
25098,25.094694,-0.006653669,0.44334444,372.0,50949180,486,30,38221,1782500034.0836844
25090,25.089045,0.13398935,0.20687811,347.0,50851350,548,31,21985,1782500034.0836844
25075,25.06989,0.301021,0.44297114,379.0,50728290,466,30,42296,1782500034.1808965
25089,25.085262,0.1472717,0.44319835,398.0,50825720,479,30,54457,1782500034.1808965
25090,25.087748,0.2879303,0.20687811,356.0,50728290,478,31,28033,1782500034.1808965
