range,x,y,z,intensity,t,reflectivity,ring,ambient,timestamp
25118,25.103077,0.76373255,0.44366905,373.0,50449170,560,30,38811,1782505695.241427
25121,25.110289,0.6097614,0.44371775,413.0,50545880,582,30,64636,1782505695.241427
25129,25.121553,0.45582128,0.4438476,429.0,50641520,616,30,9174,1782505695.241427
25127,25.115183,0.75077146,0.20712996,381.0,50449170,738,31,44328,1782505695.241427
25122,25.114317,0.5965346,0.20709592,378.0,50545880,748,31,42279,1782505695.241427
25111,25.106504,0.44223082,0.20702104,391.0,50641520,727,31,50377,1782505695.241427
25108,25.093082,0.7634284,0.44350675,412.0,50438000,600,30,63627,1782505695.3368673
25109,25.098293,0.60947,0.443523,415.0,50534660,604,30,65528,1782505695.3368673
25117,25.109558,0.4556035,0.44365284,412.0,50630240,620,30,63704,1782505695.3368673
25102,25.090195,0.75002384,0.20695978,379.0,50438000,659,31,42395,1782505695.3368673
25083,25.075329,0.5956075,0.20683046,377.0,50534660,689,31,40602,1782505695.3368673
25097,25.092508,0.44198388,0.20692575,394.0,50630240,696,31,52171,1782505695.3368673
25121,25.106075,0.76382375,0.44371775,390.0,50428630,664,30,49657,1782505695.438635
25122,25.111288,0.6097857,0.443734,440.0,50525290,596,30,16080,1782505695.438635
25115,25.107557,0.4555672,0.44362038,433.0,50620880,603,30,11460,1782505695.438635
25093,25.081198,0.7497547,0.20689853,385.0,50428630,718,31,46309,1782505695.438635
25090,25.082327,0.59577394,0.20687811,399.0,50525290,659,31,54743,1782505695.438635
25108,25.103506,0.4421779,0.20700063,383.0,50620880,690,31,44847,1782505695.438635
25154,25.139055,0.76482743,0.44425339,416.0,50427580,612,30,1521,1782505695.5358148
25132,25.121284,0.6100285,0.4438963,403.0,50524220,601,30,58434,1782505695.5358148
25109,25.10156,0.4554583,0.443523,395.0,50619870,562,30,52517,1782505695.5358148
25111,25.10332,0.5962731,0.20702104,393.0,50524220,720,31,51677,1782505695.5358148
25092,25.08751,0.4418957,0.20689172,368.0,50619870,738,31,35467,1782505695.5358148
25106,25.091084,0.76336753,0.4434743,408.0,50434290,600,30,61059,1782505695.6386826
25115,25.104292,0.6096157,0.44362038,387.0,50530950,612,30,47932,1782505695.6386826
25106,25.09856,0.45540386,0.4434743,413.0,50626570,643,30,63975,1782505695.6386826
25117,25.105186,0.7504724,0.20706189,386.0,50434290,664,31,47055,1782505695.6386826
25108,25.10032,0.59620184,0.20700063,399.0,50530950,651,31,55147,1782505695.6386826
25106,25.101505,0.44214264,0.20698702,376.0,50626570,734,31,40796,1782505695.6386826
25097,25.082088,0.7630938,0.4433282,392.0,50443170,637,30,50609,1782505695.7375169
25106,25.095295,0.6093972,0.4434743,432.0,50539830,612,30,10601,1782505695.7375169
25097,25.085197,0.7498743,0.20692575,366.0,50443170,670,31,34046,1782505695.7375169
25093,25.085325,0.5958452,0.20689853,365.0,50539830,704,31,33792,1782505695.7375169
25093,25.088509,0.44191334,0.20689853,392.0,50635400,704,31,50794,1782505695.7375169
25112,25.09708,0.76355004,0.4435717,428.0,50452290,631,30,8089,1782505695.8358204
25128,25.117287,0.60993135,0.44383138,411.0,50549000,587,30,63487,1782505695.8358204
25108,25.096191,0.7502033,0.20700063,386.0,50452290,737,31,47112,1782505695.8358204
25105,25.097322,0.5961305,0.20698021,377.0,50549000,690,31,41022,1782505695.8358204
25099,25.094507,0.44201916,0.20693937,377.0,50644630,709,31,41435,1782505695.8358204
25123,25.112288,0.60980994,0.4437502,391.0,50537130,631,30,50513,1782505695.9394708
25133,25.125553,0.45589387,0.44391254,388.0,50632770,624,30,48848,1782505695.9394708
25086,25.074202,0.74954534,0.20685089,377.0,50440460,708,31,41184,1782505695.9394708
25100,25.092323,0.59601164,0.20694618,377.0,50537130,730,31,41334,1782505695.9394708
25101,25.096506,0.44205442,0.20695299,392.0,50632770,703,31,50947,1782505695.9394708
25112,25.104559,0.45551276,0.4435717,413.0,50619840,589,30,64395,1782505696.037249
25110,25.09819,0.7502631,0.20701425,376.0,50427600,703,31,41036,1782505696.037249
25098,25.090324,0.59596413,0.20693256,383.0,50524260,693,31,45273,1782505696.037249
25123,25.108074,0.7638846,0.4437502,395.0,50403520,651,30,52928,1782505696.1411579
25119,25.10829,0.60971284,0.4436853,395.0,50500130,613,30,53062,1782505696.1411579
25113,25.108505,0.44226608,0.20703466,388.0,50595660,706,31,48645,1782505696.1411579
25135,25.120066,0.76424956,0.443945,418.0,50389710,590,30,2496,1782505696.2400784
25124,25.113287,0.60983425,0.44376644,412.0,50486280,613,30,63882,1782505696.2400784
25127,25.119555,0.45578498,0.44381514,430.0,50581800,595,30,9888,1782505696.2400784
25131,25.126501,0.44258356,0.20715718,365.0,50581800,713,31,34432,1782505696.2400784
25113,25.09808,0.76358044,0.4435879,394.0,50397380,608,30,52339,1782505696.3361063
25099,25.088299,0.6092272,0.4433607,393.0,50493990,621,30,51356,1782505696.3361063
25100,25.092562,0.455295,0.4433769,422.0,50589510,631,30,4066,1782505696.3361063
25106,25.094193,0.75014347,0.20698702,416.0,50397380,706,31,626,1782505696.3361063
25112,25.104319,0.5962969,0.20702785,390.0,50493990,710,31,49869,1782505696.3361063
25104,25.099506,0.44210735,0.2069734,368.0,50589510,730,31,35733,1782505696.3361063
25103,25.092297,0.60932434,0.4434256,393.0,50519220,568,30,51090,1782505696.4380088
25094,25.086565,0.4551861,0.44327953,413.0,50614840,636,30,63764,1782505696.4380088
25111,25.09919,0.750293,0.20702104,371.0,50422560,753,31,37638,1782505696.4380088
25103,25.095322,0.596083,0.2069666,381.0,50519220,710,31,44021,1782505696.4380088
25088,25.08351,0.44182515,0.20686449,411.0,50614840,729,31,62513,1782505696.4380088
25132,25.117067,0.7641583,0.4438963,416.0,50443250,590,30,1170,1782505696.538133
25134,25.123283,0.610077,0.44392875,383.0,50539960,586,30,45927,1782505696.538133
25135,25.127552,0.45593017,0.443945,452.0,50635580,624,30,23791,1782505696.538133
25113,25.101189,0.7503528,0.20703466,360.0,50443250,726,31,30876,1782505696.538133
25105,25.100506,0.442125,0.20698021,409.0,50635580,692,31,61811,1782505696.538133
25137,25.122065,0.7643104,0.44397745,417.0,50444100,651,30,1577,1782505696.6394918
25118,25.10729,0.6096885,0.44366905,395.0,50540810,582,30,53202,1782505696.6394918
25102,25.094563,0.4553313,0.44340938,403.0,50636460,696,30,57936,1782505696.6394918
25095,25.083197,0.7498145,0.20691215,377.0,50444100,738,31,41191,1782505696.6394918
25099,25.091324,0.59598786,0.20693937,384.0,50540810,730,31,45730,1782505696.6394918
25114,25.109505,0.44228372,0.20704147,409.0,50636460,741,31,61728,1782505696.6394918
25141,25.126062,0.7644321,0.44404238,416.0,50435860,610,30,1249,1782505696.734886
25125,25.114286,0.6098585,0.4437827,425.0,50532470,598,30,6666,1782505696.734886
25110,25.10256,0.45547646,0.4435392,394.0,50628110,562,30,51901,1782505696.734886
25110,25.10232,0.59624934,0.20701425,373.0,50532470,716,31,39073,1782505696.734886
25126,25.121502,0.44249538,0.20712315,391.0,50628110,717,31,50742,1782505696.734886
25134,25.126553,0.45591202,0.44392875,435.0,50624130,585,30,13248,1782505696.8317568
25095,25.090508,0.44194862,0.20691215,381.0,50624130,701,31,43912,1782505696.8317568
25107,25.096294,0.60942143,0.44349054,408.0,50516900,569,30,60629,1782505696.941919
25113,25.105558,0.4555309,0.4435879,404.0,50612480,612,30,58624,1782505696.941919
25101,25.089195,0.7499939,0.20695299,375.0,50420290,735,31,40061,1782505696.941919
25104,25.096321,0.5961067,0.2069734,376.0,50516900,702,31,40928,1782505696.941919
25121,25.116503,0.4424072,0.20708911,391.0,50612480,710,31,50677,1782505696.941919
25122,25.107075,0.7638542,0.443734,402.0,50401310,627,30,57463,1782505697.0390005
25122,25.114555,0.45569426,0.443734,423.0,50593450,613,30,5258,1782505697.0390005
25096,25.084198,0.74984443,0.20691895,368.0,50401310,723,31,35632,1782505697.0390005
25096,25.088324,0.59591657,0.20691895,387.0,50497920,745,31,47479,1782505697.0390005
25094,25.089508,0.44193098,0.20690534,387.0,50593450,700,31,47682,1782505697.0390005
25124,25.109074,0.763915,0.44376644,416.0,50387070,609,30,893,1782505697.1372838
25127,25.116285,0.6099071,0.44381514,411.0,50483680,629,30,63241,1782505697.1372838
25104,25.096561,0.4553676,0.44344184,411.0,50579210,627,30,62771,1782505697.1372838
25125,25.113184,0.7507117,0.20711635,397.0,50387070,736,31,54396,1782505697.1372838
25090,25.085508,0.44186044,0.20687811,375.0,50579210,730,31,39890,1782505697.1372838
25107,25.09956,0.455422,0.44349054,413.0,50564720,654,30,63946,1782505697.2377357
25120,25.112316,0.5964871,0.20708232,395.0,50469240,770,31,52858,1782505697.2377357
25123,25.118504,0.44244245,0.20710273,386.0,50564720,736,31,47408,1782505697.2377357
25127,25.11207,0.76400626,0.44381514,448.0,50376940,628,30,21072,1782505697.332127
25114,25.106558,0.45554906,0.44360414,405.0,50569030,672,30,58942,1782505697.332127
25099,25.087196,0.74993414,0.20693937,369.0,50376940,715,31,36362,1782505697.332127
25118,25.110317,0.59643954,0.2070687,385.0,50473500,707,31,46849,1782505697.332127
25112,25.107506,0.44224843,0.20702785,418.0,50569030,644,31,1722,1782505697.332127
25133,25.118067,0.76418877,0.44391254,429.0,50396200,568,30,8886,1782505697.434814
25119,25.111557,0.4556398,0.4436853,464.0,50588390,625,30,30999,1782505697.434814
25105,25.093193,0.75011355,0.20698021,380.0,50396200,732,31,43313,1782505697.434814
25098,25.093508,0.44200152,0.20693256,415.0,50588390,716,31,65305,1782505697.434814
25112,25.101292,0.60954285,0.4435717,446.0,50510210,587,30,19697,1782505697.537212
25094,25.086325,0.595869,0.20690534,377.0,50510210,717,31,41291,1782505697.537212
25107,25.092083,0.763398,0.44349054,415.0,50419100,658,30,65185,1782505697.635915
25114,25.103292,0.6095914,0.44360414,412.0,50515760,636,30,63554,1782505697.635915
25107,25.095192,0.7501734,0.20699382,416.0,50419100,706,31,642,1782505697.635915
25142,25.127062,0.7644625,0.4440586,419.0,50427360,654,30,2919,1782505697.7369285
25131,25.120285,0.6100042,0.44388005,389.0,50523970,619,30,49478,1782505697.7369285
25118,25.110558,0.45562166,0.44366905,437.0,50619600,604,30,14044,1782505697.7369285
25107,25.099321,0.59617805,0.20699382,361.0,50523970,727,31,31392,1782505697.7369285
25126,25.115286,0.6098828,0.4437989,428.0,50516810,602,30,8554,1782505697.8374634
25131,25.123554,0.45585757,0.44388005,427.0,50590320,583,30,8140,1782505697.9427583
25106,25.098322,0.5961543,0.20698702,371.0,50494780,743,31,37595,1782505697.9427583
25102,25.091297,0.6093,0.44340938,420.0,50491940,601,30,3002,1782505698.0382519
25090,25.082565,0.4551135,0.4432146,412.0,50587460,686,30,62784,1782505698.0382519
25089,25.081327,0.59575015,0.2068713,385.0,50491940,686,31,45767,1782505698.0382519
25075,25.063208,0.7492164,0.20677601,374.0,50408570,751,31,38864,1782505698.1377969
25102,25.094322,0.5960592,0.20695978,410.0,50505230,722,31,62200,1782505698.1377969
