calculated_range,x,y,z,intensity,t,reflectivity,ring,ambient,range,timestamp
25.11161,25.10726,0.14740102,0.44355544,407.0,50772580,624,30,60405,25111,1782507045.6523604
25.115612,25.111692,-0.006658026,0.44362038,441.0,50870410,638,30,16315,25115,1782507045.6523604
25.018612,25.014193,-0.16012037,0.442046,96.0,50967640,567,30,60136,25018,1782507045.6523604
25.07295,25.061728,0.318588,0.6790532,338.0,50671970,567,29,15916,25072,1782507045.7487693
25.101946,25.092197,0.1649965,0.6797971,402.0,50769600,574,29,56699,25101,1782507045.7487693
25.108948,25.099737,0.01103357,0.6799767,409.0,50867490,558,29,61336,25108,1782507045.7487693
25.027948,25.01836,-0.14251377,0.67789876,176.0,50964720,548,29,44857,25027,1782507045.7487693
25.107609,25.101883,0.30140543,0.44349054,387.0,50671970,653,30,47561,25107,1782507045.7487693
25.102612,25.098694,-0.0066546937,0.44340938,407.0,50867490,626,30,60210,25102,1782507045.7487693
25.01761,25.013193,-0.16011398,0.44202974,86.0,50964720,575,30,53831,25017,1782507045.7487693
25.08395,25.072723,0.31872767,0.67933536,345.0,50699690,497,29,20893,25083,1782507045.8489316
25.084946,25.075203,0.1648849,0.67936105,372.0,50797310,544,29,37638,25084,1782507045.8489316
25.093948,25.084742,0.011027109,0.6795919,362.0,50895260,558,29,31433,25093,1782507045.8489316
25.05595,25.04635,-0.14267346,0.67861706,167.0,50992480,581,29,39906,25055,1782507045.8489316
25.097609,25.091885,0.3012853,0.4433282,404.0,50699690,595,30,58397,25097,1782507045.8489316
25.10961,25.105259,0.14738926,0.443523,423.0,50797310,618,30,4959,25109,1782507045.8489316
25.109612,25.105692,-0.006656488,0.443523,418.0,50895260,648,30,1626,25109,1782507045.8489316
25.058609,25.054186,-0.16037603,0.4426952,120.0,50992480,573,30,9833,25058,1782507045.8489316
25.073948,25.062727,0.31860068,0.6790788,333.0,50719070,565,29,12796,25073,1782507045.9473982
25.073946,25.064207,0.16481268,0.6790788,354.0,50816770,489,29,26426,25073,1782507045.9473982
25.099947,25.09074,0.011029693,0.67974585,384.0,50914740,559,29,45396,25099,1782507045.9473982
25.08561,25.079887,0.30114114,0.44313344,374.0,50719070,585,30,39329,25085,1782507045.9473982
25.10561,25.101261,0.14736575,0.44345805,405.0,50816770,580,30,59262,25105,1782507045.9473982
25.09861,25.094694,-0.006653669,0.44334444,414.0,50914740,616,30,64597,25098,1782507045.9473982
25.074612,25.070185,-0.1604783,0.4429549,101.0,51012120,652,30,63716,25074,1782507045.9473982
25.08895,25.07772,0.31879115,0.6794636,368.0,50724050,518,29,35347,25088,1782507046.0467098
25.00395,24.99437,-0.1423769,0.6772831,179.0,51017060,561,29,46450,25003,1782507046.0467098
25.106607,25.100882,0.30139342,0.4434743,386.0,50724050,638,30,46984,25106,1782507046.0467098
25.12761,25.12369,-0.0066611017,0.44381514,403.0,50919740,606,30,58300,25127,1782507046.0467098
25.097948,25.088741,0.011028832,0.67969453,402.0,50934710,521,29,56898,25097,1782507046.148587
25.100609,25.094883,0.30132136,0.4433769,403.0,50738940,623,30,57660,25100,1782507046.148587
25.120613,25.116692,-0.0066593075,0.44370154,382.0,50934710,625,30,44808,25120,1782507046.148587
25.01061,25.006193,-0.16006924,0.44191614,96.0,51032090,615,30,60465,25010,1782507046.148587
25.06395,25.05273,0.3184737,0.6788223,337.0,50760520,543,29,15266,25063,1782507046.2497282
25.100946,25.091198,0.16498993,0.6797715,412.0,50858300,517,29,63281,25100,1782507046.2497282
25.094948,25.085741,0.01102754,0.6796176,403.0,50956390,512,29,57532,25094,1782507046.2497282
25.12361,25.11788,0.30159765,0.4437502,394.0,50760520,604,30,52555,25123,1782507046.2497282
25.120611,25.116259,0.14745393,0.44370154,431.0,50858300,623,30,10203,25120,1782507046.2497282
25.12161,25.117691,-0.0066595636,0.44371775,379.0,50956390,648,30,42817,25121,1782507046.2497282
25.064611,25.060186,-0.16041437,0.4427926,85.0,51053770,607,30,53856,25064,1782507046.2497282
25.10995,25.098713,0.31905782,0.6800024,350.0,50749630,524,29,24353,25109,1782507046.350292
25.112946,25.103193,0.1650687,0.68007934,422.0,50847360,516,29,4305,25112,1782507046.350292
25.118948,25.109734,0.011037878,0.68023324,399.0,50945550,516,29,55457,25118,1782507046.350292
25.11261,25.106882,0.3014655,0.4435717,391.0,50749630,619,30,50372,25112,1782507046.350292
25.12961,25.125257,0.14750683,0.4438476,392.0,50847360,659,30,51109,25129,1782507046.350292
24.977612,24.9732,-0.15985833,0.4413805,103.0,51042860,620,30,64646,24977,1782507046.350292
25.117949,25.106709,0.31915942,0.6802076,347.0,50718480,522,29,22604,25117,1782507046.450293
25.121946,25.11219,0.16512778,0.6803102,390.0,50816160,509,29,49876,25121,1782507046.450293
25.112947,25.103735,0.011035293,0.68007934,391.0,50914100,520,29,50285,25112,1782507046.450293
25.083609,25.077887,0.30111712,0.443101,397.0,50718480,616,30,53589,25083,1782507046.450293
25.13661,25.132256,0.14754799,0.4439612,388.0,50816160,650,30,48764,25136,1782507046.450293
25.01961,25.015192,-0.16012676,0.4420622,84.0,51011430,603,30,53062,25019,1782507046.450293
25.07795,25.066725,0.31865147,0.67918146,315.0,50710470,484,29,1993,25077,1782507046.5468397
25.080944,25.071203,0.16485864,0.6792584,374.0,50808220,511,29,39007,25080,1782507046.5468397
25.092947,25.083742,0.011026679,0.67956626,385.0,50906090,557,29,45907,25092,1782507046.5468397
25.12561,25.119879,0.30162168,0.4437827,414.0,50710470,599,30,65253,25125,1782507046.5468397
25.10861,25.10426,0.14738339,0.44350675,412.0,50808220,641,30,63402,25108,1782507046.5468397
25.04361,25.039188,-0.16028015,0.44245175,101.0,51003290,610,30,63784,25043,1782507046.5468397
25.11295,25.101711,0.3190959,0.68007934,340.0,50688860,519,29,18127,25112,1782507046.6511264
25.119947,25.110191,0.16511466,0.6802589,386.0,50786510,554,29,47076,25119,1782507046.6511264
25.121948,25.112732,0.0110391695,0.6803102,382.0,50884380,598,29,44986,25121,1782507046.6511264
25.124607,25.11888,0.30160967,0.44376644,398.0,50688860,620,30,55022,25124,1782507046.6511264
25.12261,25.118258,0.14746569,0.443734,416.0,50786510,640,30,692,25122,1782507046.6511264
25.12661,25.12269,-0.0066608456,0.4437989,397.0,50884380,637,30,54327,25126,1782507046.6511264
25.02161,25.017193,-0.16013955,0.44209468,107.0,50981610,617,30,1856,25021,1782507046.6511264
25.10795,25.098738,0.011033139,0.6799511,403.0,50869320,534,29,57670,25107,1782507046.745764
25.10461,25.10026,0.14735988,0.44344184,424.0,50771500,630,30,5412,25104,1782507046.745764
25.072609,25.068184,-0.16046551,0.44292244,95.0,50966550,626,30,60074,25072,1782507046.745764
25.10295,25.091715,0.31896892,0.6798228,368.0,50647100,530,29,35531,25102,1782507046.8538325
25.088945,25.0792,0.16491115,0.6794636,357.0,50744680,524,29,28377,25088,1782507046.8538325
25.09095,25.081743,0.011025817,0.67951494,377.0,50842420,540,29,40920,25090,1782507046.8538325
25.117609,25.11188,0.3015256,0.44365284,390.0,50647100,572,30,49457,25117,1782507046.8538325
25.04161,25.03719,-0.16026737,0.4424193,100.0,50939580,623,30,63079,25041,1782507046.8538325
25.11995,25.108707,0.3191848,0.6802589,371.0,50634750,527,29,37759,25119,1782507046.9499257
25.111948,25.102736,0.011034862,0.68005365,385.0,50830030,530,29,46417,25111,1782507046.9499257
25.115608,25.10988,0.30150154,0.44362038,382.0,50634750,616,30,44771,25115,1782507046.9499257
25.03861,25.03419,-0.1602482,0.4423706,91.0,50927190,641,30,57323,25038,1782507046.9499257
25.117609,25.113258,0.14743629,0.44365284,416.0,50734480,627,30,653,25117,1782507047.0473776
25.11961,25.11569,-0.0066590514,0.4436853,397.0,50832280,657,30,54083,25119,1782507047.0473776
25.036612,25.03219,-0.16023542,0.44233814,103.0,50929440,635,30,64867,25036,1782507047.0473776
25.11595,25.10471,0.319134,0.6801563,342.0,50645450,553,29,19254,25115,1782507047.1469042
25.117945,25.10819,0.16510153,0.6802076,390.0,50743100,551,29,49573,25117,1782507047.1469042
25.10995,25.100737,0.011034001,0.6800024,394.0,50840870,525,29,52090,25109,1782507047.1469042
25.096611,25.092262,0.14731283,0.443312,409.0,50743100,637,30,61286,25096,1782507047.1469042
25.10161,25.097692,-0.0066544376,0.44339314,405.0,50840870,619,30,58972,25101,1782507047.1469042
25.02961,25.02519,-0.16019067,0.4422245,99.0,50938050,614,30,62441,25029,1782507047.1469042
25.085949,25.074722,0.31875306,0.6793867,340.0,50678130,526,29,17614,25085,1782507047.2488213
