calculated_range,x,y,z,intensity,t,reflectivity,ring,ambient,range,timestamp,cloud_index
25.118608,25.110558,0.45562166,0.44366905,326.0,50703990,351,30,9684,25118,1782510861.3138745,0
25.095251,25.090508,0.44194862,0.20691215,351.0,50703990,480,31,24967,25095,1782510861.3138745,0
25.09161,25.083565,0.45513165,0.44323084,339.0,50671960,399,30,17163,25091,1782510861.413235,1
25.10361,25.097883,0.3013574,0.4434256,384.0,50770770,445,30,45475,25103,1782510861.413235,1
25.10261,25.09826,0.1473481,0.44340938,406.0,50867950,486,30,59715,25102,1782510861.413235,1
25.110252,25.105505,0.44221318,0.20701425,318.0,50671960,539,31,4102,25110,1782510861.413235,1
25.085255,25.082748,0.2878728,0.20684408,400.0,50770770,512,31,55456,25085,1782510861.413235,1
25.082256,25.081045,0.13394642,0.20682366,361.0,50867950,499,31,30930,25082,1782510861.413235,1
25.097609,25.089563,0.45524055,0.4433282,326.0,50632540,367,30,9240,25097,1782510861.513942,2
25.097609,25.091885,0.3012853,0.4433282,411.0,50731330,446,30,62362,25097,1782510861.513942,2
25.09861,25.094261,0.14732459,0.44334444,410.0,50828360,452,30,61714,25098,1782510861.513942,2
25.108253,25.103506,0.4421779,0.20700063,339.0,50632540,477,31,17657,25108,1782510861.513942,2
25.096252,25.093748,0.28799933,0.20691895,392.0,50731330,457,31,50299,25096,1782510861.513942,2
25.09961,25.09526,0.14733048,0.4433607,413.0,50816170,394,30,63937,25099,1782510861.6128063,3
25.09961,25.091562,0.45527685,0.4433607,282.0,50600330,388,30,46979,25099,1782510861.7152646,4
25.098255,25.097044,0.13403228,0.20693256,380.0,50796060,537,31,42977,25098,1782510861.7152646,4
25.105608,25.099882,0.3013814,0.44345805,389.0,50689010,451,30,48623,25105,1782510861.8085284,5
25.092253,25.08751,0.4418957,0.20689172,335.0,50590420,492,31,14775,25092,1782510861.8085284,5
25.091253,25.088749,0.2879418,0.20688492,372.0,50689010,538,31,37806,25091,1782510861.8085284,5
25.08561,25.079887,0.30114114,0.44313344,401.0,50693790,417,30,55979,25085,1782510861.911496,6
25.10561,25.101261,0.14736575,0.44345805,394.0,50790920,410,30,51999,25105,1782510861.911496,6
25.078255,25.073511,0.44164878,0.20679642,319.0,50595190,497,31,4457,25078,1782510861.911496,6
25.093254,25.090748,0.28796482,0.20689853,387.0,50693790,489,31,47546,25093,1782510861.911496,6
25.094255,25.093044,0.13401082,0.20690534,398.0,50790920,507,31,54404,25094,1782510861.911496,6
25.10561,25.09756,0.45538574,0.44345805,325.0,50609480,409,30,8515,25105,1782510862.0122685,7
25.102255,25.099747,0.28806835,0.20695978,373.0,50708140,481,31,38958,25102,1782510862.0122685,7
25.096254,25.095045,0.13402155,0.20691895,365.0,50805250,534,31,33517,25096,1782510862.0122685,7
25.104254,25.099506,0.44210735,0.2069734,314.0,50622630,494,31,1731,25104,1782510862.11033,8
