cloud_index,point_count
0,5
1,4
2,5
3,1
4,3
5,4
6,2
7,3
8,2
9,3
10,4
11,2
12,3
13,4
14,4
15,2
16,3
17,3
18,1
19,3
20,4
21,5
22,2
23,2
24,2
25,2
26,1
27,2
28,3
29,3
30,3
31,2
32,1
33,1
34,1
35,1
37,1
39,1
40,1
41,2
42,1
43,2
44,2
45,1
46,1
47,2
48,1
49,1
50,3
52,2
53,1
54,2
55,1
57,1
61,2
62,1
63,1
64,1
65,1
66,2
67,1
68,3
70,2
73,2
76,1
79,1
82,1
86,1
92,1
100,1
101,1
102,1
107,2
108,1
109,1
110,1
111,2
114,1
115,2
119,1
121,1
123,1
126,1
128,2
129,1
131,1
139,1
140,1
141,1
144,1
159,1
164,1
169,1
176,1
193,1
194,1
196,1
198,1
200,1
221,1
233,1
234,1
241,2
250,2
256,1
274,1
291,1
