calculated_range,x,y,z,intensity,t,reflectivity,ring,ambient,range,timestamp,cloud_index
25.10961,25.10156,0.4554583,0.443523,411.0,50637860,607,30,62989,25109,1782512180.4248574,0
25.093254,25.088509,0.44191334,0.20689853,388.0,50637860,658,31,47897,25093,1782512180.4248574,0
25.076254,25.07375,0.2877693,0.20678282,313.0,50736570,656,31,409,25076,1782512180.4248574,0
25.096611,25.085299,0.60915434,0.443312,380.0,50527590,588,30,43289,25096,1782512180.5255337,1
25.085608,25.077566,0.45502278,0.44313344,409.0,50623390,616,30,61185,25085,1782512180.5255337,1
25.090609,25.084887,0.30120122,0.4432146,377.0,50722030,622,30,41100,25090,1782512180.5255337,1
25.096252,25.091509,0.44196624,0.20691895,427.0,50623390,686,31,6814,25096,1782512180.5255337,1
25.113253,25.110746,0.28819486,0.20703466,318.0,50722030,636,31,4250,25113,1782512180.5255337,1
25.09761,25.0863,0.6091786,0.4433282,389.0,50535080,589,30,48982,25097,1782512180.6182554,2
25.100609,25.094883,0.30132136,0.4433769,352.0,50729570,574,30,25167,25100,1782512180.6182554,2
25.087252,25.079327,0.5957026,0.20685768,361.0,50535080,619,31,30999,25087,1782512180.6182554,2
25.102255,25.099747,0.28806835,0.20695978,284.0,50729570,641,31,48165,25102,1782512180.6182554,2
25.09961,25.091562,0.45527685,0.4433607,375.0,50645080,583,30,40224,25099,1782512180.7204392,3
25.095608,25.089884,0.30126128,0.44329575,368.0,50743790,600,30,35652,25095,1782512180.7204392,3
25.085255,25.082748,0.2878728,0.20684408,330.0,50743790,635,31,11363,25085,1782512180.7204392,3
25.09661,25.088564,0.4552224,0.443312,397.0,50639590,600,30,53931,25096,1782512180.8254297,4
25.097609,25.091885,0.3012853,0.4433282,374.0,50738300,577,30,39599,25097,1782512180.8254297,4
25.095253,25.087324,0.5958928,0.20691215,376.0,50543660,685,31,40221,25095,1782512180.8254297,4
25.073252,25.068512,0.4415606,0.20676239,373.0,50639590,672,31,37995,25073,1782512180.8254297,4
25.10261,25.091297,0.6093,0.44340938,412.0,50518830,569,30,63042,25102,1782512180.9237223,5
25.09961,25.093884,0.30130935,0.4433607,362.0,50713220,574,30,31454,25099,1782512180.9237223,5
25.083254,25.075329,0.5956075,0.20683046,364.0,50518830,674,31,32504,25083,1782512180.9237223,5
25.079252,25.07451,0.44166642,0.20680323,364.0,50614560,680,31,32403,25079,1782512180.9237223,5
25.08861,25.080566,0.4550772,0.44318214,388.0,50572480,563,30,47674,25088,1782512181.024137,6
25.091255,25.083326,0.5957977,0.20688492,387.0,50476780,607,31,47502,25091,1782512181.024137,6
25.101252,25.096506,0.44205442,0.20695299,387.0,50572480,643,31,47495,25101,1782512181.024137,6
25.101254,25.098747,0.28805685,0.20695299,318.0,50671070,668,31,3883,25101,1782512181.024137,6
25.10161,25.090298,0.60927576,0.44339314,403.0,50466360,601,30,57811,25101,1782512181.1236918,7
25.098608,25.090563,0.4552587,0.44334444,441.0,50562010,589,30,16217,25098,1782512181.1236918,7
25.078255,25.07033,0.59548867,0.20679642,361.0,50466360,634,31,30754,25078,1782512181.1236918,7
25.075253,25.07051,0.44159585,0.20677601,376.0,50562010,611,31,40243,25075,1782512181.1236918,7
25.10361,25.095562,0.45534945,0.4434256,409.0,50539000,590,30,61698,25103,1782512181.2199767,8
25.10961,25.103882,0.30142948,0.443523,384.0,50637510,576,30,45505,25109,1782512181.2199767,8
25.085255,25.077328,0.5956551,0.20684408,363.0,50443420,630,31,32157,25085,1782512181.2199767,8
25.086254,25.08151,0.44178987,0.20685089,374.0,50539000,690,31,38765,25086,1782512181.2199767,8
25.077253,25.074749,0.2877808,0.20678963,308.0,50637510,630,31,62954,25077,1782512181.2199767,8
25.11361,25.105558,0.4555309,0.4435879,409.0,50551900,572,30,61366,25113,1782512181.3190098,9
25.10861,25.102882,0.30141747,0.44350675,356.0,50650460,610,30,28268,25108,1782512181.3190098,9
25.098253,25.093508,0.44200152,0.20693256,393.0,50551900,637,31,51249,25098,1782512181.3190098,9
25.097609,25.089563,0.45524055,0.4433282,402.0,50562130,635,30,56904,25097,1782512181.4218416,10
25.11061,25.104881,0.3014415,0.4435392,359.0,50660690,562,30,29832,25110,1782512181.4218416,10
25.096252,25.093748,0.28799933,0.20691895,319.0,50660690,607,31,4774,25096,1782512181.4218416,10
25.08061,25.069305,0.60876584,0.4430523,395.0,50487450,596,30,52380,25080,1782512181.5179183,11
25.114609,25.108881,0.30148953,0.44360414,362.0,50681740,564,30,31781,25114,1782512181.5179183,11
25.087254,25.08251,0.4418075,0.20685768,351.0,50583130,644,31,24555,25087,1782512181.5179183,11
25.104254,25.101748,0.28809136,0.2069734,310.0,50681740,632,31,64622,25104,1782512181.5179183,11
25.082611,25.071306,0.6088144,0.44308475,379.0,50515610,579,30,42437,25082,1782512181.624938,12
25.092607,25.084564,0.4551498,0.44324705,403.0,50611350,557,30,57239,25092,1782512181.624938,12
25.08561,25.079887,0.30114114,0.44313344,356.0,50710060,550,30,27564,25085,1782512181.624938,12
25.099255,25.094507,0.44201916,0.20693937,381.0,50611350,665,31,43551,25099,1782512181.624938,12
25.10561,25.094296,0.60937285,0.44345805,396.0,50538390,572,30,53003,25105,1782512181.71929,13
25.10161,25.093563,0.45531315,0.44339314,370.0,50634180,616,30,36936,25101,1782512181.71929,13
25.09261,25.086885,0.30122524,0.44324705,377.0,50732940,556,30,40874,25092,1782512181.71929,13
25.086254,25.078327,0.59567887,0.20685089,412.0,50538390,666,31,62810,25086,1782512181.71929,13
