calculated_range,x,y,z,intensity,t,reflectivity,ring,ambient,range,timestamp,cloud_index
25.098608,25.090563,0.4552587,0.44334444,386.0,50620510,438,30,46672,25098,1782509285.6048472,16
25.092949,25.0716,0.7804603,0.67956626,338.0,50424590,364,29,16739,25092,1782509285.705088,17
25.10795,25.090908,0.62698364,0.6799511,383.0,50521670,347,29,45455,25107,1782509285.705088,17
25.115948,25.102278,0.47316757,0.6801563,366.0,50617610,394,29,34633,25115,1782509285.705088,17
25.118608,25.110558,0.45562166,0.44366905,408.0,50617610,421,30,61039,25118,1782509285.705088,17
25.098948,25.081913,0.626759,0.67972016,361.0,50512600,358,29,31362,25098,1782509285.804256,18
25.092607,25.084564,0.4551498,0.44324705,390.0,50608540,463,30,49568,25092,1782509285.804256,18
25.10095,25.087286,0.4728851,0.6797715,358.0,50630350,366,29,29469,25100,1782509285.9052515,19
25.09761,25.0863,0.6091786,0.4433282,444.0,50534270,465,30,18138,25097,1782509285.9052515,19
25.106949,25.089909,0.62695867,0.6799254,374.0,50519220,356,29,39718,25106,1782509286.0058112,20
25.108948,25.095282,0.47303575,0.6799767,332.0,50615110,366,29,13213,25108,1782509286.0058112,20
25.10261,25.091297,0.6093,0.44340938,404.0,50519220,454,30,58000,25102,1782509286.0058112,20
25.094946,25.073597,0.78052247,0.6796176,373.0,50378710,379,29,38723,25094,1782509286.1035879,21
25.081947,25.064924,0.6263346,0.6792841,357.0,50475620,375,29,28440,25081,1782509286.1035879,21
25.090609,25.075092,0.7628809,0.4432146,428.0,50378710,434,30,7438,25090,1782509286.1035879,21
25.079609,25.068306,0.6087416,0.44303605,415.0,50475620,442,30,64512,25079,1782509286.1035879,21
25.093609,25.085566,0.45516795,0.4432633,398.0,50571470,442,30,54105,25093,1782509286.1035879,21
25.092949,25.07929,0.47273445,0.67956626,376.0,50551940,347,29,40758,25092,1782509286.2068613,22
25.11061,25.10256,0.45547646,0.4435392,381.0,50551940,415,30,43878,25110,1782509286.2068613,22
25.10461,25.093296,0.6093486,0.44344184,423.0,50485390,416,30,4692,25104,1782509286.3069427,23
25.111609,25.10356,0.4554946,0.44355544,403.0,50600520,425,30,57711,25111,1782509286.401988,24
25.103949,25.090284,0.47294158,0.67984843,359.0,50617850,352,29,30230,25103,1782509286.5005968,25
25.10195,25.084911,0.62683386,0.6797971,371.0,50530970,342,29,37175,25101,1782509286.600911,26
25.09261,25.077091,0.7629418,0.44324705,417.0,50433890,455,30,446,25092,1782509286.600911,26
25.11761,25.109558,0.4556035,0.44365284,413.0,50626910,414,30,64201,25117,1782509286.600911,26
25.112947,25.09928,0.47311106,0.68007934,367.0,50636990,384,29,35249,25112,1782509286.705961,27
25.064949,25.043623,0.7795896,0.67884797,331.0,50435940,361,29,11886,25064,1782509286.8039162,28
25.082949,25.061607,0.78014934,0.6793097,370.0,50427860,377,29,36621,25082,1782509286.9021664,29
25.11261,25.104559,0.45551276,0.4435717,396.0,50620920,460,30,53120,25112,1782509286.9021664,29
25.098948,25.085287,0.47284743,0.67972016,370.0,50602290,356,29,37043,25098,1782509287.2051938,32
25.09061,25.079302,0.60900867,0.4432146,404.0,50506350,420,30,57942,25090,1782509287.2051938,32
25.087948,25.066603,0.7803048,0.679438,359.0,50399200,351,29,29938,25087,1782509287.3029861,33
25.087946,25.070919,0.6264844,0.679438,356.0,50496230,397,29,27798,25087,1782509287.3029861,33
25.08961,25.074093,0.7628505,0.44319835,418.0,50399200,439,30,1100,25089,1782509287.3029861,33
25.085608,25.077566,0.45502278,0.44313344,372.0,50580350,441,30,37585,25085,1782509287.406435,34
25.10661,25.09856,0.45540386,0.4434743,392.0,50561000,452,30,50523,25106,1782509287.5016162,35
25.09195,25.0706,0.7804292,0.67954063,364.0,50359740,372,29,33052,25091,1782509287.6016233,36
25.077948,25.060926,0.6262347,0.67918146,362.0,50496010,350,29,31654,25077,1782509287.8059802,38
25.09461,25.0833,0.60910577,0.44327953,408.0,50496010,476,30,60876,25094,1782509287.8059802,38
25.09561,25.087564,0.45520425,0.44329575,370.0,50591950,434,30,36559,25095,1782509287.8059802,38
25.104948,25.08791,0.6269088,0.6798741,382.0,50516670,405,29,44449,25104,1782509288.001083,40
25.08495,25.067923,0.6264095,0.67936105,370.0,50473230,377,29,36663,25084,1782509288.303904,43
25.10861,25.100561,0.45544016,0.44350675,409.0,50569120,354,30,61821,25108,1782509288.303904,43
25.10395,25.08691,0.6268838,0.67984843,377.0,50501050,352,29,41574,25103,1782509288.4073453,44
25.092611,25.0813,0.60905725,0.44324705,416.0,50501050,429,30,65494,25092,1782509288.4073453,44
25.104609,25.096561,0.4553676,0.44344184,376.0,50596940,361,30,40908,25104,1782509288.4073453,44
25.101948,25.088285,0.47290394,0.6797971,372.0,50629890,367,29,38299,25101,1782509288.6023765,46
25.103611,25.092297,0.60932434,0.4434256,411.0,50573420,457,30,62425,25103,1782509288.9077816,49
25.095947,25.074596,0.7805536,0.6796432,376.0,50396270,378,29,40645,25095,1782509289.4068618,54
25.096949,25.079914,0.62670904,0.6796689,390.0,50493280,388,29,49423,25096,1782509289.4068618,54
25.086609,25.071095,0.76275927,0.4431497,398.0,50396270,436,30,54003,25086,1782509289.4068618,54
25.093609,25.0823,0.6090815,0.4432633,427.0,50493280,363,30,7261,25093,1782509289.4068618,54
25.11361,25.105558,0.4555309,0.4435879,420.0,50589170,474,30,3304,25113,1782509289.4068618,54
25.090948,25.069601,0.7803981,0.67951494,369.0,50423000,387,29,36090,25090,1782509289.5055916,55
25.099949,25.082912,0.62678397,0.67974585,363.0,50520080,378,29,32527,25099,1782509289.5055916,55
25.09595,25.082289,0.47279093,0.6796432,380.0,50615960,378,29,43165,25095,1782509289.5055916,55
25.098948,25.077595,0.78064686,0.67972016,341.0,50450640,385,29,18616,25098,1782509289.8046649,58
25.078949,25.057611,0.78002495,0.6792071,356.0,50432320,425,29,27484,25078,1782509289.905528,59
25.08695,25.069921,0.6264594,0.67941236,362.0,50529380,391,29,31594,25086,1782509289.905528,59
25.109947,25.096281,0.4730546,0.6800024,371.0,50625320,402,29,37617,25109,1782509289.905528,59
25.121609,25.113556,0.4556761,0.44371775,408.0,50610600,452,30,60916,25121,1782509290.2043674,62
25.10595,25.08891,0.62693375,0.67989975,411.0,50567260,404,29,62747,25105,1782509290.4036112,64
25.090948,25.073917,0.62655926,0.67951494,377.0,50570570,374,29,41198,25090,1782509290.6030974,66
25.068949,25.047619,0.779714,0.67895055,357.0,50441950,381,29,28179,25068,1782509290.703171,67
25.113949,25.100279,0.4731299,0.680105,368.0,50635020,397,29,35836,25113,1782509290.703171,67
25.110949,25.093904,0.62705857,0.680028,400.0,50490430,376,29,56073,25110,1782509290.90521,69
25.089949,25.068602,0.780367,0.6794893,349.0,50397790,381,29,23519,25089,1782509291.0043685,70
25.09961,25.091562,0.45527685,0.4433607,411.0,50564080,418,30,62546,25099,1782509291.4038057,74
25.075949,25.054613,0.77993166,0.67913014,380.0,50414340,414,29,42581,25075,1782509291.6046236,76
25.114609,25.106558,0.45554906,0.44360414,386.0,50607360,436,30,46989,25114,1782509291.6046236,76
25.061949,25.040625,0.7794963,0.678771,351.0,50421980,384,29,24273,25061,1782509291.7029538,77
25.112947,25.095903,0.62710845,0.68007934,369.0,50507850,363,29,36625,25112,1782509292.0068102,80
25.089947,25.072918,0.6265343,0.6794893,365.0,50505390,391,29,33537,25089,1782509292.1060839,81
25.10561,25.09756,0.45538574,0.44345805,402.0,50601180,480,30,57288,25105,1782509292.1060839,81
25.075949,25.058928,0.6261848,0.67913014,354.0,50513120,352,29,26572,25075,1782509292.2044184,82
25.083948,25.062607,0.78018045,0.67933536,365.0,50417870,413,29,33306,25083,1782509292.4034524,84
25.081947,25.060608,0.7801182,0.6792841,339.0,50404530,371,29,17139,25081,1782509292.6042507,86
25.110949,25.09728,0.47307342,0.680028,398.0,50597490,367,29,54861,25110,1782509292.6042507,86
25.084948,25.063606,0.7802115,0.67936105,374.0,50405960,384,29,39142,25084,1782509292.7070346,87
25.09395,25.0726,0.7804914,0.6795919,364.0,50401760,396,29,32948,25093,1782509293.4149892,94
25.085947,25.064606,0.7802426,0.6793867,379.0,50390660,384,29,42302,25085,1782509293.503094,95
25.09395,25.08029,0.4727533,0.6795919,367.0,50588430,329,29,34574,25093,1782509293.7124925,97
25.113949,25.096903,0.6271334,0.680105,400.0,50504870,407,29,55964,25113,1782509293.8030758,98
25.12361,25.115557,0.4557124,0.4437502,363.0,50628960,488,30,32992,25123,1782509294.204618,102
25.092947,25.075916,0.6266092,0.67956626,373.0,50519820,307,29,38458,25092,1782509294.3031585,103
25.107607,25.09956,0.455422,0.44349054,414.0,50615760,448,30,64443,25107,1782509294.3031585,103
25.083948,25.066923,0.6263845,0.67933536,358.0,50510960,316,29,28803,25083,1782509294.5092313,105
25.079948,25.062925,0.62628466,0.6792328,387.0,50512200,265,29,47255,25079,1782509294.603576,106
25.07495,25.057928,0.62615985,0.6791045,338.0,50527610,361,29,16449,25074,1782509294.9085307,109
25.073608,25.06231,0.60859585,0.4429387,417.0,50501920,455,30,54,25073,1782509295.105256,111
25.104948,25.091284,0.4729604,0.6798741,391.0,50599640,422,29,50029,25104,1782509295.2015173,112
25.096611,25.085299,0.60915434,0.443312,418.0,50508670,480,30,1647,25096,1782509295.3053594,113
25.111948,25.09828,0.47309223,0.68005365,358.0,50583790,408,29,29429,25111,1782509295.5043762,115
25.111948,25.094904,0.6270835,0.68005365,360.0,50597930,397,29,30750,25111,1782509296.0040677,120
25.10595,25.092283,0.47297925,0.67989975,389.0,50674770,366,29,49089,25105,1782509296.3095505,123
25.07961,25.0641,0.76254636,0.44303605,375.0,50392940,482,30,39765,25079,1782509297.5093732,135
25.074945,25.053614,0.77990055,0.6791045,369.0,50421870,414,29,35651,25074,1782509297.9036705,139
25.08561,25.074305,0.60888726,0.44313344,443.0,50518880,487,30,17121,25085,1782509297.9036705,139
25.085608,25.070095,0.76272887,0.44313344,403.0,50414650,502,30,57388,25085,1782509298.0021174,140
