calculated_range,x,y,z,intensity,t,reflectivity,ring,ambient,range,timestamp,cloud_index
25.117949,25.108734,0.011037447,0.6802076,385.0,50958860,527,29,46550,25117,1782507044.9561403,0
25.08861,25.082886,0.30117717,0.44318214,409.0,50763020,684,30,60860,25088,1782507044.9561403,0
25.090609,25.086262,0.14727756,0.4432146,407.0,50860870,652,30,59822,25090,1782507044.9561403,0
25.113949,25.10271,0.3191086,0.680105,344.0,50755210,523,29,20641,25113,1782507045.0548635,1
25.106945,25.097195,0.16502932,0.6799254,406.0,50853000,521,29,59601,25106,1782507045.0548635,1
25.113947,25.104734,0.011035724,0.680105,387.0,50951040,534,29,47700,25113,1782507045.0548635,1
25.118946,25.10919,0.1651081,0.68023324,382.0,50847210,501,29,44828,25118,1782507045.1506371,2
25.097948,25.086718,0.31890544,0.67969453,344.0,50740420,542,29,20251,25097,1782507045.2528172,3
25.091948,25.082201,0.16493085,0.67954063,393.0,50838140,545,29,50980,25091,1782507045.2528172,3
25.085947,25.076744,0.011023663,0.6793867,398.0,50936140,547,29,53997,25085,1782507045.2528172,3
25.089607,25.083885,0.30118918,0.44319835,382.0,50740420,637,30,44151,25089,1782507045.2528172,3
25.094608,25.090261,0.14730108,0.44327953,378.0,50838140,647,30,41664,25094,1782507045.2528172,3
25.10195,25.090715,0.31895623,0.6797971,349.0,50713190,555,29,23408,25101,1782507045.3504093,4
25.103947,25.094196,0.16500963,0.67984843,381.0,50810870,503,29,43899,25103,1782507045.3504093,4
25.108944,25.099194,0.16504245,0.6799767,409.0,50785240,569,29,61276,25108,1782507045.4504871,5
25.10595,25.094713,0.31900704,0.67989975,330.0,50681050,580,29,11992,25105,1782507045.548627,6
25.107946,25.098194,0.16503589,0.6799511,402.0,50778620,571,29,56837,25107,1782507045.548627,6
25.086948,25.077744,0.011024094,0.67941236,384.0,50876520,571,29,45085,25086,1782507045.548627,6
25.108948,25.097712,0.31904513,0.6799767,350.0,50674960,553,29,24168,25108,1782507045.6523604,7
25.097946,25.088198,0.16497023,0.67969453,369.0,50772580,486,29,36304,25097,1782507045.6523604,7
25.103949,25.094738,0.011031416,0.67984843,373.0,50870410,528,29,38706,25103,1782507045.6523604,7
25.101946,25.092197,0.1649965,0.6797971,402.0,50769600,574,29,56699,25101,1782507045.7487693,8
25.108948,25.099737,0.01103357,0.6799767,409.0,50867490,558,29,61336,25108,1782507045.7487693,8
25.093948,25.084742,0.011027109,0.6795919,362.0,50895260,558,29,31433,25093,1782507045.8489316,9
25.097609,25.091885,0.3012853,0.4433282,404.0,50699690,595,30,58397,25097,1782507045.8489316,9
25.099947,25.09074,0.011029693,0.67974585,384.0,50914740,559,29,45396,25099,1782507045.9473982,10
25.08561,25.079887,0.30114114,0.44313344,374.0,50719070,585,30,39329,25085,1782507045.9473982,10
25.097948,25.088741,0.011028832,0.67969453,402.0,50934710,521,29,56898,25097,1782507046.148587,12
25.100609,25.094883,0.30132136,0.4433769,403.0,50738940,623,30,57660,25100,1782507046.148587,12
25.100946,25.091198,0.16498993,0.6797715,412.0,50858300,517,29,63281,25100,1782507046.2497282,13
25.094948,25.085741,0.01102754,0.6796176,403.0,50956390,512,29,57532,25094,1782507046.2497282,13
25.10995,25.098713,0.31905782,0.6800024,350.0,50749630,524,29,24353,25109,1782507046.350292,14
25.112946,25.103193,0.1650687,0.68007934,422.0,50847360,516,29,4305,25112,1782507046.350292,14
25.118948,25.109734,0.011037878,0.68023324,399.0,50945550,516,29,55457,25118,1782507046.350292,14
25.117949,25.106709,0.31915942,0.6802076,347.0,50718480,522,29,22604,25117,1782507046.450293,15
25.121946,25.11219,0.16512778,0.6803102,390.0,50816160,509,29,49876,25121,1782507046.450293,15
25.112947,25.103735,0.011035293,0.68007934,391.0,50914100,520,29,50285,25112,1782507046.450293,15
25.083609,25.077887,0.30111712,0.443101,397.0,50718480,616,30,53589,25083,1782507046.450293,15
25.092947,25.083742,0.011026679,0.67956626,385.0,50906090,557,29,45907,25092,1782507046.5468397,16
25.11295,25.101711,0.3190959,0.68007934,340.0,50688860,519,29,18127,25112,1782507046.6511264,17
25.119947,25.110191,0.16511466,0.6802589,386.0,50786510,554,29,47076,25119,1782507046.6511264,17
25.10795,25.098738,0.011033139,0.6799511,403.0,50869320,534,29,57670,25107,1782507046.745764,18
25.10295,25.091715,0.31896892,0.6798228,368.0,50647100,530,29,35531,25102,1782507046.8538325,19
25.09095,25.081743,0.011025817,0.67951494,377.0,50842420,540,29,40920,25090,1782507046.8538325,19
25.11995,25.108707,0.3191848,0.6802589,371.0,50634750,527,29,37759,25119,1782507046.9499257,20
25.111948,25.102736,0.011034862,0.68005365,385.0,50830030,530,29,46417,25111,1782507046.9499257,20
25.11595,25.10471,0.319134,0.6801563,342.0,50645450,553,29,19254,25115,1782507047.1469042,22
25.117945,25.10819,0.16510153,0.6802076,390.0,50743100,551,29,49573,25117,1782507047.1469042,22
25.10995,25.100737,0.011034001,0.6800024,394.0,50840870,525,29,52090,25109,1782507047.1469042,22
25.098946,25.089197,0.1649768,0.67972016,396.0,50775750,521,29,53149,25098,1782507047.2488213,23
