calculated_range,x,y,z,intensity,t,reflectivity,ring,ambient,range,timestamp,cloud_index
25.117949,25.1009,0.62723327,0.6802076,418.0,50531270,526,29,1838,25117,1782508427.5129526,0
25.108948,25.095282,0.47303575,0.6799767,414.0,50627260,540,29,64587,25108,1782508427.5129526,0
25.10995,25.098713,0.31905782,0.6800024,411.0,50725700,515,29,62848,25109,1782508427.5129526,0
25.10661,25.095295,0.6093972,0.4434743,436.0,50531270,555,30,12788,25106,1782508427.5129526,0
25.10861,25.100561,0.45544016,0.44350675,421.0,50627260,614,30,3688,25108,1782508427.5129526,0
25.09661,25.090885,0.3012733,0.443312,376.0,50725700,655,30,40404,25096,1782508427.5129526,0
25.121948,25.108274,0.47328055,0.6803102,412.0,50627230,507,29,63771,25121,1782508427.613134,1
25.121948,25.110706,0.3192102,0.6803102,390.0,50725740,528,29,49772,25121,1782508427.613134,1
25.09561,25.087564,0.45520425,0.44329575,403.0,50627230,559,30,57289,25095,1782508427.613134,1
25.08861,25.082886,0.30117717,0.44318214,330.0,50725740,597,30,11612,25088,1782508427.613134,1
25.109947,25.092905,0.6270336,0.6800024,375.0,50535880,550,29,39959,25109,1782508427.7136354,2
25.11861,25.10729,0.6096885,0.44366905,441.0,50535880,614,30,16530,25118,1782508427.7136354,2
25.09961,25.093884,0.30130935,0.4433607,360.0,50730340,671,30,30293,25099,1782508427.7136354,2
25.113949,25.096903,0.6271334,0.680105,416.0,50531600,524,29,509,25113,1782508427.811925,3
25.090609,25.084887,0.30120122,0.4432146,346.0,50726040,690,30,21213,25090,1782508427.811925,3
25.104948,25.08791,0.6269088,0.6798741,397.0,50521190,537,29,53811,25104,1782508427.913504,4
25.08995,25.076292,0.47267795,0.6794893,382.0,50617190,534,29,44086,25089,1782508427.913504,4
25.10795,25.096712,0.31903243,0.6799511,397.0,50715630,561,29,53740,25107,1782508427.913504,4
25.11561,25.104292,0.6096157,0.44362038,375.0,50521190,618,30,40344,25115,1782508427.913504,4
25.10261,25.094563,0.4553313,0.44340938,409.0,50617190,568,30,61157,25102,1782508427.913504,4
25.10261,25.096884,0.30134538,0.44340938,364.0,50715630,660,30,32928,25102,1782508427.913504,4
25.111948,25.094904,0.6270835,0.68005365,398.0,50527060,549,29,54511,25111,1782508428.0164247,5
25.124949,25.111273,0.47333705,0.6803872,406.0,50623060,499,29,60090,25124,1782508428.0164247,5
25.11995,25.108707,0.3191848,0.6802589,399.0,50721650,531,29,55405,25119,1782508428.0164247,5
25.10661,25.09856,0.45540386,0.4434743,406.0,50623060,599,30,59819,25106,1782508428.0164247,5
25.11861,25.11288,0.3015376,0.44366905,393.0,50721650,604,30,51820,25118,1782508428.0164247,5
25.124949,25.107897,0.627408,0.6803872,398.0,50527980,551,29,54770,25124,1782508428.1178527,6
25.09195,25.080719,0.31882924,0.67954063,390.0,50722390,533,29,49157,25091,1782508428.1178527,6
25.113611,25.102293,0.6095671,0.4435879,446.0,50527980,613,30,19572,25113,1782508428.1178527,6
25.100609,25.094883,0.30132136,0.4433769,373.0,50722390,627,30,38752,25100,1782508428.1178527,6
25.121948,25.104898,0.62733316,0.6803102,390.0,50521830,503,29,49909,25121,1782508428.2094734,7
25.115948,25.102278,0.47316757,0.6801563,431.0,50617770,574,29,9728,25115,1782508428.2094734,7
25.106947,25.095713,0.31901973,0.6799254,383.0,50716220,516,29,45132,25106,1782508428.2094734,7
25.10561,25.094296,0.60937285,0.44345805,425.0,50521830,589,30,6282,25105,1782508428.2094734,7
25.104609,25.096561,0.4553676,0.44344184,425.0,50617770,584,30,6294,25104,1782508428.2094734,7
25.10961,25.103882,0.30142948,0.443523,359.0,50716220,648,30,29979,25109,1782508428.2094734,7
25.112947,25.09928,0.47311106,0.68007934,413.0,50613500,523,29,64143,25112,1782508428.31032,8
25.11295,25.101711,0.3190959,0.68007934,395.0,50711990,570,29,52534,25112,1782508428.31032,8
25.11761,25.10629,0.60966426,0.44365284,416.0,50517550,574,30,312,25117,1782508428.31032,8
25.122608,25.114555,0.45569426,0.443734,458.0,50613500,605,30,27392,25122,1782508428.31032,8
25.117949,25.104277,0.47320524,0.6802076,401.0,50612060,487,29,56863,25117,1782508428.4093866,9
25.10961,25.098293,0.60947,0.443523,418.0,50516070,650,30,1616,25109,1782508428.4093866,9
25.107607,25.09956,0.455422,0.44349054,432.0,50612060,546,30,10348,25107,1782508428.4093866,9
25.09261,25.086885,0.30122524,0.44324705,374.0,50710470,639,30,39161,25092,1782508428.4093866,9
25.096949,25.083288,0.47280976,0.6796689,397.0,50604590,560,29,53521,25096,1782508428.5106604,10
25.11195,25.100712,0.3190832,0.68005365,383.0,50703030,494,29,45353,25111,1782508428.5106604,10
25.097609,25.089563,0.45524055,0.4433282,411.0,50604590,591,30,62829,25097,1782508428.5106604,10
25.10861,25.102882,0.30141747,0.44350675,367.0,50703030,615,30,35175,25108,1782508428.5106604,10
25.096949,25.079914,0.62670904,0.6796689,397.0,50500610,542,29,53619,25096,1782508428.6132572,11
25.116947,25.103277,0.4731864,0.6801819,411.0,50596560,516,29,62997,25116,1782508428.6132572,11
25.10961,25.10156,0.4554583,0.443523,418.0,50596560,586,30,1966,25109,1782508428.6132572,11
25.12395,25.106897,0.62738305,0.6803615,397.0,50492980,545,29,54142,25123,1782508428.7146778,12
25.119947,25.106276,0.47324288,0.6802589,390.0,50588880,556,29,49589,25119,1782508428.7146778,12
25.11261,25.101292,0.60954285,0.4435717,390.0,50492980,631,30,49661,25112,1782508428.7146778,12
25.10361,25.095562,0.45534945,0.4434256,427.0,50588880,604,30,7413,25103,1782508428.7146778,12
25.095608,25.089884,0.30126128,0.44329575,347.0,50687270,682,30,21978,25095,1782508428.7146778,12
25.11695,25.099901,0.62720835,0.6801819,388.0,50487080,520,29,48466,25116,1782508428.811161,13
25.120947,25.107275,0.4732617,0.68028456,394.0,50582980,522,29,52315,25120,1782508428.811161,13
25.121609,25.113556,0.4556761,0.44371775,418.0,50582980,575,30,1663,25121,1782508428.811161,13
25.115608,25.10988,0.30150154,0.44362038,352.0,50681390,638,30,25726,25115,1782508428.811161,13
25.106949,25.089909,0.62695867,0.6799254,398.0,50489850,530,29,54525,25106,1782508428.9097238,14
25.118608,25.110558,0.45562166,0.44366905,423.0,50585700,611,30,5189,25118,1782508428.9097238,14
25.09161,25.085886,0.30121323,0.44323084,345.0,50684110,613,30,21018,25091,1782508428.9097238,14
25.106949,25.093283,0.47299808,0.6799254,423.0,50593020,560,29,4567,25106,1782508429.0152688,15
25.10295,25.091715,0.31896892,0.6798228,377.0,50691420,538,29,41158,25102,1782508429.0152688,15
25.114609,25.108881,0.30148953,0.44360414,349.0,50691420,667,30,23648,25114,1782508429.0152688,15
25.11995,25.1029,0.6272832,0.6802589,392.0,50499510,523,29,51032,25119,1782508429.114242,16
25.111609,25.100292,0.6095186,0.44355544,419.0,50499510,619,30,2463,25111,1782508429.114242,16
25.11261,25.106882,0.3014655,0.4435717,361.0,50693820,647,30,31286,25112,1782508429.114242,16
25.10595,25.092283,0.47297925,0.67989975,407.0,50607500,539,29,60118,25105,1782508429.2088985,17
25.117949,25.106709,0.31915942,0.6802076,352.0,50705960,534,29,25692,25117,1782508429.2088985,17
25.103611,25.092297,0.60932434,0.4434256,421.0,50511560,557,30,3259,25103,1782508429.2088985,17
25.100609,25.092562,0.455295,0.4433769,407.0,50607500,576,30,59807,25100,1782508429.2088985,17
25.09961,25.091562,0.45527685,0.4433607,389.0,50627840,583,30,49044,25099,1782508429.3166897,18
25.088947,25.071918,0.62650937,0.6794636,387.0,50537630,514,29,47328,25088,1782508429.4124086,19
25.113949,25.10271,0.3191086,0.680105,409.0,50732030,511,29,61701,25113,1782508429.4124086,19
25.11061,25.10256,0.45547646,0.4435392,425.0,50633570,569,30,5874,25110,1782508429.4124086,19
25.117609,25.11188,0.3015256,0.44365284,374.0,50732030,614,30,39763,25117,1782508429.4124086,19
25.090948,25.073917,0.62655926,0.67951494,407.0,50528310,530,29,59860,25090,1782508429.5134618,20
25.097948,25.084288,0.4728286,0.67969453,383.0,50624240,528,29,44893,25097,1782508429.5134618,20
25.118948,25.107708,0.3191721,0.68023324,408.0,50722780,560,29,60895,25118,1782508429.5134618,20
25.12061,25.10929,0.6097371,0.44370154,414.0,50528310,592,30,65182,25120,1782508429.5134618,20
25.119608,25.111557,0.4556398,0.4436853,419.0,50624240,593,30,2779,25119,1782508429.5134618,20
25.10195,25.084911,0.62683386,0.6797971,387.0,50531720,532,29,47478,25101,1782508429.6131396,21
25.094948,25.08129,0.47277212,0.6796176,399.0,50627720,532,29,54888,25094,1782508429.6131396,21
25.104948,25.093714,0.3189943,0.6798741,373.0,50726180,513,29,38817,25104,1782508429.6131396,21
25.09861,25.0873,0.6092029,0.44334444,411.0,50531720,597,30,62811,25098,1782508429.6131396,21
25.092947,25.075916,0.6266092,0.67956626,370.0,50526980,537,29,36571,25092,1782508429.7131975,22
25.09695,25.085718,0.31889275,0.6796689,370.0,50721470,560,29,36515,25096,1782508429.7131975,22
25.098608,25.092884,0.3012973,0.44334444,363.0,50721470,602,30,32547,25098,1782508429.7131975,22
25.112947,25.095903,0.62710845,0.68007934,377.0,50517550,535,29,41374,25112,1782508429.9112988,24
25.11595,25.10471,0.319134,0.6801563,400.0,50711960,510,29,56061,25115,1782508429.9112988,24
25.118948,25.1019,0.62725824,0.68023324,394.0,50519800,557,29,52078,25118,1782508430.0138102,25
25.11661,25.108559,0.45558536,0.4436366,426.0,50615750,576,30,6594,25116,1782508430.0138102,25
25.11961,25.11388,0.3015496,0.4436853,369.0,50714390,604,30,36705,25119,1782508430.0138102,25
25.099949,25.086287,0.47286627,0.67974585,405.0,50613540,543,29,58713,25099,1782508430.1116686,26
25.100613,25.089298,0.6092515,0.4433769,407.0,50517600,590,30,60360,25100,1782508430.1116686,26
25.098608,25.090563,0.4552587,0.44334444,403.0,50613540,645,30,57509,25098,1782508430.1116686,26
25.106607,25.100882,0.30139342,0.4434743,370.0,50711980,608,30,37063,25106,1782508430.1116686,26
25.120947,25.103899,0.6273082,0.68028456,421.0,50512110,545,29,3690,25120,1782508430.2108133,27
25.109947,25.096281,0.4730546,0.6800024,396.0,50608050,552,29,53188,25109,1782508430.2108133,27
25.122608,25.116879,0.30158564,0.443734,368.0,50706560,583,30,36245,25122,1782508430.2108133,27
25.100948,25.083912,0.6268089,0.6797715,384.0,50512940,536,29,45551,25100,1782508430.3087728,28
25.108948,25.097712,0.31904513,0.6799767,376.0,50707470,539,29,40636,25108,1782508430.3087728,28
25.097609,25.091885,0.3012853,0.4433282,342.0,50707470,585,30,19398,25097,1782508430.3087728,28
25.122948,25.109274,0.47329938,0.6803359,416.0,50601960,499,29,834,25122,1782508430.4101565,29
25.103949,25.092714,0.31898162,0.67984843,394.0,50700350,601,29,52186,25103,1782508430.4101565,29
25.105608,25.099882,0.3013814,0.44345805,352.0,50700350,615,30,25666,25105,1782508430.4101565,29
25.118948,25.105276,0.47322407,0.68023324,407.0,50594520,565,29,60236,25118,1782508430.5101378,30
25.114948,25.101278,0.47314873,0.68013066,387.0,50594080,499,29,47906,25114,1782508430.6124392,31
25.097948,25.080914,0.626734,0.67969453,386.0,50507510,480,29,47045,25097,1782508430.707747,32
25.11261,25.104559,0.45551276,0.4435717,411.0,50603410,601,30,63084,25112,1782508430.707747,32
25.121609,25.11588,0.30157363,0.44371775,338.0,50701850,611,30,17145,25121,1782508430.707747,32
25.125948,25.108896,0.627433,0.6804128,420.0,50516140,531,29,3247,25125,1782508430.818387,33
25.10095,25.089716,0.31894353,0.6797715,403.0,50710520,560,29,57391,25100,1782508430.818387,33
25.11461,25.103292,0.6095914,0.44360414,390.0,50516140,592,30,49919,25114,1782508430.818387,33
25.089949,25.07872,0.31880385,0.6794893,359.0,50711240,584,29,29964,25089,1782508430.9105372,34
25.10261,25.091297,0.6093,0.44340938,387.0,50516850,570,30,47283,25102,1782508430.9105372,34
25.08961,25.081566,0.45509535,0.44319835,397.0,50612800,625,30,53659,25089,1782508430.9105372,34
25.089607,25.083885,0.30118918,0.44319835,346.0,50711240,652,30,21408,25089,1782508430.9105372,34
25.10195,25.090715,0.31895623,0.6797971,381.0,50721180,536,29,43675,25101,1782508431.117062,36
25.10795,25.094282,0.47301692,0.6799511,393.0,50629260,519,29,51448,25107,1782508431.2117682,37
25.11095,25.099712,0.31907052,0.680028,402.0,50727750,511,29,57226,25110,1782508431.2117682,37
25.11961,25.10829,0.60971284,0.4436853,387.0,50533260,640,30,47866,25119,1782508431.2117682,37
25.125948,25.112272,0.4733559,0.6804128,390.0,50623890,494,29,50047,25125,1782508431.3086572,38
25.096611,25.085299,0.60915434,0.443312,375.0,50527890,613,30,40004,25096,1782508431.3086572,38
25.093609,25.085566,0.45516795,0.4432633,410.0,50623890,594,30,62089,25093,1782508431.3086572,38
25.10561,25.09756,0.45538574,0.44345805,399.0,50611830,607,30,55333,25105,1782508431.5124352,40
25.097948,25.086718,0.31890544,0.67969453,403.0,50715110,516,29,57571,25097,1782508431.609142,41
25.11361,25.107882,0.30147752,0.4435879,338.0,50725100,643,30,16829,25113,1782508431.7124248,42
25.11495,25.10371,0.3191213,0.68013066,356.0,50721090,549,29,28080,25114,1782508431.8128362,43
25.12061,25.112556,0.45565796,0.44370154,432.0,50622650,619,30,10856,25120,1782508431.8128362,43
25.114948,25.097902,0.6271584,0.68013066,391.0,50532810,519,29,50320,25114,1782508431.911516,44
25.107609,25.096294,0.60942143,0.44349054,416.0,50532810,550,30,240,25107,1782508431.911516,44
25.113949,25.100279,0.4731299,0.680105,396.0,50627690,527,29,53415,25113,1782508432.0102544,45
