calculated_range,x,y,z,intensity,t,reflectivity,ring,ambient,range,timestamp,cloud_index
25.10861,25.100561,0.45544016,0.44350675,378.0,50560830,550,30,41835,25108,1782501433.8738236,0
25.105608,25.099882,0.3013814,0.44345805,411.0,50659340,522,30,62731,25105,1782501433.8738236,0
25.10261,25.09826,0.1473481,0.44340938,418.0,50756500,589,30,1807,25102,1782501433.8738236,0
25.090252,25.087748,0.2879303,0.20687811,361.0,50659340,630,31,30993,25090,1782501433.8738236,0
25.090254,25.089045,0.13398935,0.20687811,379.0,50756500,638,31,42281,25090,1782501433.8738236,0
25.09161,25.085886,0.30121323,0.44323084,387.0,50689610,528,30,47309,25091,1782501433.9652488,1
25.087254,25.08251,0.4418075,0.20685768,358.0,50590860,641,31,28991,25087,1782501433.9652488,1
25.093254,25.090748,0.28796482,0.20689853,379.0,50689610,612,31,42466,25093,1782501433.9652488,1
25.089256,25.088045,0.13398398,0.2068713,408.0,50786840,653,31,60426,25089,1782501433.9652488,1
25.093254,25.088509,0.44191334,0.20689853,339.0,50621100,613,31,17274,25093,1782501434.065013,2
25.091253,25.088749,0.2879418,0.20688492,372.0,50719760,613,31,38025,25091,1782501434.065013,2
25.09961,25.091562,0.45527685,0.4433607,378.0,50656630,501,30,41933,25099,1782501434.162376,3
25.10361,25.097883,0.3013574,0.4434256,389.0,50755430,521,30,48841,25103,1782501434.162376,3
25.100609,25.09626,0.14733635,0.4433769,398.0,50852670,576,30,54152,25100,1782501434.162376,3
25.105253,25.100506,0.442125,0.20698021,375.0,50656630,677,31,39833,25105,1782501434.162376,3
25.098253,25.095747,0.28802234,0.20693256,394.0,50755430,604,31,52059,25098,1782501434.162376,3
25.096254,25.095045,0.13402155,0.20691895,380.0,50852670,624,31,43088,25096,1782501434.162376,3
25.100609,25.092562,0.455295,0.4433769,378.0,50674360,556,30,41646,25100,1782501434.261239,4
25.10161,25.095884,0.30133337,0.44339314,376.0,50773110,551,30,40442,25101,1782501434.261239,4
25.09861,25.094261,0.14732459,0.44334444,398.0,50870440,559,30,54200,25098,1782501434.261239,4
25.111252,25.106504,0.44223082,0.20702104,346.0,50674360,612,31,22001,25111,1782501434.261239,4
25.105253,25.102747,0.28810287,0.20698021,411.0,50773110,594,31,62962,25105,1782501434.261239,4
25.092607,25.084564,0.4551498,0.44324705,362.0,50679990,519,30,31632,25092,1782501434.3603046,5
25.09161,25.087263,0.14728345,0.44323084,397.0,50876060,567,30,53377,25091,1782501434.3603046,5
25.087254,25.08475,0.2878958,0.20685768,377.0,50778700,670,31,40776,25087,1782501434.3603046,5
25.072256,25.071045,0.13389274,0.2067556,362.0,50876060,611,31,31386,25072,1782501434.3603046,5
25.10361,25.095562,0.45534945,0.4434256,354.0,50656770,553,30,26595,25103,1782501434.464441,6
25.106607,25.100882,0.30139342,0.4434743,424.0,50755530,574,30,5120,25106,1782501434.464441,6
25.089252,25.086748,0.2879188,0.2068713,352.0,50755530,604,31,25443,25089,1782501434.464441,6
25.085257,25.084045,0.13396251,0.20684408,379.0,50852860,646,31,42138,25085,1782501434.464441,6
25.12561,25.117556,0.45574868,0.4437827,356.0,50641030,563,30,28204,25125,1782501434.5624,7
25.089254,25.084509,0.4418428,0.2068713,349.0,50641030,618,31,23478,25089,1782501434.5624,7
25.094255,25.093044,0.13401082,0.20690534,397.0,50837010,627,31,53748,25094,1782501434.5624,7
25.111609,25.10356,0.4554946,0.44355544,366.0,50637740,477,30,34725,25111,1782501434.6657405,8
25.10261,25.096884,0.30134538,0.44340938,382.0,50736440,551,30,44237,25102,1782501434.6657405,8
25.078611,25.074265,0.14720702,0.44301984,364.0,50833770,586,30,32893,25078,1782501434.6657405,8
25.103254,25.098507,0.4420897,0.2069666,374.0,50637740,669,31,39204,25103,1782501434.6657405,8
25.082256,25.081045,0.13394642,0.20682366,382.0,50833770,600,31,44219,25082,1782501434.6657405,8
25.09961,25.093884,0.30130935,0.4433607,381.0,50733370,553,30,43538,25099,1782501434.7647567,9
25.091255,25.090044,0.13399471,0.20688492,382.0,50830700,623,31,44266,25091,1782501434.7647567,9
25.111609,25.10588,0.3014535,0.44355544,422.0,50717810,580,30,4568,25111,1782501434.8618848,10
25.095255,25.092749,0.28798783,0.20691215,361.0,50717810,620,31,31130,25095,1782501434.8618848,10
25.086254,25.085045,0.13396788,0.20685089,397.0,50815140,612,31,53666,25086,1782501434.8618848,10
25.099255,25.094507,0.44201916,0.20693937,349.0,50608670,651,31,23469,25099,1782501434.964342,11
25.108253,25.105747,0.28813735,0.20700063,385.0,50707200,646,31,46363,25108,1782501434.964342,11
25.10261,25.094563,0.4553313,0.44340938,360.0,50582190,532,30,30478,25102,1782501435.0627396,12
25.115606,25.107557,0.4555672,0.44362038,353.0,50550750,524,30,26350,25115,1782501435.1677926,13
25.117609,25.11188,0.3015256,0.44365284,401.0,50649260,547,30,56533,25117,1782501435.1677926,13
25.10361,25.09926,0.14735399,0.4434256,422.0,50746390,552,30,3916,25103,1782501435.1677926,13
25.114254,25.109505,0.44228372,0.20704147,350.0,50550750,680,31,24204,25114,1782501435.1677926,13
25.095255,25.094044,0.13401619,0.20691215,399.0,50746390,570,31,54705,25095,1782501435.1677926,13
25.097609,25.091885,0.3012853,0.4433282,412.0,50634310,520,30,63201,25097,1782501435.263371,14
25.10461,25.10026,0.14735988,0.44344184,431.0,50731490,561,30,9571,25104,1782501435.263371,14
25.100252,25.095507,0.4420368,0.20694618,351.0,50535920,636,31,24837,25100,1782501435.263371,14
25.099255,25.096748,0.28803384,0.20693937,419.0,50634310,640,31,2106,25099,1782501435.263371,14
25.09261,25.088263,0.14728932,0.44324705,396.0,50738600,571,30,52755,25092,1782501435.3620305,15
25.094252,25.089508,0.44193098,0.20690534,334.0,50542980,623,31,14097,25094,1782501435.3620305,15
25.104254,25.101748,0.28809136,0.2069734,396.0,50641490,598,31,53471,25104,1782501435.3620305,15
25.124609,25.116556,0.45573056,0.44376644,325.0,50570010,482,30,9053,25124,1782501435.4603517,16
25.10561,25.101261,0.14736575,0.44345805,424.0,50765780,582,30,5690,25105,1782501435.4603517,16
25.084253,25.07951,0.4417546,0.20683727,380.0,50570010,656,31,42684,25084,1782501435.4603517,16
25.082254,25.07975,0.2878383,0.20682366,360.0,50668550,662,31,30040,25082,1782501435.4603517,16
25.093254,25.092045,0.13400544,0.20689853,398.0,50765780,623,31,54385,25093,1782501435.4603517,16
25.093609,25.085566,0.45516795,0.4432633,346.0,50594900,520,30,21565,25093,1782501435.5659146,17
25.098608,25.092884,0.3012973,0.44334444,422.0,50693510,566,30,3744,25098,1782501435.5659146,17
25.084253,25.081749,0.28786132,0.20683727,370.0,50693510,666,31,36351,25084,1782501435.5659146,17
25.09461,25.086565,0.4551861,0.44327953,334.0,50638430,526,30,13989,25094,1782501435.6646388,18
25.100609,25.094883,0.30132136,0.4433769,429.0,50737090,600,30,8646,25100,1782501435.6646388,18
25.10161,25.097261,0.14734223,0.44339314,377.0,50834470,506,30,41318,25101,1782501435.6646388,18
25.09661,25.088564,0.4552224,0.443312,345.0,50664280,540,30,20878,25096,1782501435.7641463,19
25.09761,25.093262,0.14731872,0.4433282,406.0,50860420,574,30,59127,25097,1782501435.7641463,19
25.102255,25.097507,0.44207206,0.20695978,372.0,50664280,646,31,38041,25102,1782501435.7641463,19
25.072252,25.06975,0.28772327,0.2067556,390.0,50795020,644,31,48821,25072,1782501435.8622572,20
25.074255,25.073046,0.13390349,0.2067692,394.0,50892450,649,31,51338,25074,1782501435.8622572,20
25.104609,25.096561,0.4553676,0.44344184,362.0,50693000,541,30,31730,25104,1782501435.9609308,21
25.10961,25.103882,0.30142948,0.443523,405.0,50791760,546,30,58909,25109,1782501435.9609308,21
25.094252,25.091747,0.28797632,0.20690534,385.0,50791760,629,31,46180,25094,1782501435.9609308,21
25.10561,25.09756,0.45538574,0.44345805,353.0,50676720,526,30,26153,25105,1782501436.0633395,22
25.101254,25.098747,0.28805685,0.20695299,400.0,50775430,664,31,55571,25101,1782501436.0633395,22
25.108253,25.103506,0.4421779,0.20700063,379.0,50643540,579,31,42933,25108,1782501436.1678505,23
25.103254,25.100748,0.28807986,0.2069666,392.0,50742200,668,31,50553,25103,1782501436.1678505,23
25.092255,25.091043,0.13400008,0.20689172,396.0,50839520,605,31,53194,25092,1782501436.1678505,23
25.10961,25.10156,0.4554583,0.443523,387.0,50607590,572,30,47404,25109,1782501436.362729,25
25.11261,25.106882,0.3014655,0.4435717,414.0,50706150,576,30,64467,25112,1782501436.362729,25
25.098608,25.090563,0.4552587,0.44334444,347.0,50583510,551,30,22117,25098,1782501436.4647036,26
25.077255,25.076044,0.13391958,0.20678963,380.0,50779290,648,31,42599,25077,1782501436.4647036,26
25.107609,25.101883,0.30140543,0.44349054,380.0,50672130,540,30,43137,25107,1782501436.568458,27
25.12061,25.112556,0.45565796,0.44370154,359.0,50566580,535,30,30156,25120,1782501436.6609743,28
25.115608,25.10988,0.30150154,0.44362038,397.0,50665120,545,30,53976,25115,1782501436.6609743,28
25.104609,25.098883,0.3013694,0.44344184,392.0,50684980,572,30,50467,25104,1782501436.7613955,29
25.109253,25.104506,0.44219553,0.20700744,379.0,50586430,673,31,42447,25109,1782501436.7613955,29
25.110252,25.105505,0.44221318,0.20701425,379.0,50615720,616,31,42773,25110,1782501436.8602724,30
25.083256,25.08075,0.2878498,0.20683046,376.0,50714380,653,31,40169,25083,1782501436.8602724,30
25.084255,25.083044,0.13395715,0.20683727,389.0,50811610,633,31,48487,25084,1782501436.8602724,30
25.107607,25.09956,0.455422,0.44349054,359.0,50615520,611,30,30140,25107,1782501437.0611477,32
25.10861,25.102882,0.30141747,0.44350675,418.0,50714130,527,30,1642,25108,1782501437.0611477,32
25.096611,25.092262,0.14731283,0.443312,415.0,50811390,479,30,65299,25096,1782501437.0611477,32
25.10661,25.09856,0.45540386,0.4434743,371.0,50601250,587,30,37808,25106,1782501437.2622476,34
25.093609,25.089262,0.1472952,0.4432633,398.0,50797030,561,30,54084,25093,1782501437.2622476,34
25.081253,25.078749,0.2878268,0.20681685,373.0,50699800,619,31,38425,25081,1782501437.2622476,34
25.067255,25.066046,0.13386591,0.20672156,368.0,50797030,609,31,35085,25067,1782501437.2622476,34
25.08261,25.076887,0.3011051,0.44308475,384.0,50703100,555,30,45085,25082,1782501437.362032,35
25.08561,25.081263,0.14724818,0.44313344,400.0,50819710,533,30,55346,25085,1782501437.4655426,36
25.097609,25.089563,0.45524055,0.4433282,338.0,50630890,553,30,16424,25097,1782501437.565333,37
25.09261,25.086885,0.30122524,0.44324705,371.0,50729550,536,30,37205,25092,1782501437.565333,37
25.11761,25.109558,0.4556035,0.44365284,369.0,50632840,531,30,36433,25117,1782501437.664007,38
25.109253,25.106747,0.28814885,0.20700744,382.0,50731550,647,31,44481,25109,1782501437.664007,38
25.11361,25.107882,0.30147752,0.4435879,419.0,50718960,564,30,2181,25113,1782501437.7637722,39
25.085253,25.08051,0.44177222,0.20684408,349.0,50620300,682,31,23063,25085,1782501437.7637722,39
25.102255,25.099747,0.28806835,0.20695978,398.0,50718960,655,31,54375,25102,1782501437.7637722,39
25.11061,25.10256,0.45547646,0.4435392,357.0,50624710,528,30,28757,25110,1782501437.8608518,40
25.08961,25.085262,0.1472717,0.44319835,411.0,50820700,551,30,62247,25089,1782501437.8608518,40
25.107254,25.104748,0.28812584,0.20699382,420.0,50723370,595,31,3141,25107,1782501437.8608518,40
25.11661,25.108559,0.45558536,0.4436366,363.0,50619120,557,30,32491,25116,1782501438.0704036,42
25.093609,25.087885,0.30123726,0.4432633,366.0,50691480,566,30,33907,25093,1782501438.2635372,44
25.08861,25.084263,0.1472658,0.44318214,403.0,50788660,538,30,57267,25088,1782501438.2635372,44
25.075256,25.074045,0.13390885,0.20677601,358.0,50819310,651,31,28720,25075,1782501438.362143,45
25.100254,25.097748,0.28804535,0.20694618,432.0,50737000,644,31,10290,25100,1782501438.563383,47
25.112253,25.107506,0.44224843,0.20702785,359.0,50631330,648,31,30028,25112,1782501438.6645648,48
25.098253,25.093508,0.44200152,0.20693256,370.0,50624940,670,31,36580,25098,1782501438.767234,49
25.096252,25.093748,0.28799933,0.20691895,384.0,50723580,647,31,45496,25096,1782501438.767234,49
25.104254,25.099506,0.44210735,0.2069734,373.0,50628560,569,31,38504,25104,1782501438.965924,51
25.106253,25.103746,0.28811434,0.20698702,377.0,50727220,641,31,41304,25106,1782501438.965924,51
25.091253,25.08651,0.44187805,0.20688492,362.0,50629340,628,31,31647,25091,1782501439.0671272,52
25.116608,25.11088,0.30151355,0.4436366,410.0,50727700,539,30,62239,25116,1782501439.1643856,53
25.101252,25.096506,0.44205442,0.20695299,379.0,50629100,662,31,42350,25101,1782501439.1643856,53
25.095608,25.089884,0.30126128,0.44329575,396.0,50698810,579,30,53401,25095,1782501439.3651094,55
25.084608,25.080263,0.1472423,0.4431172,366.0,50796040,529,30,33944,25084,1782501439.3651094,55
25.113253,25.108505,0.44226608,0.20703466,352.0,50598370,641,31,25665,25113,1782501439.4657073,56
25.087255,25.086044,0.13397326,0.20685768,382.0,50798600,655,31,44005,25087,1782501439.563124,57
25.090609,25.086262,0.14727756,0.4432146,385.0,50798930,545,30,45928,25090,1782501439.6612816,58
25.08561,25.079887,0.30114114,0.44313344,406.0,50697150,598,30,59396,25085,1782501439.7632513,59
25.12361,25.115557,0.4557124,0.4437502,394.0,50625460,549,30,52225,25123,1782501439.9631007,61
25.080254,25.07775,0.2878153,0.20681004,377.0,50724120,600,31,41031,25080,1782501439.9631007,61
25.088253,25.087044,0.13397862,0.20686449,381.0,50821450,677,31,43284,25088,1782501439.9631007,61
25.090252,25.085508,0.44186044,0.20687811,369.0,50637030,643,31,35945,25090,1782501440.1613348,63
25.08661,25.080887,0.30115315,0.4431497,415.0,50720720,612,30,64999,25086,1782501440.2625349,64
25.094608,25.090261,0.14730108,0.44327953,403.0,50818050,535,30,57390,25094,1782501440.2625349,64
25.086252,25.083748,0.2878843,0.20685089,380.0,50722530,613,31,42962,25086,1782501440.3634577,65
25.092255,25.089748,0.28795332,0.20689172,363.0,50702320,630,31,32280,25092,1782501440.4618967,66
25.09661,25.090885,0.3012733,0.443312,384.0,50678160,549,30,45392,25096,1782501440.6649199,68
25.10161,25.093563,0.45531315,0.44339314,343.0,50602850,598,30,20022,25101,1782501440.8624818,70
25.085255,25.082748,0.2878728,0.20684408,376.0,50701510,668,31,40130,25085,1782501440.8624818,70
25.11861,25.11288,0.3015376,0.44366905,416.0,50723050,551,30,470,25118,1782501440.9606032,71
25.095251,25.090508,0.44194862,0.20691215,401.0,50624490,659,31,56107,25095,1782501440.9606032,71
25.08861,25.082886,0.30117717,0.44318214,412.0,50746040,572,30,62746,25088,1782501441.162201,73
25.083256,25.082045,0.13395178,0.20683046,387.0,50781200,659,31,47057,25083,1782501441.5669913,77
25.083609,25.077887,0.30111712,0.443101,377.0,50682560,577,30,41218,25083,1782501441.759668,79
