calculated_range,x,y,z,intensity,t,reflectivity,ring,ambient,range,timestamp,cloud_index
25.10461,25.10026,0.14735988,0.44344184,406.0,50851310,631,30,59598,25104,1782504496.6261687,0
25.109612,25.105692,-0.006656488,0.443523,407.0,50949310,666,30,60144,25109,1782504496.6261687,0
25.087254,25.08475,0.2878958,0.20685768,362.0,50754290,788,31,31334,25087,1782504496.6261687,0
25.087255,25.086044,0.13397326,0.20685768,372.0,50851310,711,31,38049,25087,1782504496.6261687,0
25.096252,25.095392,-0.019961257,0.20691895,388.0,50949310,773,31,47941,25096,1782504496.6261687,0
25.116611,25.112692,-0.006658282,0.4436366,400.0,50958560,657,30,55916,25116,1782504496.727224,1
25.109257,25.108044,0.13409132,0.20700744,387.0,50860530,810,31,48002,25109,1782504496.727224,1
25.099255,25.098392,-0.019963562,0.20693937,367.0,50958560,724,31,35053,25099,1782504496.727224,1
25.104609,25.098883,0.3013694,0.44344184,409.0,50777780,644,30,61418,25104,1782504496.8263335,2
25.093609,25.089262,0.1472952,0.4432633,398.0,50874790,678,30,54074,25093,1782504496.8263335,2
25.108255,25.107044,0.13408595,0.20700063,380.0,50874790,818,31,43531,25108,1782504496.8263335,2
25.117609,25.113258,0.14743629,0.44365284,412.0,50874700,655,30,63512,25117,1782504496.9277406,3
25.11161,25.107693,-0.0066570006,0.44355544,414.0,50972740,671,30,64562,25111,1782504496.9277406,3
25.101254,25.100391,-0.019965101,0.20695299,372.0,50972740,771,31,37974,25101,1782504496.9277406,3
25.11561,25.11126,0.14742453,0.44362038,396.0,50855240,654,30,53394,25115,1782504497.0257752,4
25.092255,25.091043,0.13400008,0.20689172,367.0,50855240,747,31,34788,25092,1782504497.0257752,4
25.103254,25.102392,-0.01996664,0.2069666,364.0,50953220,752,31,33078,25103,1782504497.0257752,4
25.12761,25.12369,-0.0066611017,0.44381514,377.0,50925130,660,30,41589,25127,1782504497.1208363,5
25.085257,25.084045,0.13396251,0.20684408,419.0,50827230,726,31,1966,25085,1782504497.1208363,5
25.12461,25.120258,0.14747745,0.44376644,410.0,50811940,678,30,62264,25124,1782504497.2227364,6
25.091255,25.090044,0.13399471,0.20688492,379.0,50811940,758,31,42269,25091,1782504497.2227364,6
25.107609,25.10326,0.1473775,0.44349054,398.0,50792680,646,30,54534,25107,1782504497.324588,7
25.11861,25.11469,-0.006658795,0.44366905,386.0,50890580,665,30,47069,25118,1782504497.324588,7
25.117252,25.116392,-0.019977406,0.20706189,380.0,50890580,763,31,43359,25117,1782504497.324588,7
25.104254,25.103392,-0.019967409,0.2069734,370.0,50865880,777,31,36736,25104,1782504497.4266253,8
25.10561,25.101261,0.14736575,0.44345805,405.0,50767950,630,30,58989,25105,1782504497.5248382,9
25.102255,25.101044,0.13405375,0.20695978,395.0,50767950,776,31,52453,25102,1782504497.5248382,9
25.111252,25.110392,-0.019972792,0.20702104,388.0,50865780,775,31,48238,25111,1782504497.5248382,9
25.14061,25.136688,-0.006664434,0.44402614,418.0,50866150,688,30,2069,25140,1782504497.6265068,10
