cloud_index,point_count
0,3
1,5
2,4
3,3
4,4
5,4
6,4
7,4
8,5
9,3
10,3
11,4
12,4
13,6
14,2
15,3
16,1
17,3
18,2
19,3
20,2
21,2
23,1
24,2
25,3
26,2
27,1
28,1
29,2
31,5
32,3
33,2
36,2
37,2
40,2
41,2
44,2
46,3
47,1
48,1
49,2
52,3
56,2
57,1
58,1
59,1
61,2
63,1
64,1
65,3
68,1
70,1
77,1
79,1
81,1
82,1
83,3
84,1
86,1
87,1
90,2
92,1
98,1
101,2
110,1
111,1
115,1
117,2
121,1
123,1
131,1
134,1
142,1
144,1
149,1
151,1
152,2
153,1
157,1
163,1
169,1
170,1
182,2
187,1
195,1
198,1
200,1
204,1
206,1
209,1
210,1
217,1
219,1
228,1
231,1
232,2
234,1
247,1
254,1
259,2
260,1
266,1
282,1
284,2
