calculated_range,x,y,z,intensity,timestamp,cloud_index
25.02614,25.020897,0.26149148,0.44049656,38.0,1782511820.0031207,0
25.03114,25.026655,0.17418557,0.4405847,56.0,1782511820.0031207,0
25.026138,25.022112,0.08680772,0.44049656,36.0,1782511820.0031207,0
25.01614,25.012264,-0.0005362764,0.44032028,34.0,1782511820.0031207,0
25.01614,25.01211,-0.08784537,0.44032028,36.0,1782511820.0031207,0
25.036112,25.031652,0.25616264,0.39704573,39.0,1782511820.0031207,0
25.03611,25.032393,0.16878434,0.39704573,64.0,1782511820.0031207,0
25.031109,25.027828,0.08138736,0.3969663,37.0,1782511820.0031207,0
25.026112,25.022963,-0.005975688,0.39688691,37.0,1782511820.0031207,0
25.02611,25.022789,-0.09332209,0.39688691,38.0,1782511820.0031207,0
25.026047,25.022425,0.23752627,0.35327604,37.0,1782511820.0031207,0
25.031046,25.028101,0.1502108,0.3533467,54.0,1782511820.0031207,0
25.031046,25.028473,0.0628455,0.3533467,33.0,1782511820.0031207,0
25.026047,25.02354,-0.024516186,0.35327604,39.0,1782511820.0031207,0
25.011045,25.008305,-0.11179905,0.353064,38.0,1782511820.0031207,0
25.025951,25.022919,0.23646265,0.3096641,38.0,1782511820.0031207,0
25.030954,25.028593,0.14914547,0.30972606,62.0,1782511820.0031207,0
25.025953,25.02396,0.06176538,0.3096641,38.0,1782511820.0031207,0
25.02095,25.019022,-0.02558055,0.30960214,37.0,1782511820.0031207,0
25.015953,25.013783,-0.11289127,0.30954018,38.0,1782511820.0031207,0
25.010952,25.00813,0.26564163,0.26589152,48.0,1782511820.0031207,0
25.020952,25.018902,0.17841513,0.26599798,57.0,1782511820.0031207,0
25.02095,25.019371,0.09108179,0.26599798,37.0,1782511820.0031207,0
25.015953,25.01454,0.0037473287,0.26594475,37.0,1782511820.0031207,0
25.005943,24.998394,-0.00061571435,0.6144282,3.0,1782511820.0031207,0
25.010954,25.009401,-0.08355228,0.26589152,38.0,1782511820.0031207,0
25.046041,25.038204,0.2561473,0.5717742,39.0,1782511820.0031207,0
25.026049,25.024462,0.17301784,0.22243753,36.0,1782511820.0031207,0
25.021048,25.019913,0.085648514,0.222393,20.0,1782511820.0031207,0
25.021038,25.014385,0.08126431,0.5712026,31.0,1782511820.0031207,0
25.016048,25.01506,-0.0016869297,0.22234851,20.0,1782511820.0031207,0
25.02104,25.014517,-0.0060526915,0.5712026,37.0,1782511820.0031207,0
25.01105,25.009903,-0.088987455,0.22230402,38.0,1782511820.0031207,0
25.026041,25.019344,-0.09338882,0.5713169,37.0,1782511820.0031207,0
25.026108,25.019415,0.23741785,0.5277117,45.0,1782511820.0031207,0
25.02611,25.020094,0.15008235,0.5277117,75.0,1782511820.0031207,0
25.021105,25.015463,0.062732786,0.52760607,36.0,1782511820.0031207,0
25.021105,25.01553,-0.024587853,0.52760607,35.0,1782511820.0031207,0
25.011106,25.005295,-0.11186283,0.52739495,35.0,1782511820.0031207,0
25.031137,25.02538,0.23203379,0.4842017,46.0,1782511820.0031207,0
25.03114,25.026037,0.1446775,0.4842017,38.0,1782511820.0031207,0
25.021137,25.01639,0.057296764,0.48400798,34.0,1782511820.0031207,0
