cloud_index,point_count
0,44
1,27
2,22
3,21
4,14
5,5
6,8
7,10
8,14
9,8
10,10
11,12
12,3
13,1
14,5
15,1
16,1
17,4
18,1
19,4
20,6
22,6
23,2
24,2
25,2
26,1
27,1
28,2
30,1
31,1
32,1
39,1
40,1
41,2
43,1
46,1
48,1
49,1
51,3
52,5
53,2
57,2
58,1
59,1
61,1
65,1
69,1
70,1
77,1
78,7
79,1
80,2
83,1
84,2
88,1
91,2
92,1
97,1
101,1
102,1
103,1
104,1
107,1
116,1
125,1
134,1
135,1
145,1
159,1
162,1
164,1
168,1
172,1
174,1
176,1
222,1
249,1
