calculated_range,x,y,z,intensity,timestamp,cloud_index
25.03114,25.027262,-0.0005362764,0.4405847,63.0,1782505320.913817,0
25.03114,25.027107,-0.08789772,0.4405847,32.0,1782505320.913817,0
25.03114,25.02665,-0.1752581,0.4405847,31.0,1782505320.913817,0
25.016142,25.010887,-0.26245928,0.44032028,37.0,1782505320.913817,0
25.03611,25.03296,-0.0059774327,0.39704573,63.0,1782505320.913817,0
25.031109,25.027786,-0.093340404,0.3969663,32.0,1782505320.913817,0
25.031109,25.027308,-0.18070312,0.3969663,37.0,1782505320.913817,0
25.01611,25.011528,-0.26790395,0.39672807,37.0,1782505320.913817,0
25.031046,25.02854,-0.024520548,0.3533467,25.0,1782505320.913817,0
25.031046,25.028301,-0.1118863,0.3533467,25.0,1782505320.913817,0
25.026045,25.022758,-0.19921145,0.35327604,34.0,1782505320.913817,0
25.021046,25.016912,-0.28649923,0.35320532,37.0,1782505320.913817,0
25.025951,25.024023,-0.025584916,0.3096641,68.0,1782505320.913817,0
25.02095,25.01878,-0.11291308,0.30960214,30.0,1782505320.913817,0
25.015955,25.013237,-0.20020498,0.30954018,37.0,1782505320.913817,0
25.010952,25.007385,-0.28745955,0.30947822,36.0,1782505320.913817,0
25.02095,25.019537,0.0037473287,0.26599798,30.0,1782505320.913817,0
25.025953,25.024399,-0.083604634,0.2660512,30.0,1782505320.913817,0
25.030945,25.023232,-0.08796799,0.6150434,37.0,1782505320.913817,0
25.015953,25.013956,-0.17088577,0.26594475,14.0,1782505320.913817,0
25.030943,25.02277,-0.17531484,0.6150434,37.0,1782505320.913817,0
25.015953,25.013206,-0.25819975,0.26594475,36.0,1782505320.913817,0
25.030943,25.022007,-0.26265952,0.6150434,25.0,1782505320.913817,0
25.056038,25.049376,0.081374235,0.57200277,54.0,1782505320.913817,0
25.026041,25.019344,-0.09338882,0.5713169,75.0,1782505320.913817,0
25.021042,25.013866,-0.1806854,0.5712026,34.0,1782505320.913817,0
25.016043,25.008087,-0.26794493,0.5710883,37.0,1782505320.913817,0
25.021105,25.01553,-0.024587853,0.52760607,32.0,1782505320.913817,0
25.031105,25.02529,-0.111953564,0.52781725,32.0,1782505320.913817,0
25.026108,25.019749,-0.19926733,0.5277117,18.0,1782505320.913817,0
25.026108,25.018902,-0.28660133,0.5277117,39.0,1782505320.913817,0
25.02614,25.02139,0.05730811,0.48410487,34.0,1782505320.913817,0
25.04614,25.041435,-0.030057624,0.4844923,34.0,1782505320.913817,0
