calculated_range,x,y,z,intensity,timestamp,cloud_index
25.021141,25.015898,0.26143914,0.4404084,31.0,1782508118.1176698,0
25.011131,24.997368,0.25688174,0.78884053,20.0,1782508118.1176698,0
25.02114,25.016657,0.17411576,0.4404084,36.0,1782508118.1176698,0
25.006126,24.99311,0.16958906,0.7886826,14.0,1782508118.1176698,0
25.01614,25.012114,0.08677282,0.44032028,38.0,1782508118.1176698,0
25.016127,25.003546,0.082378924,0.7889984,12.0,1782508118.1176698,0
25.03611,25.029253,0.4309089,0.39704573,21.0,1782508118.1176698,0
25.021109,25.015606,0.34333104,0.39680746,21.0,1782508118.1176698,0
25.046099,25.032679,0.33919665,0.7463159,36.0,1782508118.1176698,0
25.02111,25.016653,0.25600818,0.39680746,9.0,1782508118.1176698,0
25.041096,25.028711,0.2517636,0.7461667,29.0,1782508118.1176698,0
25.021109,25.017393,0.16868223,0.39680746,37.0,1782508118.1176698,0
25.036098,25.02444,0.16436242,0.7460175,36.0,1782508118.1176698,0
25.01611,25.01283,0.08133763,0.39672807,35.0,1782508118.1176698,0
25.016098,25.004871,0.07694702,0.7454207,35.0,1782508118.1176698,0
25.041037,25.029125,0.3206008,0.7025431,30.0,1782508118.1176698,0
25.036036,25.025095,0.2331838,0.7024026,23.0,1782508118.1176698,0
25.031036,25.02076,0.14579883,0.7022621,36.0,1782508118.1176698,0
25.026035,25.016117,0.058446996,0.7021216,36.0,1782508118.1176698,0
25.050941,25.03903,0.40271047,0.65918076,40.0,1782508118.1176698,0
25.040941,25.030287,0.31517813,0.65891725,21.0,1782508118.1176698,0
25.030941,25.021236,0.22771169,0.65865374,21.0,1782508118.1176698,0
25.025944,25.016884,0.14034112,0.658522,36.0,1782508118.1176698,0
25.025942,25.01722,0.05301503,0.658522,36.0,1782508118.1176698,0
25.035944,25.025953,0.34882995,0.6151664,43.0,1782508118.1176698,0
25.035946,25.027021,0.2614709,0.6151664,29.0,1782508118.1176698,0
25.025942,25.017782,0.17404069,0.6149204,38.0,1782508118.1176698,0
25.020943,25.013239,0.086694695,0.6147973,37.0,1782508118.1176698,0
25.046041,25.037157,0.34354538,0.5717742,42.0,1782508118.1176698,0
25.041042,25.033205,0.2560967,0.5716598,30.0,1782508118.1176698,0
25.03104,25.023949,0.16864663,0.5714312,37.0,1782508118.1176698,0
25.021038,25.014385,0.08126431,0.5712026,37.0,1782508118.1176698,0
25.036104,25.027143,0.41224313,0.52792287,42.0,1782508118.1176698,0
25.041107,25.03343,0.32494414,0.5280284,21.0,1782508118.1176698,0
25.036104,25.029411,0.23751207,0.52792287,10.0,1782508118.1176698,0
25.02611,25.020094,0.15008235,0.5277117,37.0,1782508118.1176698,0
25.016106,25.010466,0.062720574,0.5275005,38.0,1782508118.1176698,0
25.031137,25.024416,0.31938723,0.4842017,50.0,1782508118.1176698,0
25.031137,25.02538,0.23203379,0.4842017,30.0,1782508118.1176698,0
25.016142,25.011042,0.14459114,0.48391113,38.0,1782508118.1176698,0
25.01614,25.011393,0.057285424,0.48391113,37.0,1782508118.1176698,0
25.04114,25.033457,0.43642423,0.44076094,41.0,1782508118.1176698,0
25.03114,25.02483,0.3488989,0.4405847,56.0,1782508118.1176698,0
25.03114,25.025896,0.26154384,0.4405847,31.0,1782508118.2095487,1
25.006128,24.992369,0.25683025,0.7886826,20.0,1782508118.2095487,1
25.01614,25.011658,0.17408086,0.44032028,36.0,1782508118.2095487,1
25.011139,25.007114,0.08675537,0.44023216,38.0,1782508118.2095487,1
25.006126,24.993551,0.08234578,0.7886826,12.0,1782508118.2095487,1
25.031109,25.024252,0.4308225,0.3969663,21.0,1782508118.2095487,1
25.03611,25.030603,0.34353787,0.39704573,21.0,1782508118.2095487,1
25.031109,25.026651,0.25611115,0.3969663,11.0,1782508118.2095487,1
25.0311,25.018717,0.25166243,0.74586827,29.0,1782508118.2095487,1
25.021097,25.009447,0.16426298,0.7455699,37.0,1782508118.2095487,1
25.036097,25.024862,0.07700982,0.7460175,35.0,1782508118.2095487,1
25.031036,25.020096,0.23313668,0.7022621,28.0,1782508118.2095487,1
25.02604,25.015762,0.14576918,0.7021216,36.0,1782508118.2095487,1
25.045942,25.034033,0.40262935,0.65904903,33.0,1782508118.2095487,1
25.03594,25.026236,0.22775793,0.6587855,32.0,1782508118.2095487,1
25.020943,25.011885,0.14031233,0.6583902,36.0,1782508118.2095487,1
25.020939,25.01222,0.053003687,0.6583902,35.0,1782508118.2095487,1
25.045946,25.034582,0.43635747,0.61541253,41.0,1782508118.2095487,1
25.025946,25.017025,0.26136798,0.6149204,30.0,1782508118.2095487,1
25.025944,25.018238,0.08671127,0.6149204,37.0,1782508118.2095487,1
25.03604,25.027159,0.34340927,0.57154554,45.0,1782508118.2095487,1
25.03104,25.023207,0.25599548,0.5714312,30.0,1782508118.2095487,1
25.02604,25.019386,0.081280015,0.5713169,36.0,1782508118.2095487,1
25.041105,25.032143,0.4123251,0.5280284,42.0,1782508118.2095487,1
25.036106,25.02843,0.32487956,0.52792287,25.0,1782508118.2095487,1
25.026108,25.019415,0.23741785,0.5277117,14.0,1782508118.2095487,1
25.021107,25.015093,0.15005268,0.52760607,37.0,1782508118.2095487,1
25.021105,25.015463,0.062732786,0.52760607,38.0,1782508118.2095487,1
25.02614,25.018152,0.40665573,0.48410487,42.0,1782508118.2095487,1
25.02114,25.015383,0.2319413,0.48400798,29.0,1782508118.2095487,1
25.02114,25.016039,0.14461991,0.48400798,38.0,1782508118.2095487,1
25.03114,25.02346,0.43624973,0.4405847,42.0,1782508118.2095487,1
25.021141,25.014833,0.3487593,0.4404084,60.0,1782508118.2095487,1
25.016127,25.001312,0.34420615,0.7889984,25.0,1782508118.2095487,1
25.01614,25.010899,0.26138678,0.44032028,29.0,1782508118.301839,2
25.026112,25.021654,0.25605968,0.39688691,10.0,1782508118.301839,2
25.036097,25.023714,0.25171304,0.7460175,30.0,1782508118.301839,2
25.026098,25.014446,0.16429614,0.7457191,37.0,1782508118.301839,2
25.006098,24.994875,0.076915614,0.74512225,35.0,1782508118.301839,2
25.036036,25.024128,0.3205363,0.7024026,30.0,1782508118.301839,2
25.040943,25.029036,0.40254822,0.65891725,40.0,1782508118.301839,2
25.030945,25.020956,0.34876102,0.6150434,43.0,1782508118.301839,2
25.030947,25.022022,0.26141945,0.6150434,30.0,1782508118.301839,2
25.026043,25.018951,0.16861348,0.5713169,31.0,1782508118.301839,2
25.056105,25.047136,0.41257113,0.52834517,42.0,1782508118.301839,2
25.031105,25.023432,0.324815,0.52781725,22.0,1782508118.301839,2
25.026108,25.020464,0.062745005,0.5277117,38.0,1782508118.301839,2
25.026142,25.01942,0.31932357,0.48410487,50.0,1782508118.301839,2
25.02614,25.01983,0.3488291,0.44049656,63.0,1782508118.301839,2
25.001127,24.988113,0.16955504,0.7885246,14.0,1782508118.413704,3
25.026112,25.019257,0.43073615,0.39688691,21.0,1782508118.413704,3
25.031107,25.025602,0.3434689,0.3969663,21.0,1782508118.413704,3
25.021095,25.00769,0.33885646,0.7455699,36.0,1782508118.413704,3
25.016098,25.003725,0.25151065,0.7454207,29.0,1782508118.413704,3
25.01111,25.007833,0.08132105,0.39664868,32.0,1782508118.413704,3
25.021097,25.009869,0.07696272,0.7455699,34.0,1782508118.413704,3
25.031036,25.01913,0.3204717,0.7022621,30.0,1782508118.413704,3
25.026035,25.015099,0.2330896,0.7021216,30.0,1782508118.413704,3
25.030941,25.02029,0.31505075,0.65865374,33.0,1782508118.413704,3
25.030941,25.022217,0.05302637,0.65865374,36.0,1782508118.413704,3
25.020943,25.012783,0.17400667,0.6147973,38.0,1782508118.413704,3
25.04104,25.032158,0.34347734,0.5716598,42.0,1782508118.413704,3
25.03604,25.028206,0.2560461,0.57154554,29.0,1782508118.413704,3
25.02614,25.020382,0.23198757,0.48410487,29.0,1782508118.413704,3
25.021137,25.01639,0.057296764,0.48400798,36.0,1782508118.413704,3
25.011127,24.996317,0.34413728,0.78884053,25.0,1782508118.413704,3
25.02611,25.020607,0.3434,0.39688691,21.0,1782508118.5076022,4
25.021109,25.01783,0.08135421,0.39680746,36.0,1782508118.5076022,4
25.021036,25.011118,0.05843478,0.7019811,35.0,1782508118.5076022,4
25.040941,25.031235,0.22780418,0.65891725,28.0,1782508118.5076022,4
25.025946,25.015959,0.34869212,0.6149204,36.0,1782508118.5076022,4
25.015942,25.00824,0.08667812,0.6146743,37.0,1782508118.5076022,4
25.03104,25.022161,0.34334123,0.5714312,41.0,1782508118.5076022,4
25.021103,25.014414,0.23737071,0.52760607,10.0,1782508118.5076022,4
25.02613,25.009954,0.43164763,0.78931427,32.0,1782508118.5076022,4
25.001127,24.988554,0.08232921,0.7885246,13.0,1782508118.6024518,5
25.036098,25.022684,0.33906057,0.7460175,36.0,1782508118.6024518,5
25.01611,25.012394,0.1686482,0.39672807,37.0,1782508118.6024518,5
25.016098,25.00445,0.16422983,0.7454207,36.0,1782508118.6024518,5
25.021038,25.010763,0.14573953,0.7019811,36.0,1782508118.6024518,5
25.016037,25.00612,0.05842257,0.70184064,35.0,1782508118.6024518,5
25.02594,25.01624,0.22766547,0.658522,33.0,1782508118.6024518,5
25.015942,25.007223,0.05299235,0.65825844,36.0,1782508118.6024518,5
25.035944,25.024584,0.4361847,0.6151664,41.0,1782508118.6024518,5
25.040941,25.03095,0.34889886,0.61528945,36.0,1782508118.6024518,5
25.04104,25.030807,0.43085375,0.5716598,41.0,1782508118.6024518,5
25.051039,25.042154,0.34361342,0.57188845,46.0,1782508118.6024518,5
25.051107,25.043428,0.32507327,0.5282396,25.0,1782508118.6024518,5
25.04114,25.034414,0.31951463,0.48439544,50.0,1782508118.6024518,5
25.03614,25.03038,0.23208006,0.4842986,29.0,1782508118.6024518,5
25.021126,25.004955,0.43156126,0.7891563,34.0,1782508118.6024518,5
25.03614,25.029829,0.3489687,0.44067284,62.0,1782508118.6024518,5
25.02114,25.017113,0.08679027,0.4404084,37.0,1782508118.7025688,6
25.04111,25.035603,0.34360677,0.39712512,24.0,1782508118.7025688,6
