calculated_range,x,y,z,intensity,timestamp,cloud_index
25.011139,25.007114,0.08675537,0.44023216,43.0,1782500184.7254546,0
25.011139,25.007265,-0.0005362764,0.44023216,56.0,1782500184.7254546,0
25.00614,25.002111,-0.08781047,0.440144,52.0,1782500184.7254546,0
25.01114,25.006653,-0.17511849,0.44023216,51.0,1782500184.7254546,0
25.00611,25.002396,0.16858014,0.39656925,42.0,1782500184.7254546,0
25.01111,25.007833,0.08132105,0.39664868,96.0,1782500184.7254546,0
25.011112,25.007965,-0.0059730704,0.39664868,52.0,1782500184.7254546,0
25.00611,25.00279,-0.09324879,0.39656925,48.0,1782500184.7254546,0
25.01111,25.007313,-0.18056004,0.39664868,49.0,1782500184.7254546,0
24.996037,24.985773,0.14559123,0.70127875,32.0,1782500184.7254546,0
25.006048,25.003477,0.06278006,0.3529933,51.0,1782500184.7254546,0
24.996037,24.986128,0.05837372,0.70127875,30.0,1782500184.7254546,0
25.011047,25.008543,-0.024503097,0.353064,48.0,1782500184.7254546,0
24.996037,24.98618,-0.0288445,0.70127875,23.0,1782500184.7254546,0
25.011045,25.008305,-0.11179905,0.353064,25.0,1782500184.7254546,0
24.996037,24.985926,-0.11606236,0.70127875,20.0,1782500184.7254546,0
25.006046,25.002762,-0.19905438,0.3529933,52.0,1782500184.7254546,0
24.996037,24.985369,-0.20327882,0.70127875,17.0,1782500184.7254546,0
25.015955,25.013964,0.061739206,0.30954018,47.0,1782500184.7254546,0
25.025942,25.01722,0.05301503,0.658522,97.0,1782500184.7254546,0
25.010954,25.009026,-0.025571827,0.30947822,40.0,1782500184.7254546,0
25.025942,25.017252,-0.034311686,0.658522,46.0,1782500184.7254546,0
25.005953,25.003782,-0.11284764,0.30941626,40.0,1782500184.7254546,0
25.025942,25.016981,-0.121637985,0.658522,46.0,1782500184.7254546,0
25.005955,25.003239,-0.20012645,0.30941626,48.0,1782500184.7254546,0
25.025942,25.016405,-0.20896281,0.658522,46.0,1782500184.7254546,0
25.010944,25.003242,0.08666155,0.6145513,42.0,1782500184.7254546,0
25.005943,24.998394,-0.00061571435,0.6144282,97.0,1782500184.7254546,0
