calculated_range,x,y,z,reflectance,return_index,last_return_index,sensor_id,azimuth,elevation,depth,line_index,frame_index,detector_site_id,scan_checkpoint,existence_probability_percent,data_qualifier,blockage_level,timestamp,cloud_index
25.020508,25.01329,0.27176154,0.53598183,0.80966187,1,1,0,0.010864258,0.02142334,25.020508,26,88,0,0,255,2,0,1782509432.7032793,0
25.019773,25.013067,0.2198471,0.53596616,0.6996765,1,1,0,0.0087890625,0.02142334,25.019775,26,88,0,0,255,2,0,1782509432.7032793,0
25.015625,25.009321,0.16791178,0.5358772,0.7758789,1,1,0,0.006713867,0.02142334,25.015625,26,88,0,0,255,2,0,1782509432.7032793,0
25.019773,25.013771,0.11450477,0.53596616,0.7161255,1,1,0,0.0045776367,0.02142334,25.019775,26,88,0,0,255,2,0,1782509432.7032793,0
25.015623,25.009806,0.062585704,0.5358772,0.81658936,1,1,0,0.0025024414,0.02142334,25.015625,26,88,0,0,255,2,0,1782509432.7032793,0
25.012695,25.006987,0.009157833,0.53428817,0.7871399,1,1,0,0.00036621094,0.021362305,25.012695,26,88,0,0,255,2,0,1782509432.7032793,0
25.012695,25.006952,-0.042736534,0.53428817,0.7334595,1,1,0,-0.0017089844,0.021362305,25.012695,26,88,0,0,255,2,0,1782509432.7032793,0
25.014648,25.008762,-0.0946381,0.5343299,0.7784729,1,1,0,-0.0037841797,0.021362305,25.014648,26,88,0,0,255,2,0,1782509432.7032793,0
25.000977,24.991156,0.051861607,0.6987888,0.6940613,1,1,0,0.0020751953,0.027954102,25.000977,27,88,1,0,255,2,0,1782509432.7032793,0
24.998777,24.989012,-0.0,0.69872737,0.6684265,1,1,0,-0.0,0.027954102,24.99878,27,88,1,0,255,2,0,1782509432.7032793,0
25.003174,24.993351,-0.051866163,0.6988502,0.7678833,1,1,0,-0.0020751953,0.027954102,25.003174,27,88,1,0,255,2,0,1782509432.7032793,0
25.019533,25.01616,0.2748468,0.3054066,0.8581543,1,1,0,0.010986328,0.012207031,25.019531,28,88,0,0,255,2,0,1782509432.7032793,0
25.019775,25.016932,0.22140807,0.30540958,0.82263184,1,1,0,0.008850098,0.012207031,25.019775,28,88,0,0,255,2,0,1782509432.7032793,0
25.019531,25.017094,0.16949096,0.3054066,0.6996765,1,1,0,0.0067749023,0.012207031,25.019531,28,88,0,0,255,2,0,1782509432.7032793,0
25.011717,25.009596,0.117538646,0.30378476,0.66244507,1,1,0,0.004699707,0.012145996,25.011719,28,88,0,0,255,2,0,1782509432.7032793,0
25.017332,25.015406,0.06412654,0.30385298,0.75250244,1,1,0,0.0025634766,0.012145996,25.017334,28,88,0,0,255,2,0,1782509432.7032793,0
25.021482,25.019634,0.012216619,0.30390337,0.8520813,1,1,0,0.00048828125,0.012145996,25.021484,28,88,0,0,255,2,0,1782509432.7032793,0
25.01831,25.01643,-0.041225847,0.30386484,0.8650818,1,1,0,-0.0016479492,0.012145996,25.01831,28,88,0,0,255,2,0,1782509432.7032793,0
25.021238,25.01922,-0.0931506,0.30390042,0.7655029,1,1,0,-0.0037231445,0.012145996,25.02124,28,88,0,0,255,2,0,1782509432.7032793,0
25.015871,25.010084,0.26409334,0.46871474,0.8270874,1,1,0,0.010559082,0.018737793,25.01587,29,88,1,0,255,2,0,1782509432.7032793,0
25.011229,25.00594,0.21215266,0.4686278,0.8045044,1,1,0,0.008483887,0.018737793,25.01123,29,88,1,0,255,2,0,1782509432.7032793,0
25.008057,25.003162,0.15871361,0.46856835,0.69369507,1,1,0,0.0063476562,0.018737793,25.008057,29,88,1,0,255,2,0,1782509432.7032793,0
24.99756,24.992943,0.10678202,0.46837166,0.6889343,1,1,0,0.004272461,0.018737793,24.997559,29,88,1,0,255,2,0,1782509432.7032793,0
25.00415,24.999702,0.05493107,0.46849516,0.7381592,1,1,0,0.0021972656,0.018737793,25.00415,29,88,1,0,255,2,0,1782509432.7032793,0
25.003176,24.998785,0.0015258047,0.46847686,0.769928,1,1,0,6.1035156e-05,0.018737793,25.003174,29,88,1,0,255,2,0,1782509432.7032793,0
24.997557,24.993118,-0.050340213,0.46837166,0.77401733,1,1,0,-0.0020141602,0.018737793,24.997559,29,88,1,0,255,2,0,1782509432.7032793,0
25.018555,25.014462,0.27177426,0.36188906,0.69610596,1,1,0,0.010864258,0.014465332,25.018555,60,88,0,0,255,2,0,1782509432.7032793,0
