calculated_range,x,y,z,reflectance,return_index,last_return_index,sensor_id,azimuth,elevation,depth,line_index,frame_index,detector_site_id,scan_checkpoint,existence_probability_percent,data_qualifier,blockage_level,timestamp,cloud_index
25.028076,25.022255,0.062616855,0.53614396,0.71258545,1,1,0,0.0025024414,0.02142334,25.028076,26,68,0,0,255,2,0,1782504054.7422469,0
25.032957,25.027178,-0.042771097,0.53624856,0.6779175,1,1,0,-0.0017089844,0.02142334,25.032959,26,68,0,0,255,2,0,1782504054.7422469,0
25.028076,25.022186,-0.0946889,0.5346167,0.6371765,1,1,0,-0.0037841797,0.021362305,25.028076,26,68,0,0,255,2,0,1782504054.7422469,0
25.028078,25.021904,-0.14661439,0.53614396,0.69525146,1,1,0,-0.005859375,0.02142334,25.028076,26,68,0,0,255,2,0,1782504054.7422469,0
25.031738,25.025194,-0.20009585,0.5362224,0.667511,1,1,0,-0.0079956055,0.02142334,25.031738,26,68,0,0,255,2,0,1782504054.7422469,0
25.028078,25.021065,-0.25199068,0.53614396,0.7420654,1,1,0,-0.010070801,0.02142334,25.028076,26,68,0,0,255,2,0,1782504054.7422469,0
25.032959,25.031038,0.061111055,0.30404273,1.1252136,1,1,0,0.0024414062,0.012145996,25.032959,28,68,0,0,255,2,0,1782504054.7422469,0
25.031006,25.029158,0.0076382933,0.304019,0.8998413,1,1,0,0.00030517578,0.012145996,25.031006,28,68,0,0,255,2,0,1782504054.7422469,0
25.032717,25.03083,-0.0443051,0.30403978,1.0402832,1,1,0,-0.0017700195,0.012145996,25.032715,28,68,0,0,255,2,0,1782504054.7422469,0
25.032227,25.030195,-0.09624695,0.30403385,0.7307739,1,1,0,-0.0038452148,0.012145996,25.032227,28,68,0,0,255,2,0,1782504054.7422469,0
25.02905,25.026758,-0.14969797,0.30399528,0.6779175,1,1,0,-0.0059814453,0.012145996,25.029053,28,68,0,0,255,2,0,1782504054.7422469,0
25.031006,25.028347,-0.20164876,0.304019,0.71691895,1,1,0,-0.008056641,0.012145996,25.031006,28,68,0,0,255,2,0,1782504054.7422469,0
25.031492,25.028347,-0.25511953,0.30402493,0.84262085,1,1,0,-0.010192871,0.012145996,25.031494,28,68,0,0,255,2,0,1782504054.7422469,0
25.034424,25.029978,0.050414454,0.4690624,0.7576904,1,1,0,0.0020141602,0.018737793,25.034424,29,68,1,0,255,2,0,1782504054.7422469,0
25.028809,25.024416,-0.0015273691,0.4689572,0.6291809,1,1,0,-6.1035156e-05,0.018737793,25.028809,29,68,1,0,255,2,0,1782504054.7422469,0
25.027344,25.022894,-0.05345475,0.46892974,0.7220459,1,1,0,-0.0021362305,0.018737793,25.027344,29,68,1,0,255,2,0,1782504054.7422469,0
25.029541,25.02492,-0.10691864,0.4689709,0.9315796,1,1,0,-0.004272461,0.018737793,25.029541,29,68,1,0,255,2,0,1782504054.7422469,0
25.02295,25.018053,-0.15880813,0.4688474,0.73028564,1,1,0,-0.0063476562,0.018737793,25.02295,29,68,1,0,255,2,0,1782504054.7422469,0
25.025146,25.019854,-0.2122707,0.46888855,0.7425842,1,1,0,-0.008483887,0.018737793,25.025146,29,68,1,0,255,2,0,1782504054.7422469,0
25.026367,25.02058,-0.26420417,0.46891144,0.87509155,1,1,0,-0.010559082,0.018737793,25.026367,29,68,1,0,255,2,0,1782504054.7422469,0
25.03662,25.035528,0.05348174,0.22768585,0.8265686,1,1,0,0.0021362305,0.009094238,25.036621,31,68,1,0,255,2,0,1782504054.7422469,0
25.025146,25.02411,-0.0,0.2275815,0.7631531,1,1,0,-0.0,0.009094238,25.025146,31,68,1,0,255,2,0,1782504054.7422469,0
25.031738,25.03065,-0.051943563,0.22764145,0.89974976,1,1,0,-0.0020751953,0.009094238,25.031738,31,68,1,0,255,2,0,1782504054.7422469,0
25.033447,25.032196,-0.10389398,0.22765699,0.7751465,1,1,0,-0.0041503906,0.009094238,25.033447,31,68,1,0,255,2,0,1782504054.7422469,0
25.031736,25.030207,-0.1573575,0.22764145,0.8093567,1,1,0,-0.006286621,0.009094238,25.031738,31,68,1,0,255,2,0,1782504054.7422469,0
25.028564,25.026669,-0.20927328,0.22608504,0.9038696,1,1,0,-0.008361816,0.009033203,25.028564,31,68,1,0,255,2,0,1782504054.7422469,0
25.023926,25.021526,-0.26268682,0.22604313,0.67892456,1,1,0,-0.010498047,0.009033203,25.023926,31,68,1,0,255,2,0,1782504054.7422469,0
25.032715,25.029928,0.06263606,0.36820474,1.0324707,1,1,0,0.0025024414,0.014709473,25.032715,60,68,0,0,255,2,0,1782504054.7422469,0
25.033934,25.031157,0.010694466,0.37280607,0.98480225,1,1,0,0.0004272461,0.014892578,25.033936,60,68,0,0,255,2,0,1782504054.7422469,0
