calculated_range,x,y,z,reflectance,return_index,last_return_index,sensor_id,azimuth,elevation,depth,line_index,frame_index,detector_site_id,scan_checkpoint,existence_probability_percent,data_qualifier,blockage_level,timestamp,cloud_index
25.031006,25.02478,-0.14968614,0.53773415,0.83480835,1,1,0,-0.0059814453,0.021484375,25.031006,26,193,0,0,255,2,0,1782510723.1915965,0
25.031982,25.025414,-0.20315264,0.53622764,0.84695435,1,1,0,-0.008117676,0.02142334,25.031982,26,193,0,0,255,2,0,1782510723.1915965,0
25.0166,25.00956,-0.25492805,0.53589815,0.88845825,1,1,0,-0.010192871,0.02142334,25.016602,26,193,0,0,255,2,0,1782510723.1915965,0
25.027098,25.019472,-0.30695596,0.53612304,0.83306885,1,1,0,-0.012268066,0.02142334,25.0271,26,193,0,0,255,2,0,1782510723.1915965,0
25.026123,25.017784,-0.36038852,0.5361021,0.83480835,1,1,0,-0.014404297,0.02142334,25.026123,26,193,0,0,255,2,0,1782510723.1915965,0
25.016602,25.007465,-0.41214764,0.53589815,0.8390808,1,1,0,-0.016479492,0.02142334,25.016602,26,193,0,0,255,2,0,1782510723.1915965,0
25.031248,25.021196,-0.46431378,0.53621197,0.7749939,1,1,0,-0.018554688,0.02142334,25.03125,26,193,0,0,255,2,0,1782510723.1915965,0
25.032473,25.030169,-0.15124615,0.3040368,0.7732544,1,1,0,-0.0060424805,0.012145996,25.03247,28,193,0,0,255,2,0,1782510723.1915965,0
25.026125,25.023453,-0.20313673,0.3039597,0.68743896,1,1,0,-0.008117676,0.012145996,25.026123,28,193,0,0,255,2,0,1782510723.1915965,0
25.033937,25.030792,-0.25667238,0.30252677,0.85910034,1,1,0,-0.010253906,0.012084961,25.033936,28,193,0,0,255,2,0,1782510723.1915965,0
25.017332,25.013605,-0.3084109,0.30232614,0.9256897,1,1,0,-0.012329102,0.012084961,25.017334,28,193,0,0,255,2,0,1782510723.1915965,0
25.012693,25.008272,-0.36025152,0.30227008,0.8434143,1,1,0,-0.014404297,0.012084961,25.012695,28,193,0,0,255,2,0,1782510723.1915965,0
25.019531,25.014282,-0.41378716,0.3023527,0.9369507,1,1,0,-0.016540527,0.012084961,25.019531,28,193,0,0,255,2,0,1782510723.1915965,0
25.028078,25.021914,-0.46585482,0.30245596,0.71432495,1,1,0,-0.018615723,0.012084961,25.028076,28,193,0,0,255,2,0,1782510723.1915965,0
25.016846,25.01194,-0.16029601,0.46873304,0.72958374,1,1,0,-0.0064086914,0.018737793,25.016846,29,193,1,0,255,2,0,1782510723.1915965,0
25.018066,25.012775,-0.21221066,0.4687559,0.7675781,1,1,0,-0.008483887,0.018737793,25.018066,29,193,1,0,255,2,0,1782510723.1915965,0
25.02246,25.016685,-0.26569015,0.46731126,0.8599243,1,1,0,-0.010620117,0.018676758,25.02246,29,193,1,0,255,2,0,1782510723.1915965,0
25.025146,25.018766,-0.31763813,0.46736142,0.64501953,1,1,0,-0.0126953125,0.018676758,25.025146,29,193,1,0,255,2,0,1782510723.1915965,0
25.015871,25.008757,-0.37094563,0.46718815,0.6967468,1,1,0,-0.014831543,0.018676758,25.01587,29,193,1,0,255,2,0,1782510723.1915965,0
25.011475,25.003538,-0.4227686,0.4671061,0.9606018,1,1,0,-0.016906738,0.018676758,25.011475,29,193,1,0,255,2,0,1782510723.1915965,0
25.014648,25.00578,-0.47471508,0.46716538,0.64749146,1,1,0,-0.018981934,0.018676758,25.014648,29,193,1,0,255,2,0,1782510723.1915965,0
25.031738,25.028234,-0.1497068,0.391105,0.98132324,1,1,0,-0.0059814453,0.015625,25.031738,60,193,0,0,255,2,0,1782510723.1915965,0
25.020508,25.01657,-0.20155387,0.39551038,0.7724304,1,1,0,-0.008056641,0.015808105,25.020508,60,193,0,0,255,2,0,1782510723.1915965,0
25.032473,25.028011,-0.25358838,0.39875478,0.72299194,1,1,0,-0.010131836,0.015930176,25.03247,60,193,0,0,255,2,0,1782510723.1915965,0
25.028074,25.022943,-0.30699855,0.403267,0.71606445,1,1,0,-0.012268066,0.016113281,25.028076,60,193,0,0,255,2,0,1782510723.1915965,0
25.019775,25.013905,-0.3588056,0.406187,0.74990845,1,1,0,-0.014343262,0.016235352,25.019775,60,193,0,0,255,2,0,1782510723.1915965,0
25.016602,25.009832,-0.41218668,0.41071555,0.7559509,1,1,0,-0.016479492,0.016418457,25.016602,60,193,0,0,255,2,0,1782510723.1915965,0
25.031982,25.02425,-0.46437043,0.4140233,0.7958069,1,1,0,-0.018554688,0.016540527,25.031982,60,193,0,0,255,2,0,1782510723.1915965,0
25.023926,25.01626,-0.15879674,0.5986598,0.7241211,1,1,0,-0.0063476562,0.023925781,25.023926,61,193,1,0,255,2,0,1782510723.1915965,0
25.0249,25.016779,-0.21071759,0.60173714,1.0148621,1,1,0,-0.008422852,0.024047852,25.024902,61,193,1,0,255,2,0,1782510723.1915965,0
25.019285,25.010548,-0.26409823,0.6061819,0.7337036,1,1,0,-0.010559082,0.024230957,25.019287,61,193,1,0,255,2,0,1782510723.1915965,0
25.01367,25.00426,-0.31592754,0.60909843,0.68548584,1,1,0,-0.012634277,0.024353027,25.013672,61,193,1,0,255,2,0,1782510723.1915965,0
25.016848,25.006588,-0.36938685,0.61375505,0.7244568,1,1,0,-0.014770508,0.024536133,25.016846,61,193,1,0,255,2,0,1782510723.1915965,0
25.021484,25.010328,-0.4213564,0.6169223,1.0076904,1,1,0,-0.016845703,0.024658203,25.021484,61,193,1,0,255,2,0,1782510723.1915965,0
25.00879,24.996635,-0.47301525,0.6196612,0.7976074,1,1,0,-0.018920898,0.024780273,25.00879,61,193,1,0,255,2,0,1782510723.1915965,0
25.031008,25.024773,-0.15121353,0.53773415,0.7637329,1,1,0,-0.0060424805,0.021484375,25.031006,26,194,0,0,255,2,0,1782510723.2900488,1
