cloud_index,point_count
0,41
1,42
2,40
3,37
4,41
5,42
6,40
7,40
8,38
9,36
10,39
11,36
12,40
13,34
14,33
15,34
16,35
17,37
18,37
19,27
20,37
21,31
22,28
23,34
24,39
25,36
26,27
27,34
28,39
29,32
30,26
31,36
32,31
33,33
34,37
35,31
36,36
37,30
38,30
39,32
40,32
41,27
42,29
43,31
44,27
45,25
46,26
47,24
48,34
49,33
50,25
51,29
52,29
53,22
54,34
55,27
56,25
57,29
58,22
59,24
60,19
61,29
62,25
63,31
64,29
65,31
66,22
67,21
68,21
69,19
70,23
71,30
72,23
73,19
74,22
75,22
76,32
77,27
78,28
79,24
80,24
81,21
82,17
83,30
84,14
85,28
86,21
87,22
88,27
89,21
90,16
91,19
92,22
93,21
94,19
95,30
96,19
97,22
98,28
99,30
100,24
101,22
102,24
103,21
104,27
105,24
106,26
107,21
108,34
109,26
110,33
111,29
112,33
113,32
114,30
115,30
116,31
117,28
118,28
119,19
120,27
121,36
122,34
123,29
124,21
125,28
126,26
127,29
128,23
129,25
130,29
131,26
132,17
133,27
134,31
135,23
136,26
137,26
138,20
139,27
140,24
141,21
142,20
143,18
144,21
145,17
146,24
147,15
148,21
149,24
150,30
151,23
152,19
153,21
154,20
155,20
156,25
157,14
158,18
159,17
160,15
161,22
162,28
163,18
164,25
165,12
166,16
167,16
168,23
169,15
170,24
171,19
172,19
173,21
174,30
175,27
176,23
177,23
178,19
179,23
180,39
181,28
182,28
183,13
184,23
185,28
186,19
187,29
188,16
189,22
190,22
191,18
192,16
193,26
194,22
195,20
196,14
197,17
198,19
199,15
200,25
201,21
202,32
203,15
204,30
205,24
206,28
207,23
208,16
209,19
210,24
211,26
212,26
213,14
214,21
215,22
216,20
217,19
218,17
219,17
220,23
221,22
222,18
223,20
224,24
225,17
226,12
227,14
228,20
229,14
230,23
231,19
232,26
233,18
234,23
235,25
236,18
237,18
238,19
239,22
240,14
241,28
242,19
243,18
244,17
245,18
246,23
247,23
248,17
249,27
250,23
251,22
252,18
253,28
254,18
255,20
256,23
257,23
258,17
259,27
260,15
261,23
262,25
263,24
264,9
265,19
266,17
267,25
268,26
269,18
270,22
271,20
272,19
273,28
274,14
275,30
276,14
277,23
278,14
279,25
280,21
281,22
282,17
283,19
284,15
285,19
286,16
287,18
288,16
289,28
290,26
291,20
292,22
293,19
294,16
295,15
296,20
297,14
