calculated_range,x,y,z,reflectance,return_index,last_return_index,sensor_id,azimuth,elevation,depth,line_index,frame_index,detector_site_id,scan_checkpoint,existence_probability_percent,data_qualifier,blockage_level,timestamp,cloud_index
25.03125,25.027126,0.27038413,0.36512798,0.8972168,1,1,0,0.010803223,0.014587402,25.03125,60,175,0,0,255,2,0,1782505550.2314472,1
25.042234,25.029394,0.5760344,0.5578406,0.7186279,1,1,0,0.023010254,0.022277832,25.042236,61,175,1,0,255,2,0,1782505550.2314472,1
25.025145,25.013382,0.52220577,0.562041,0.79086304,1,1,0,0.020874023,0.022460938,25.025146,61,175,1,0,255,2,0,1782505550.2314472,1
25.031006,25.020203,0.4704059,0.5652273,0.6980591,1,1,0,0.018798828,0.022583008,25.031006,61,175,1,0,255,2,0,1782505550.2314472,1
25.025146,25.015188,0.4168566,0.5696761,0.7395325,1,1,0,0.016662598,0.022766113,25.025146,61,175,1,0,255,2,0,1782505550.2314472,1
25.021729,25.012512,0.36489347,0.5726519,0.70150757,1,1,0,0.014587402,0.022888184,25.021729,61,175,1,0,255,2,0,1782505550.2314472,1
25.030762,25.02214,0.31309852,0.5774407,0.9921875,1,1,0,0.012512207,0.023071289,25.030762,61,175,1,0,255,2,0,1782505550.2314472,1
25.025146,25.017069,0.25958583,0.5803652,0.7364502,1,1,0,0.010375977,0.02319336,25.025146,61,175,1,0,255,2,0,1782505550.2314472,1
25.02905,25.016441,0.5833748,0.5392195,0.7568054,1,1,0,0.02331543,0.02154541,25.029053,26,176,0,0,255,2,0,1782505550.331109,2
25.0271,25.01568,0.5298913,0.5391774,0.9015808,1,1,0,0.0211792,0.02154541,25.0271,26,176,0,0,255,2,0,1782505550.331109,2
25.031248,25.020872,0.47805703,0.5392668,0.82180786,1,1,0,0.019104004,0.02154541,25.03125,26,176,0,0,255,2,0,1782505550.331109,2
25.032225,25.02282,0.42615002,0.5377604,0.72125244,1,1,0,0.017028809,0.021484375,25.032227,26,176,0,0,255,2,0,1782505550.331109,2
25.031006,25.022453,0.3726764,0.53773415,0.86169434,1,1,0,0.014892578,0.021484375,25.031006,26,176,0,0,255,2,0,1782505550.331109,2
25.02124,25.01341,0.320624,0.53752434,0.6571045,1,1,0,0.012817383,0.021484375,25.02124,26,176,0,0,255,2,0,1782505550.331109,2
25.03125,25.024029,0.26882315,0.5377394,0.83480835,1,1,0,0.0107421875,0.021484375,25.03125,26,176,0,0,255,2,0,1782505550.331109,2
25.03125,25.022474,0.5880997,0.30554965,0.72125244,1,1,0,0.023498535,0.012207031,25.03125,28,176,0,0,255,2,0,1782505550.331109,2
25.032715,25.025139,0.53467596,0.30556753,0.8703613,1,1,0,0.021362305,0.012207031,25.032715,28,176,0,0,255,2,0,1782505550.331109,2
25.032713,25.026175,0.48274243,0.30709532,0.72906494,1,1,0,0.01928711,0.012268066,25.032715,28,176,0,0,255,2,0,1782505550.331109,2
25.031248,25.025677,0.43078235,0.30554965,0.7698059,1,1,0,0.017211914,0.012207031,25.03125,28,176,0,0,255,2,0,1782505550.331109,2
25.031006,25.026295,0.3773171,0.30554667,0.6805115,1,1,0,0.015075684,0.012207031,25.031006,28,176,0,0,255,2,0,1782505550.331109,2
25.027098,25.023119,0.3253311,0.305499,0.8009949,1,1,0,0.013000488,0.012207031,25.0271,28,176,0,0,255,2,0,1782505550.331109,2
25.032715,25.029356,0.27346393,0.30556753,0.7749939,1,1,0,0.010925293,0.012207031,25.032715,28,176,0,0,255,2,0,1782505550.331109,2
25.027098,25.024267,0.21994552,0.305499,0.59643555,1,1,0,0.0087890625,0.012207031,25.0271,28,176,0,0,255,2,0,1782505550.331109,2
25.030762,25.01968,0.5773387,0.4705213,0.7189636,1,1,0,0.023071289,0.018798828,25.030762,29,176,1,0,255,2,0,1782505550.331109,2
25.027344,25.017406,0.525345,0.47045705,0.7723999,1,1,0,0.020996094,0.018798828,25.027344,29,176,1,0,255,2,0,1782505550.331109,2
25.023926,25.015026,0.47336325,0.4703928,0.69226074,1,1,0,0.018920898,0.018798828,25.023926,29,176,1,0,255,2,0,1782505550.331109,2
25.031738,25.02379,0.42005545,0.47053966,0.86483765,1,1,0,0.016784668,0.018798828,25.031738,29,176,1,0,255,2,0,1782505550.331109,2
