test_id,lidar_id,trial_id,file_path,sample_count_N,mean_range_m,repeatability_sr_m,std_uncertainty_u_m,expanded_u95_m
target1,rslidar_points,10,/home/quin/improved_lidar_processing/results/june_26_2026_laser_rangefinder/rslidar_points/target1/inner_planar_target_points_10.csv,275,25.02217742181818,0.010847784381245921,0.0006541460108958242,0.0013082920217916483
target1,rslidar_points,6,/home/quin/improved_lidar_processing/results/june_26_2026_laser_rangefinder/rslidar_points/target1/inner_planar_target_points_6.csv,304,25.02500766776316,0.010948358280631384,0.0006279314124072227,0.0012558628248144454
target1,pcl_combined_layer,7,/home/quin/improved_lidar_processing/results/june_26_2026_laser_rangefinder/pcl_combined_layer/target1/inner_planar_target_points_7.csv,5712,25.02627007160364,0.00581657182632864,7.696140649788742e-05,0.00015392281299577484
target1,pcl_combined_layer,3,/home/quin/improved_lidar_processing/results/june_26_2026_laser_rangefinder/pcl_combined_layer/target1/inner_planar_target_points_3.csv,5421,25.027189468732704,0.005595648882269463,7.599950292272745e-05,0.0001519990058454549
target1,pcl_combined_layer,1,/home/quin/improved_lidar_processing/results/june_26_2026_laser_rangefinder/pcl_combined_layer/target1/inner_planar_target_points_1.csv,7008,25.006594974172373,0.010116739460102808,0.00012084912743392597,0.00024169825486785194
target1,pcl_combined_layer,9,/home/quin/improved_lidar_processing/results/june_26_2026_laser_rangefinder/pcl_combined_layer/target1/inner_planar_target_points_9.csv,6243,25.022533674195095,0.007177596002878443,9.084109123742364e-05,0.00018168218247484728
target1,pcl_combined_layer,2,/home/quin/improved_lidar_processing/results/june_26_2026_laser_rangefinder/pcl_combined_layer/target1/inner_planar_target_points_2.csv,6223,25.027402125984253,0.005607628725872474,7.108522646131041e-05,0.00014217045292262082
target1,pcl_combined_layer,4,/home/quin/improved_lidar_processing/results/june_26_2026_laser_rangefinder/pcl_combined_layer/target1/inner_planar_target_points_4.csv,7256,25.03034183544653,0.004590693771278769,5.3892668279412214e-05,0.00010778533655882443
target1,pcl_combined_layer,8,/home/quin/improved_lidar_processing/results/june_26_2026_laser_rangefinder/pcl_combined_layer/target1/inner_planar_target_points_8.csv,6749,25.013707717884134,0.009008610421067301,0.00010965743728276831,0.00021931487456553663
target1,pcl_combined_layer,5,/home/quin/improved_lidar_processing/results/june_26_2026_laser_rangefinder/pcl_combined_layer/target1/inner_planar_target_points_5.csv,5533,25.030952429242724,0.004960835390005409,6.669211362953e-05,0.00013338422725906
target1,pcl_combined_layer,10,/home/quin/improved_lidar_processing/results/june_26_2026_laser_rangefinder/pcl_combined_layer/target1/inner_planar_target_points_10.csv,7370,25.019361245861603,0.008136266388327231,9.47744811202775e-05,0.000189548962240555
target1,pcl_combined_layer,6,/home/quin/improved_lidar_processing/results/june_26_2026_laser_rangefinder/pcl_combined_layer/target1/inner_planar_target_points_6.csv,5417,25.02878414362193,0.004942118977958134,6.714810776118758e-05,0.00013429621552237515
